section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.7411;clusters=1|agents=230
mcm_field.step.sync_neurons;1.9738;agents=230|dims=3
step_mcm_brain.primary_field_step;79.0432;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.1283;agents=230|neighbors=8
step_mcm_brain.total;81.5820;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;20.6761;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1085;active=0.8056
step_mcm_brain.cluster_detect_snapshot;4.4319;clusters=1|agents=230
mcm_field.step.activity_diffusion;15.8589;agents=230|neighbors=8
step_mcm_brain.total;126.7005;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.8129;agents=230
apply_runtime_result.refresh_experience_space;2.3879;decision_tendency=hold
mcm_field.step.total;77.3470;agents=230|dims=3
mcm_field.step.sync_neurons;1.4203;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.7134;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.6184;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.2951;decision_tendency=hold
step_mcm_brain.primary_field_step;53.9060;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.2511;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.1270;neurons=230|areals=1
apply_runtime_result.refresh_active_context_trace;0.1062;active=0.8933
compute_runtime_result.total;0.2353;decision_tendency=hold|active_trade=True
apply_runtime_result.refresh_active_context_trace;0.1096;active=0.8805
compute_runtime_result.total;0.2614;decision_tendency=hold|active_trade=True
apply_runtime_result.refresh_active_context_trace;0.1184;active=0.8797
build_runtime_pipeline_snapshot.total;0.0755;keys=40
mcm_field.step.neuron_loop;36.7292;agents=230|neighbors=8
mcm_field.step.sync_neurons;1.3996;agents=230|dims=3
step_mcm_brain.memory_store;0.0650;clusters=1
mcm_field.step.build_neighbor_state_map;2.0575;agents=230|neighbors=8
step_mcm_brain.total;75.1040;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.1036;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1090;active=0.8711
step_mcm_brain.cluster_detect_pre_memory;0.0644;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0504;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.6425;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.6603;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1074;active=0.9355
step_mcm_brain.primary_field_step;71.1583;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9989;agents=230|neighbors=8
step_mcm_brain.total;73.1279;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9414;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1161;active=0.9163
step_mcm_brain.cluster_detect_pre_memory;0.0519;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3584;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.4017;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4809;agents=230|dims=3
apply_runtime_result.total;3.1898;decision_tendency=act|runtime_tick_seq=38
step_mcm_brain.cluster_detect_snapshot;3.3663;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.2894;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1111;active=0.9324
step_mcm_brain.primary_field_step;68.9223;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.2701;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;4.1098;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.0405;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1208;decision_tendency=hold
step_mcm_brain.primary_field_step;56.5808;agents=230|dims=3
apply_runtime_result.total;3.5057;decision_tendency=observe|runtime_tick_seq=44
step_mcm_brain.cluster_detect_pre_memory;0.0505;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3723;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.7307;neurons=230|areals=1
