trade,pnl_netto,pnl_tp,pnl_sl
1,99.33585831027722,0.0,-0.6641416897227832
2,98.71531843042548,0.0,-1.2846815695745148
3,99.82114679204219,1.1058283616166975,-1.2846815695745148
4,99.23537315975663,1.1058283616166975,-1.8704552018600604
5,98.72912299551894,1.1058283616166975,-2.3767053660977635
6,98.22299737212148,1.1058283616166975,-2.882830989495215
7,97.68793195441681,1.1058283616166975,-3.417896407199888
8,97.18912538130199,1.1058283616166975,-3.916702980314708
9,98.51140875177718,2.4281117320918817,-3.916702980314708
10,97.93132996244103,2.4281117320918817,-4.4967817696508705
11,99.16869055083788,3.6654723204887345,-4.4967817696508705
12,98.6534359037595,3.6654723204887345,-5.012036416729243
13,98.14193693552531,3.6654723204887345,-5.523535384963441
14,97.61623897562232,3.6654723204887345,-6.049233344866429
15,97.11774728596123,3.6654723204887345,-6.547725034527525
16,96.60028770539462,3.6654723204887345,-7.065184615094127
17,96.10314300420272,3.6654723204887345,-7.562329316286034
18,95.58360316971877,3.6654723204887345,-8.081869150769986
19,96.85171512063674,4.933584271406699,-8.081869150769986
20,96.32390637785828,4.933584271406699,-8.60967789354844
21,95.7331697564948,4.933584271406699,-9.20041451491192
22,95.22668871365671,4.933584271406699,-9.706895557750004
23,96.50966857056606,6.216564128316046,-9.706895557750004
24,94.4242286929635,6.216564128316046,-11.792335435352566
25,93.89052798089004,6.216564128316046,-12.326036147426013
26,93.34238973237404,6.216564128316046,-12.87417439594201
27,92.75148758292461,6.216564128316046,-13.465076545391444
28,92.23680473939203,6.216564128316046,-13.979759388924029
29,91.70394832595963,6.216564128316046,-14.512615802356432
30,91.20593312868701,6.216564128316046,-15.010630999629054
31,92.41043850089298,7.4210695005220195,-15.010630999629054
32,91.8771742837061,7.4210695005220195,-15.54389521681593
33,93.07966471581078,8.623559932626705,-15.54389521681593
34,92.52563129984493,8.623559932626705,-16.097928632781784
35,93.73792827654674,9.835856909328514,-16.097928632781784
36,92.92726178041008,9.835856909328514,-16.908595128918446
37,92.39994230186885,9.835856909328514,-17.43591460745968
38,91.62138120960812,9.835856909328514,-18.214475699720406
39,91.08516710500757,9.835856909328514,-18.750689804320956
40,92.31609925306097,11.06678905738191,-18.750689804320956
41,91.80178750348287,11.06678905738191,-19.26500155389906
42,91.20030430597187,11.06678905738191,-19.86648475141007
43,90.68165267300277,11.06678905738191,-20.385136384379166
44,91.94974703504897,12.334883419428106,-20.385136384379166
45,93.24071163294714,13.625848017326279,-20.385136384379166
46,92.66748962186688,13.625848017326279,-20.95835839545943
47,94.05537554100206,15.013733936461461,-20.95835839545943
48,93.44242799955255,15.013733936461461,-21.571305936908946
49,92.70810648355827,15.013733936461461,-22.305627452903224
50,94.01185469700454,16.31748214990773,-22.305627452903224
51,93.49596071908402,16.31748214990773,-22.821521430823744
52,94.81906803072938,17.64058946155309,-22.821521430823744
53,96.20249052605803,19.024011956881733,-22.821521430823744
54,95.5982946203374,19.024011956881733,-23.42571733654438
55,95.08974479928807,19.024011956881733,-23.934267157593712
56,96.40591266308398,20.340179820677644,-23.934267157593712
57,97.65169684074456,21.58596399833822,-23.934267157593712
58,97.08428123476625,21.58596399833822,-24.501682763572017
59,96.48366062323306,21.58596399833822,-25.10230337510521
60,97.81710726708951,22.91941064219467,-25.10230337510521
61,97.1819251948966,22.91941064219467,-25.737485447298116
62,96.62921586527834,22.91941064219467,-26.290194776916383
63,96.01594931966515,22.91941064219467,-26.903461322529566
64,95.27601064130788,22.91941064219467,-27.643400000886842
65,96.67468041698498,24.318080417871776,-27.643400000886842
66,96.11868857818912,24.318080417871776,-28.199391839682704
67,95.52223738794193,24.318080417871776,-28.795843029929905
68,95.00251570713111,24.318080417871776,-29.315564710740716
69,94.41459036698302,24.318080417871776,-29.903490050888806
70,95.7120924946388,25.615582545527552,-29.903490050888806
71,95.18752781243302,25.615582545527552,-30.428054733094584
72,94.65842784372481,25.615582545527552,-30.957154701802796
73,94.1316156489117,25.615582545527552,-31.4839668966159
74,93.60884641948256,25.615582545527552,-32.00673612604504
75,93.0723118349515,25.615582545527552,-32.543270710576095
76,92.53587959449139,25.615582545527552,-33.079702951036204
77,92.04552293225716,25.615582545527552,-33.57005961327044
78,93.27549148328075,26.845551096551137,-33.57005961327044
79,92.72899767956525,26.845551096551137,-34.11655341698593
80,92.22188967732258,26.845551096551137,-34.623661419228604
81,91.74835296381505,26.845551096551137,-35.097198132736125
82,91.28235733565658,26.845551096551137,-35.5631937608946
83,92.49932174321776,28.062515504112312,-35.5631937608946
84,92.03251679214738,28.062515504112312,-36.029998711964986
85,91.56492782498056,28.062515504112312,-36.4975876791318
86,91.05016336905958,28.062515504112312,-37.01235213505278
87,92.59984961665882,29.612201751711545,-37.01235213505278
88,92.05970435968474,29.612201751711545,-37.55249739202685
89,91.55098808306063,29.612201751711545,-38.06121366865096
90,91.06308900328219,29.612201751711545,-38.54911274842941
91,90.56932881570837,29.612201751711545,-39.042872936003214
92,90.04311302689808,29.612201751711545,-39.56908872481351
93,89.55181209877287,29.612201751711545,-40.060389652938724
94,89.03602336318116,29.612201751711545,-40.57617838853044
95,88.55163742695274,29.612201751711545,-41.06056432475886
96,88.08575460110761,29.612201751711545,-41.52644715060398
97,87.65227716009069,29.612201751711545,-41.95992459162089
98,87.0298457892184,29.612201751711545,-42.58235596249319
99,87.9662707987961,30.548626761289242,-42.58235596249319
