MCM_DECISION | long_score=-0.5459 short_score=-0.7620 memory_center=2.1921 memory_strength=46 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.5686 short_score=-2.9877 memory_center=2.1961 memory_strength=51 self_state=active attractor=explore best_score=1.5686 reject_reason=-
MCM_DECISION | long_score=-0.9604 short_score=-0.0061 memory_center=2.1961 memory_strength=37 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.3272 short_score=1.1195 memory_center=2.1961 memory_strength=31 self_state=active attractor=explore best_score=1.1195 reject_reason=-
MCM_DECISION | long_score=1.1430 short_score=-1.8135 memory_center=2.1961 memory_strength=26 self_state=active attractor=explore best_score=1.1430 reject_reason=-
MCM_DECISION | long_score=1.1901 short_score=-2.4097 memory_center=2.1980 memory_strength=34 self_state=active attractor=explore best_score=1.1901 reject_reason=-
MCM_DECISION | long_score=0.8043 short_score=-2.1681 memory_center=2.1990 memory_strength=41 self_state=active attractor=explore best_score=0.8043 reject_reason=-
MCM_DECISION | long_score=1.6576 short_score=-3.1363 memory_center=2.1995 memory_strength=47 self_state=active attractor=explore best_score=1.6576 reject_reason=-
MCM_DECISION | long_score=-1.4651 short_score=0.4297 memory_center=2.1995 memory_strength=34 self_state=active attractor=explore best_score=0.4297 reject_reason=-
MCM_DECISION | long_score=-1.2555 short_score=0.1583 memory_center=2.1995 memory_strength=29 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5325 short_score=-1.0771 memory_center=0.2114 memory_strength=26 self_state=stable attractor=cooperate best_score=0.5325 reject_reason=-
MCM_DECISION | long_score=0.9836 short_score=-1.7437 memory_center=0.2114 memory_strength=22 self_state=active attractor=cooperate best_score=0.9836 reject_reason=-
MCM_DECISION | long_score=0.7660 short_score=-1.6525 memory_center=1.6632 memory_strength=25 self_state=active attractor=explore best_score=0.7660 reject_reason=-
MCM_DECISION | long_score=1.4939 short_score=-2.4756 memory_center=2.1998 memory_strength=27 self_state=active attractor=explore best_score=1.4939 reject_reason=-
MCM_DECISION | long_score=-2.4134 short_score=1.5047 memory_center=0.2375 memory_strength=22 self_state=active attractor=cooperate best_score=1.5047 reject_reason=-
MCM_DECISION | long_score=-0.9176 short_score=0.0061 memory_center=0.2375 memory_strength=19 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.7368 short_score=-2.2314 memory_center=0.2375 memory_strength=16 self_state=active attractor=cooperate best_score=1.7368 reject_reason=-
MCM_DECISION | long_score=0.9031 short_score=-1.7976 memory_center=2.1740 memory_strength=24 self_state=active attractor=explore best_score=0.9031 reject_reason=-
MCM_DECISION | long_score=0.4192 short_score=-1.4584 memory_center=2.1568 memory_strength=32 self_state=active attractor=explore best_score=0.4192 reject_reason=-
MCM_DECISION | long_score=0.5646 short_score=-1.7466 memory_center=2.1784 memory_strength=39 self_state=active attractor=explore best_score=0.5646 reject_reason=-
MCM_DECISION | long_score=1.5422 short_score=-2.8623 memory_center=2.1892 memory_strength=45 self_state=active attractor=explore best_score=1.5422 reject_reason=-
MCM_DECISION | long_score=-1.9554 short_score=0.8602 memory_center=2.1892 memory_strength=32 self_state=active attractor=explore best_score=0.8602 reject_reason=-
MCM_DECISION | long_score=-2.1327 short_score=0.9675 memory_center=2.1892 memory_strength=27 self_state=active attractor=explore best_score=0.9675 reject_reason=-
MCM_DECISION | long_score=-1.7112 short_score=0.4959 memory_center=-2.0761 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=-0.9557 short_score=-0.0415 memory_center=-1.4572 memory_strength=22 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5681 short_score=-0.9791 memory_center=0.0652 memory_strength=20 self_state=stable attractor=cooperate best_score=0.5681 reject_reason=-
MCM_DECISION | long_score=0.1668 short_score=-0.7928 memory_center=0.0396 memory_strength=29 self_state=stable attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.0406 short_score=1.3259 memory_center=0.0396 memory_strength=25 self_state=active attractor=cooperate best_score=1.3259 reject_reason=-
MCM_DECISION | long_score=0.8536 short_score=-1.7838 memory_center=0.1963 memory_strength=28 self_state=active attractor=cooperate best_score=0.8536 reject_reason=-
MCM_DECISION | long_score=1.1986 short_score=-2.3417 memory_center=2.1567 memory_strength=37 self_state=active attractor=explore best_score=1.1986 reject_reason=-
MCM_DECISION | long_score=1.6240 short_score=-2.8983 memory_center=2.1784 memory_strength=38 self_state=active attractor=explore best_score=1.6240 reject_reason=-
MCM_DECISION | long_score=-0.9722 short_score=0.0259 memory_center=2.1784 memory_strength=32 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9598 short_score=-2.3488 memory_center=2.1892 memory_strength=39 self_state=active attractor=explore best_score=0.9598 reject_reason=-
MCM_DECISION | long_score=1.0847 short_score=-2.6061 memory_center=2.1946 memory_strength=45 self_state=active attractor=explore best_score=1.0847 reject_reason=-
MCM_DECISION | long_score=-1.1567 short_score=0.0196 memory_center=2.1946 memory_strength=38 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0522 short_score=-2.5096 memory_center=2.1681 memory_strength=44 self_state=active attractor=explore best_score=1.0522 reject_reason=-
MCM_DECISION | long_score=0.2525 short_score=-1.1861 memory_center=2.1681 memory_strength=31 self_state=active attractor=explore best_score=0.2525 reject_reason=-
MCM_DECISION | long_score=-0.5315 short_score=-0.3430 memory_center=2.1681 memory_strength=26 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.7224 short_score=-2.8896 memory_center=2.1841 memory_strength=34 self_state=active attractor=explore best_score=1.7224 reject_reason=-
MCM_DECISION | long_score=-0.0802 short_score=-0.8138 memory_center=2.1841 memory_strength=29 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.6223 short_score=-2.7720 memory_center=2.1920 memory_strength=37 self_state=active attractor=explore best_score=1.6223 reject_reason=-
MCM_DECISION | long_score=0.7267 short_score=-2.0394 memory_center=2.1960 memory_strength=43 self_state=active attractor=explore best_score=0.7267 reject_reason=-
MCM_DECISION | long_score=1.3357 short_score=-2.7762 memory_center=2.1980 memory_strength=49 self_state=active attractor=explore best_score=1.3357 reject_reason=-
MCM_DECISION | long_score=-1.1954 short_score=-0.0435 memory_center=2.1990 memory_strength=46 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6445 short_score=0.5997 memory_center=2.1990 memory_strength=39 self_state=active attractor=explore best_score=0.5997 reject_reason=-
MCM_DECISION | long_score=0.4051 short_score=-1.2843 memory_center=2.1990 memory_strength=33 self_state=active attractor=explore best_score=0.4051 reject_reason=-
MCM_DECISION | long_score=1.4706 short_score=-2.7707 memory_center=2.1995 memory_strength=40 self_state=active attractor=explore best_score=1.4706 reject_reason=-
MCM_DECISION | long_score=-0.8640 short_score=-0.1716 memory_center=2.1995 memory_strength=34 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.3325 short_score=0.5806 memory_center=2.1995 memory_strength=29 self_state=stable attractor=explore best_score=0.5806 reject_reason=-
MCM_DECISION | long_score=1.3134 short_score=-2.2248 memory_center=2.1995 memory_strength=25 self_state=active attractor=explore best_score=1.3134 reject_reason=-
MCM_DECISION | long_score=0.6306 short_score=-1.8165 memory_center=2.1714 memory_strength=33 self_state=active attractor=explore best_score=0.6306 reject_reason=-
MCM_DECISION | long_score=0.0567 short_score=-1.4258 memory_center=2.1848 memory_strength=40 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.2117 short_score=-1.2881 memory_center=2.1525 memory_strength=46 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5644 short_score=0.5260 memory_center=2.1525 memory_strength=39 self_state=active attractor=explore best_score=0.5260 reject_reason=-
MCM_DECISION | long_score=-1.3917 short_score=0.5166 memory_center=2.1525 memory_strength=33 self_state=active attractor=explore best_score=0.5166 reject_reason=-
MCM_DECISION | long_score=-1.5149 short_score=0.5220 memory_center=2.1525 memory_strength=28 self_state=active attractor=explore best_score=0.5220 reject_reason=-
MCM_DECISION | long_score=-1.6584 short_score=0.6767 memory_center=2.1525 memory_strength=24 self_state=active attractor=explore best_score=0.6767 reject_reason=-
MCM_DECISION | long_score=-0.6459 short_score=-0.5217 memory_center=-2.0140 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1935 short_score=-0.7415 memory_center=-2.0140 memory_strength=21 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8462 short_score=-1.5212 memory_center=-2.0140 memory_strength=18 self_state=active attractor=defense best_score=0.8462 reject_reason=-
MCM_DECISION | long_score=1.5184 short_score=-2.3570 memory_center=2.0835 memory_strength=22 self_state=active attractor=explore best_score=1.5184 reject_reason=-
MCM_DECISION | long_score=-0.2012 short_score=-0.4213 memory_center=2.0835 memory_strength=19 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.4346 short_score=-1.3202 memory_center=2.0118 memory_strength=28 self_state=active attractor=explore best_score=0.4346 reject_reason=-
MCM_DECISION | long_score=-1.2735 short_score=0.7617 memory_center=2.0118 memory_strength=24 self_state=stable attractor=explore best_score=0.7617 reject_reason=-
MCM_DECISION | long_score=0.8811 short_score=-1.4145 memory_center=2.0118 memory_strength=20 self_state=active attractor=explore best_score=0.8811 reject_reason=-
MCM_DECISION | long_score=1.1572 short_score=-2.0975 memory_center=2.0834 memory_strength=29 self_state=active attractor=explore best_score=1.1572 reject_reason=-
MCM_DECISION | long_score=0.2328 short_score=-1.4824 memory_center=2.1426 memory_strength=43 self_state=active attractor=explore best_score=0.2328 reject_reason=-
MCM_DECISION | long_score=1.1338 short_score=-2.4615 memory_center=2.1713 memory_strength=49 self_state=active attractor=explore best_score=1.1338 reject_reason=-
MCM_DECISION | long_score=-1.4646 short_score=0.4632 memory_center=2.1713 memory_strength=36 self_state=active attractor=explore best_score=0.4632 reject_reason=-
MCM_DECISION | long_score=-1.2195 short_score=0.1002 memory_center=2.1713 memory_strength=31 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.1485 short_score=-1.8236 memory_center=2.1713 memory_strength=26 self_state=active attractor=explore best_score=1.1485 reject_reason=-
MCM_DECISION | long_score=1.4080 short_score=-2.5338 memory_center=2.1857 memory_strength=34 self_state=active attractor=explore best_score=1.4080 reject_reason=-
MCM_DECISION | long_score=1.5215 short_score=-2.7450 memory_center=2.1928 memory_strength=41 self_state=active attractor=explore best_score=1.5215 reject_reason=-
MCM_DECISION | long_score=-0.6084 short_score=-0.4208 memory_center=2.1928 memory_strength=35 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0635 short_score=0.3168 memory_center=2.1928 memory_strength=30 self_state=active attractor=explore best_score=0.3168 reject_reason=-
MCM_DECISION | long_score=-1.0288 short_score=0.4243 memory_center=2.1928 memory_strength=26 self_state=active attractor=explore best_score=0.4243 reject_reason=-
MCM_DECISION | long_score=0.3920 short_score=-0.9424 memory_center=0.5328 memory_strength=26 self_state=active attractor=cooperate best_score=0.3920 reject_reason=-
MCM_DECISION | long_score=-1.4295 short_score=0.7531 memory_center=-0.5745 memory_strength=24 self_state=active attractor=analysis best_score=0.7531 reject_reason=-
MCM_DECISION | long_score=1.3731 short_score=-2.0517 memory_center=-0.5745 memory_strength=20 self_state=active attractor=analysis best_score=1.3731 reject_reason=-
MCM_DECISION | long_score=-0.6551 short_score=-0.3626 memory_center=-0.5113 memory_strength=37 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6565 short_score=0.4737 memory_center=-0.5113 memory_strength=31 self_state=active attractor=analysis best_score=0.4737 reject_reason=-
MCM_DECISION | long_score=-2.2607 short_score=1.1197 memory_center=-0.5113 memory_strength=26 self_state=active attractor=analysis best_score=1.1197 reject_reason=-
MCM_DECISION | long_score=-0.0871 short_score=-0.8883 memory_center=-0.5113 memory_strength=22 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1257 short_score=0.8635 memory_center=-2.0193 memory_strength=30 self_state=active attractor=defense best_score=0.8635 reject_reason=-
MCM_DECISION | long_score=-0.9436 short_score=-0.4901 memory_center=-1.8589 memory_strength=38 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=-0.9320 short_score=-0.6876 memory_center=-1.7859 memory_strength=44 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9290 short_score=-2.0090 memory_center=-1.7859 memory_strength=37 self_state=active attractor=defense best_score=0.9290 reject_reason=-
MCM_DECISION | long_score=-2.1987 short_score=0.6693 memory_center=-1.9268 memory_strength=38 self_state=active attractor=defense best_score=0.6693 reject_reason=-
MCM_DECISION | long_score=0.2875 short_score=-1.2688 memory_center=-1.9268 memory_strength=32 self_state=active attractor=defense best_score=0.2875 reject_reason=-
MCM_DECISION | long_score=-1.1084 short_score=0.1060 memory_center=-1.9268 memory_strength=27 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.2634 short_score=-1.1438 memory_center=-1.9268 memory_strength=23 self_state=active attractor=defense best_score=0.2634 reject_reason=-
MCM_DECISION | long_score=0.0249 short_score=-0.8225 memory_center=1.1353 memory_strength=25 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9176 short_score=-1.6838 memory_center=1.1353 memory_strength=21 self_state=active attractor=cooperate best_score=0.9176 reject_reason=-
MCM_DECISION | long_score=-1.4128 short_score=0.8975 memory_center=1.1353 memory_strength=18 self_state=active attractor=cooperate best_score=0.8975 reject_reason=-
MCM_DECISION | long_score=-2.1415 short_score=1.4507 memory_center=-0.7965 memory_strength=20 self_state=active attractor=analysis best_score=1.4507 reject_reason=-
MCM_DECISION | long_score=0.4509 short_score=-1.0799 memory_center=-2.0543 memory_strength=19 self_state=stable attractor=defense best_score=0.4509 reject_reason=-
MCM_DECISION | long_score=-2.2662 short_score=1.3606 memory_center=-2.0543 memory_strength=16 self_state=active attractor=defense best_score=1.3606 reject_reason=-
MCM_DECISION | long_score=0.4515 short_score=-1.2847 memory_center=-0.6634 memory_strength=22 self_state=active attractor=analysis best_score=0.4515 reject_reason=-
MCM_DECISION | long_score=0.8759 short_score=-1.7551 memory_center=-0.6634 memory_strength=19 self_state=active attractor=analysis best_score=0.8759 reject_reason=-
MCM_DECISION | long_score=-1.9385 short_score=1.4705 memory_center=0.1126 memory_strength=20 self_state=stable attractor=cooperate best_score=1.4705 reject_reason=-
MCM_DECISION | long_score=-0.4253 short_score=-0.3993 memory_center=-0.5597 memory_strength=24 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0106 short_score=-0.6773 memory_center=-0.5597 memory_strength=20 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.0852 short_score=1.1670 memory_center=-1.2454 memory_strength=24 self_state=active attractor=analysis best_score=1.1670 reject_reason=-
MCM_DECISION | long_score=-2.4415 short_score=1.4160 memory_center=-1.2454 memory_strength=20 self_state=active attractor=analysis best_score=1.4160 reject_reason=-
MCM_DECISION | long_score=0.4536 short_score=-1.3229 memory_center=-0.6375 memory_strength=24 self_state=active attractor=analysis best_score=0.4536 reject_reason=-
MCM_DECISION | long_score=-2.3806 short_score=1.3972 memory_center=-0.6375 memory_strength=20 self_state=active attractor=analysis best_score=1.3972 reject_reason=-
MCM_DECISION | long_score=-2.1603 short_score=1.0362 memory_center=-2.1636 memory_strength=22 self_state=active attractor=defense best_score=1.0362 reject_reason=-
MCM_DECISION | long_score=-1.1743 short_score=0.0984 memory_center=-1.6386 memory_strength=23 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7557 short_score=-1.4108 memory_center=-1.6386 memory_strength=20 self_state=active attractor=defense best_score=0.7557 reject_reason=-
MCM_DECISION | long_score=-0.2086 short_score=-0.3533 memory_center=-1.6386 memory_strength=17 self_state=stable attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.8802 short_score=-2.5115 memory_center=2.1420 memory_strength=15 self_state=active attractor=explore best_score=1.8802 reject_reason=-
MCM_DECISION | long_score=0.6648 short_score=-1.2993 memory_center=0.1642 memory_strength=20 self_state=active attractor=cooperate best_score=0.6648 reject_reason=-
MCM_DECISION | long_score=-1.0524 short_score=0.3895 memory_center=0.2189 memory_strength=29 self_state=active attractor=cooperate best_score=0.3895 reject_reason=-
MCM_DECISION | long_score=0.4891 short_score=-1.3204 memory_center=0.2189 memory_strength=25 self_state=active attractor=cooperate best_score=0.4891 reject_reason=-
