timestamp;runtime_tick;sequence;from_tone;to_tone;transition_key;phase;reason;decision;open;high;low;close;volume;pre2_close;pre1_close;post1_close;post2_close;pre_ret;post_ret;window_ret;abs_window_ret;direction_flip;volume_ratio;range_pct;range_ratio;body_pct;serotonin_delta;glutamate_delta;cortisol_delta;gaba_delta;dopamine_delta;acetylcholine_delta;noradrenaline_delta;endorphin_delta;neurochemical_load_delta;neurochemical_support_delta;neurochemical_balance_delta;serotonin_carryover_risk_delta;emotional_decoupling_delta;reactive_nervous_drive_delta;field_pressure_delta;field_clarity_delta;field_observation_need_delta;field_replan_pressure_delta;field_action_support_delta;action_inhibition_delta;action_clearance_delta;serotonin_stability;glutamate_activation;cortisol_load;neurochemical_balance;serotonin_carryover_risk;emotional_decoupling;reactive_nervous_drive;field_pressure;field_clarity;action_inhibition;action_clearance;visual_action_uncertainty;variant_learning_pressure;structure_quality;context_confidence
1767379500000000;15;1;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;hold;pause_mode;SHORT;131.120000;131.320000;130.770000;130.820000;8536.262000;131.300000;131.110000;130.660000;130.800000;-0.003656;-0.000153;-0.003808;0.003808;0;0.4414;0.004204;0.9617;-0.002293;-0.0050;0.1310;0.0321;-0.0029;0.0126;-0.0745;0.1192;-0.0655;0.0552;-0.0292;-0.0844;-0.0115;-0.0073;0.0601;0.0415;-0.0155;0.0217;0.0180;-0.0196;0.0236;0.0048;0.5491;0.5496;0.4122;-0.0238;0.2265;0.2048;0.4038;0.3377;0.2528;0.4837;0.5839;0.2178;0.1918;0.5491;0.5365
1767379800000000;16;2;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;observe;zero_point_regulation;WAIT;130.820000;130.820000;130.350000;130.660000;15386.188000;131.110000;130.820000;130.800000;130.680000;-0.003432;0.000153;-0.003280;0.003280;1;0.8211;0.003597;0.8462;-0.001225;-0.0297;-0.4741;0.0136;0.0310;-0.0718;-0.0119;-0.3071;-0.0995;-0.1180;-0.0519;0.0661;-0.0056;-0.0428;-0.2250;-0.3377;-0.1528;-0.0603;-0.0431;-0.1299;0.1046;-0.0800;0.5193;0.0755;0.4258;0.0423;0.2209;0.1619;0.1788;0.0000;0.1000;0.5883;0.5039;0.3012;0.2009;0.4803;0.4662
1767387000000000;40;3;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;act_watch;plan_pressure_act_watch;SHORT;131.270000;131.330000;130.940000;130.940000;8871.176000;131.520000;131.270000;131.140000;131.280000;-0.004410;0.002597;-0.001825;0.001825;1;0.8354;0.002978;1.0336;-0.002520;-0.0099;0.0673;0.0284;0.0768;-0.0222;-0.0197;0.0743;-0.0011;0.0545;-0.0060;-0.0606;-0.0026;0.0086;0.0167;0.0120;-0.0028;0.0531;0.0333;-0.0349;0.0958;-0.0611;0.5542;0.6067;0.4494;-0.0896;0.2398;0.1926;0.4264;0.3402;0.2479;0.5556;0.5397;0.2440;0.1972;0.4995;0.5266
1767387300000000;41;4;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;hold;fused_score_too_low;WAIT;130.930000;131.350000;130.830000;131.140000;11843.637000;131.270000;130.940000;131.280000;131.230000;-0.000990;0.000686;-0.000305;0.000305;1;1.1581;0.003965;1.4009;0.001601;-0.0125;-0.5460;-0.1627;-0.0583;-0.0083;-0.0220;-0.3370;-0.0510;-0.2304;-0.0294;0.2010;-0.0017;-0.0411;-0.2212;-0.3402;-0.1479;-0.1420;-0.0794;-0.0967;-0.0305;0.0154;0.5416;0.0606;0.2867;0.1114;0.2381;0.1516;0.2053;0.0000;0.1000;0.5251;0.5551;0.3277;0.2021;0.4166;0.4242
1767391200000000;54;5;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;hold;context_cluster_negative;WAIT;131.930000;132.850000;131.900000;132.750000;21992.723000;131.920000;131.920000;132.890000;132.430000;0.006292;-0.002411;0.003866;0.003866;1;2.9780;0.007156;3.0631;0.006177;0.0158;0.3258;0.0360;0.0233;0.0808;0.0524;0.3108;0.0417;0.1288;0.0469;-0.0819;-0.0277;0.0618;0.1526;0.3261;0.1562;0.0940;0.0519;0.1728;0.0865;0.0287;0.5643;0.5763;0.4166;-0.0031;0.2387;0.2047;0.4590;0.3261;0.2562;0.4587;0.6510;0.1994;0.1704;0.6888;0.7572
1767391500000000;55;6;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;observe;zero_point_regulation;WAIT;132.760000;133.250000;132.600000;132.890000;54191.332000;131.920000;132.750000;132.430000;132.670000;0.007353;-0.001656;0.005685;0.005685;1;7.0607;0.004891;2.0273;0.000978;-0.0456;-0.4160;0.0256;0.1943;-0.1905;-0.0478;-0.2877;-0.0046;-0.0610;-0.0512;0.0098;0.0050;-0.0214;-0.2437;-0.3261;-0.1562;0.0656;0.0368;-0.1741;0.1837;-0.1883;0.5187;0.1603;0.4422;0.0067;0.2437;0.1834;0.2153;0.0000;0.1000;0.6424;0.4628;0.3410;0.2448;0.6151;0.6659
1767401700000000;89;7;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;act_watch;plan_pressure_act_watch;SHORT;132.800000;132.800000;132.520000;132.530000;4879.508000;132.750000;132.800000;132.590000;132.590000;-0.001657;0.000453;-0.001205;0.001205;1;0.6837;0.002113;0.9900;-0.002037;-0.0074;0.3735;0.0671;0.0467;-0.0828;-0.0075;0.2875;-0.0270;0.1509;-0.0144;-0.1653;-0.0178;0.0041;0.1266;0.3124;0.1604;0.0958;0.0405;0.1421;0.1532;-0.0549;0.5435;0.5775;0.3991;-0.0535;0.2390;0.1804;0.4166;0.3124;0.2604;0.5088;0.5844;0.2058;0.1548;0.4014;0.4227
1767402000000000;90;8;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;observe;zero_point_regulation;WAIT;132.530000;132.650000;132.360000;132.590000;4509.099000;132.800000;132.530000;132.590000;132.890000;-0.001581;0.002263;0.000678;0.000678;1;0.6449;0.002187;1.0438;0.000453;-0.0194;-0.4072;0.0112;0.1088;-0.0162;-0.0632;-0.2652;-0.0592;-0.0821;-0.0354;0.0467;0.0089;-0.0233;-0.1809;-0.3124;-0.1604;0.0372;0.0323;-0.1457;0.0759;-0.0764;0.5241;0.1703;0.4103;-0.0068;0.2479;0.1571;0.2356;0.0000;0.1000;0.5847;0.5080;0.3427;0.2038;0.4014;0.4226
1767418200000000;144;9;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;act;plan_allowed;SHORT;132.190000;132.190000;131.980000;131.990000;6871.052000;132.340000;132.190000;131.700000;131.700000;-0.002645;-0.002197;-0.004836;0.004836;0;1.2704;0.001591;1.0112;-0.001515;0.0147;0.1447;-0.0130;-0.1027;0.1151;0.0423;0.0935;0.0374;0.0099;0.0340;0.0242;0.0016;-0.0031;0.1005;0.0205;-0.0057;-0.0545;-0.0311;0.0420;-0.0842;0.0737;0.5750;0.5796;0.3897;0.0523;0.2373;0.2313;0.4658;0.3318;0.2511;0.3675;0.7082;0.0867;0.1077;0.7800;0.8386
1767420000000000;150;10;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;hold;fused_score_too_low;WAIT;131.890000;131.990000;131.830000;131.940000;3235.922000;131.890000;131.900000;132.110000;132.170000;0.000379;0.001743;0.002123;0.002123;0;0.5353;0.001213;0.7634;0.000379;-0.0484;-0.5718;-0.1495;0.0559;-0.1407;-0.0290;-0.3784;0.0019;-0.2090;-0.0432;0.1658;-0.0043;-0.0418;-0.2817;-0.3318;-0.1511;-0.0776;-0.0408;-0.1857;0.0932;-0.0888;0.5266;0.0078;0.2402;0.2181;0.2330;0.1895;0.1841;0.0000;0.1000;0.4607;0.6194;0.1720;0.1161;0.5795;0.6062
1767432600000000;192;11;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;act_watch;plan_pressure_act_watch;LONG;130.780000;131.260000;130.710000;131.250000;19207.609000;130.600000;130.780000;131.440000;131.370000;0.004977;0.000914;0.005896;0.005896;0;2.3539;0.004190;2.1329;0.003581;-0.0035;0.2177;0.0770;0.0630;0.0003;-0.0099;0.2613;-0.0002;0.1293;0.0041;-0.1252;-0.0300;0.0298;0.0869;0.2370;0.0483;0.0864;0.0421;0.0264;0.1422;-0.0370;0.5462;0.5920;0.4352;-0.0716;0.2350;0.2208;0.4392;0.3370;0.2531;0.6057;0.5913;0.2406;0.1897;0.4919;0.5046
1767433200000000;194;12;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;hold;maturity_block;LONG;131.430000;131.430000;131.240000;131.370000;4837.376000;131.250000;131.440000;131.240000;131.260000;0.000914;-0.000837;0.000076;0.000076;1;0.5701;0.001446;0.7114;-0.000457;-0.0143;-0.3687;-0.1617;-0.1195;-0.1183;-0.0479;-0.2696;-0.0589;-0.2041;-0.0596;0.1445;0.0205;-0.0852;-0.1598;-0.3357;-0.1462;-0.1774;-0.1085;-0.0992;-0.1224;-0.0102;0.5359;0.2622;0.2626;0.0853;0.2601;0.1351;0.3044;0.0000;0.1000;0.4289;0.5969;0.2336;0.1027;0.4840;0.5090
1767438900000000;213;13;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;hold;pause_mode;WAIT;130.700000;130.730000;130.630000;130.630000;1368.348000;130.670000;130.690000;130.700000;130.650000;-0.000306;0.000153;-0.000153;0.000153;1;0.1748;0.000766;0.4062;-0.000536;0.0221;0.4492;0.1685;0.0518;-0.0003;0.0918;0.2859;0.0051;0.2065;0.0330;-0.1735;-0.0104;0.0576;0.1757;0.3277;0.1558;0.1209;0.0687;0.1051;0.0460;0.0174;0.5236;0.5550;0.4401;-0.0683;0.2083;0.2194;0.3816;0.3277;0.2558;0.5832;0.5234;0.2119;0.1715;0.4642;0.4502
1767439200000000;214;14;glutamate_activation;serotonin_stability;glutamate_activation->serotonin_stability;hold;pause_mode;WAIT;130.630000;130.770000;130.620000;130.700000;3086.502000;130.690000;130.630000;130.650000;130.530000;0.000077;-0.001301;-0.001224;0.001224;1;0.4135;0.001148;0.6286;0.000536;-0.0043;-0.4914;-0.1717;-0.0811;0.0119;0.0021;-0.3103;-0.0473;-0.2260;-0.0200;0.2060;0.0149;-0.0434;-0.1849;-0.3277;-0.1558;-0.1412;-0.0805;-0.1041;-0.0721;0.0370;0.5192;0.0636;0.2685;0.1377;0.2232;0.1760;0.1966;0.0000;0.1000;0.5111;0.5604;0.2373;0.1548;0.4642;0.4502
1767445200000000;234;15;serotonin_stability;glutamate_activation;serotonin_stability->glutamate_activation;hold;context_cluster_negative;WAIT;130.900000;131.120000;130.800000;131.110000;4716.823000;130.810000;130.910000;131.080000;131.020000;0.002293;-0.000686;0.001605;0.001605;1;1.0115;0.002441;1.7872;0.001602;0.0110;0.2832;0.0570;0.1050;0.0855;-0.0242;0.2473;0.0729;0.1390;0.0426;-0.0964;-0.0325;0.0819;0.1146;0.3266;0.1528;0.1793;0.1020;0.0959;0.1460;-0.0144;0.5489;0.5691;0.4363;-0.0723;0.2443;0.2119;0.4325;0.3266;0.2528;0.5960;0.5885;0.2198;0.1769;0.4827;0.4674
