section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
mcm_field.step.total;65.6757;agents=230|dims=3
apply_runtime_result.total;3.4078;decision_tendency=act|runtime_tick_seq=1
step_mcm_brain.cluster_detect_pre_memory;0.0533;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0194;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;21.0950;neurons=230|areals=1
mcm_field.step.neuron_loop;47.1556;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;9.1386;clusters=1|agents=230
mcm_field.step.activity_diffusion;18.4416;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9002;decision_tendency=act
apply_runtime_result.refresh_experience_space;2.6835;decision_tendency=hold
apply_runtime_result.total;3.7013;decision_tendency=hold|runtime_tick_seq=9
apply_runtime_result.refresh_experience_space;2.8734;decision_tendency=hold
mcm_field.step.activity_diffusion;18.6904;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;30.7803;neurons=230|areals=1
step_mcm_brain.self_regulation;0.0726;self_state=active|agents=230
mcm_field.step.neuron_loop;35.3331;agents=230|neighbors=8
step_mcm_brain.total;95.2294;mode=market|clusters=1|agents=230
mcm_field.step.refresh_arrays;0.5458;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.0465;decision_tendency=observe
mcm_field.step.total;80.6737;agents=230|dims=3
apply_runtime_result.total;5.1272;decision_tendency=hold|runtime_tick_seq=17
step_mcm_brain.cluster_detect_snapshot;3.6373;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.6313;agents=230|neighbors=8
compute_runtime_result.total;108.1538;decision_tendency=act|active_trade=False
mcm_field.step.total;59.6849;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.2381;active=0.8479
step_mcm_brain.primary_field_step;75.9771;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0802;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.6668;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4489;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.9759;decision_tendency=observe
step_mcm_brain.primary_field_step;61.5725;agents=230|dims=3
mcm_field.step.sync_neurons;1.5366;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.6905;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4765;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.9149;clusters=1|agents=230
mcm_field.step.activity_diffusion;14.2971;agents=230|neighbors=8
step_mcm_brain.total;105.9788;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3395;agents=230
apply_runtime_result.refresh_active_context_trace;0.2416;active=0.8609
mcm_field.step.total;95.0422;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.2910;active=0.8603
step_mcm_brain.primary_field_step;63.1667;agents=230|dims=3
mcm_field.step.sync_neurons;1.6588;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.8280;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.1017;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1469;decision_tendency=observe
mcm_field.step.total;76.8698;agents=230|dims=3
apply_runtime_result.total;3.6544;decision_tendency=observe|runtime_tick_seq=33
step_mcm_brain.self_regulation;0.0699;self_state=stable|agents=230
mcm_field.step.neuron_loop;37.8233;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;19.0112;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.6633;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.8015;decision_tendency=observe
mcm_field.step.total;132.2126;agents=230|dims=3
apply_runtime_result.total;4.7823;decision_tendency=observe|runtime_tick_seq=37
step_mcm_brain.self_regulation;0.0773;self_state=active|agents=230
mcm_field.step.neuron_loop;50.5523;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;25.7632;neurons=230|areals=1
