section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.7282;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3349;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.2756;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8291;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1036;active=0.8987
step_mcm_brain.primary_field_step;71.7989;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9333;agents=230|neighbors=8
compute_runtime_result.total;82.7300;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;1.3673;agents=230
apply_runtime_result.refresh_active_context_trace;0.1044;active=0.8849
step_mcm_brain.cluster_detect_pre_memory;0.0692;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3492;agents=230|dims=3
step_mcm_brain.snapshot_field_read;18.4749;neurons=230|areals=1
apply_runtime_result.refresh_active_context_trace;0.1067;active=0.9195
compute_runtime_result.total;0.2272;decision_tendency=hold|active_trade=True
mcm_field.step.total;64.9076;agents=230|dims=3
mcm_field.step.refresh_arrays;0.4606;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1119;active=0.9314
step_mcm_brain.cluster_detect_pre_memory;0.0799;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3676;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.6034;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4652;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1057;active=0.9236
step_mcm_brain.primary_field_step;70.2529;agents=230|dims=3
mcm_field.step.sync_neurons;1.4508;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.9850;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4712;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1046;active=0.8797
step_mcm_brain.cluster_detect_pre_memory;0.0511;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3583;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.6772;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9889;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8744;decision_tendency=hold
mcm_field.step.total;73.6383;agents=230|dims=3
mcm_field.step.sync_neurons;1.3996;agents=230|dims=3
step_mcm_brain.snapshot_field_read;19.4775;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4770;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1046;active=0.9148
mcm_field.step.field_perception_state;0.4189;agents=230
apply_runtime_result.total;3.3766;decision_tendency=hold|runtime_tick_seq=26
step_mcm_brain.cluster_detect_pre_memory;0.0521;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4085;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;4.0243;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1556;agents=230|neighbors=8
compute_runtime_result.total;103.6738;decision_tendency=hold|active_trade=False
mcm_field.step.total;56.8858;agents=230|dims=3
mcm_field.step.sync_neurons;1.4242;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.7586;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.6381;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.3503;decision_tendency=hold
mcm_field.step.total;75.1659;agents=230|dims=3
mcm_field.step.sync_neurons;1.4108;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.9866;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4735;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.0104;decision_tendency=hold
step_mcm_brain.primary_field_step;56.8221;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9610;agents=230|neighbors=8
step_mcm_brain.total;117.7077;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.2358;agents=230
apply_runtime_result.total;3.2747;decision_tendency=hold|runtime_tick_seq=38
step_mcm_brain.cluster_detect_snapshot;3.6440;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1384;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1053;active=0.9307
step_mcm_brain.primary_field_step;70.3652;agents=230|dims=3
