MCM_STATE | mode=market impulse=1.2254 motivation=0.2988 risk=-0.1331 replay=0.0300 self_state=active attractor=defense mean_energy=2.7407 mean_motivation=0.6529 mean_risk=-1.0692 mean_velocity=0.5730 clusters=1 memory_center=-2.3287 memory_strength=19
MCM_STATE | mode=market impulse=0.9873 motivation=0.2162 risk=-0.0920 replay=0.0093 self_state=stressed attractor=defense mean_energy=-0.6981 mean_motivation=0.1587 mean_risk=-1.6389 mean_velocity=0.2074 clusters=1 memory_center=-2.1215 memory_strength=26
MCM_STATE | mode=market impulse=0.9831 motivation=0.2530 risk=-0.0984 replay=0.0021 self_state=stressed attractor=neutral mean_energy=1.5397 mean_motivation=0.1941 mean_risk=-1.7280 mean_velocity=0.3351 clusters=1 memory_center=1.2531 memory_strength=24
MCM_STATE | mode=market impulse=-0.6949 motivation=-0.0639 risk=-0.1710 replay=0.0300 self_state=stressed attractor=neutral mean_energy=-1.1714 mean_motivation=-0.0449 mean_risk=-1.8613 mean_velocity=0.4212 clusters=1 memory_center=1.2578 memory_strength=23
MCM_STATE | mode=market impulse=-0.5628 motivation=-0.0443 risk=-0.1104 replay=0.0092 self_state=stressed attractor=defense mean_energy=-1.8242 mean_motivation=-0.1337 mean_risk=-1.9766 mean_velocity=0.3300 clusters=1 memory_center=-2.4482 memory_strength=29
MCM_STATE | mode=market impulse=0.8157 motivation=0.2086 risk=-0.0610 replay=0.0029 self_state=stressed attractor=cooperate mean_energy=1.9470 mean_motivation=0.2699 mean_risk=-1.8640 mean_velocity=0.4395 clusters=1 memory_center=1.1259 memory_strength=30
MCM_STATE | mode=market impulse=-0.9707 motivation=-0.1253 risk=-0.2347 replay=0.0295 self_state=stressed attractor=cooperate mean_energy=-0.3122 mean_motivation=-0.0373 mean_risk=-2.0567 mean_velocity=0.3592 clusters=1 memory_center=0.9828 memory_strength=29
MCM_STATE | mode=market impulse=-1.1294 motivation=-0.1177 risk=-0.2644 replay=0.0092 self_state=stressed attractor=defense mean_energy=-2.4417 mean_motivation=-0.0861 mean_risk=-2.0353 mean_velocity=0.5251 clusters=1 memory_center=-1.3607 memory_strength=26
MCM_STATE | mode=market impulse=-0.9627 motivation=-0.1007 risk=-0.2256 replay=-0.0078 self_state=stressed attractor=defense mean_energy=-2.5040 mean_motivation=-0.1573 mean_risk=-2.1104 mean_velocity=0.6473 clusters=1 memory_center=-2.3825 memory_strength=28
MCM_STATE | mode=market impulse=-0.4912 motivation=-0.0229 risk=-0.1552 replay=-0.0052 self_state=stressed attractor=explore mean_energy=1.2794 mean_motivation=0.2548 mean_risk=-2.0698 mean_velocity=0.0979 clusters=1 memory_center=2.3458 memory_strength=23
MCM_STATE | mode=market impulse=0.3322 motivation=0.1117 risk=-0.1412 replay=0.0281 self_state=stressed attractor=defense mean_energy=-0.9563 mean_motivation=0.1178 mean_risk=-1.9397 mean_velocity=0.1582 clusters=1 memory_center=-1.3999 memory_strength=21
MCM_STATE | mode=market impulse=-0.5263 motivation=-0.1254 risk=-0.1959 replay=0.0026 self_state=stressed attractor=defense mean_energy=-1.2049 mean_motivation=-0.0390 mean_risk=-1.9331 mean_velocity=0.3939 clusters=1 memory_center=-1.3840 memory_strength=22
MCM_STATE | mode=market impulse=0.3962 motivation=0.0987 risk=-0.0394 replay=-0.0031 self_state=stressed attractor=defense mean_energy=1.7931 mean_motivation=0.2789 mean_risk=-1.8973 mean_velocity=0.3615 clusters=1 memory_center=-1.2940 memory_strength=15
MCM_STATE | mode=market impulse=-1.0668 motivation=-0.0893 risk=-0.2729 replay=-0.0078 self_state=stressed attractor=neutral mean_energy=-1.9095 mean_motivation=-0.0214 mean_risk=-1.9781 mean_velocity=0.5016 clusters=1 memory_center=1.3655 memory_strength=24
MCM_STATE | mode=outcome impulse=-0.9366 motivation=-0.2261 risk=-0.2235 replay=-0.0087 self_state=stressed attractor=neutral mean_energy=1.2446 mean_motivation=0.1519 mean_risk=-2.0537 mean_velocity=0.1626 clusters=1 memory_center=1.3839 memory_strength=18
MCM_STATE | mode=market impulse=0.5187 motivation=0.1700 risk=-0.0924 replay=-0.0011 self_state=stressed attractor=defense mean_energy=-0.7355 mean_motivation=0.1336 mean_risk=-1.9346 mean_velocity=0.1739 clusters=1 memory_center=-1.3824 memory_strength=23
MCM_STATE | mode=market impulse=-1.1927 motivation=-0.1097 risk=-0.2872 replay=0.0030 self_state=stressed attractor=defense mean_energy=-2.5080 mean_motivation=-0.1344 mean_risk=-2.0863 mean_velocity=0.7603 clusters=1 memory_center=-1.3384 memory_strength=24
MCM_STATE | mode=market impulse=0.1098 motivation=-0.0122 risk=-0.1196 replay=0.0154 self_state=stressed attractor=defense mean_energy=1.8857 mean_motivation=0.2509 mean_risk=-1.8575 mean_velocity=0.2380 clusters=1 memory_center=-2.4822 memory_strength=19
MCM_STATE | mode=market impulse=-0.3976 motivation=-0.0699 risk=-0.1434 replay=-0.0078 self_state=stressed attractor=defense mean_energy=-2.4663 mean_motivation=-0.1910 mean_risk=-2.0992 mean_velocity=0.5535 clusters=1 memory_center=-2.5005 memory_strength=43
MCM_STATE | mode=market impulse=0.1533 motivation=0.0691 risk=-0.1302 replay=0.0281 self_state=stressed attractor=defense mean_energy=-2.2374 mean_motivation=-0.0702 mean_risk=-2.0649 mean_velocity=0.3561 clusters=1 memory_center=-2.4970 memory_strength=58
MCM_STATE | mode=market impulse=0.6327 motivation=0.1645 risk=-0.0256 replay=0.0281 self_state=stressed attractor=defense mean_energy=-0.4648 mean_motivation=0.1364 mean_risk=-1.6885 mean_velocity=0.2144 clusters=1 memory_center=-1.4560 memory_strength=38
MCM_STATE | mode=market impulse=0.1841 motivation=0.0111 risk=-0.0987 replay=0.0086 self_state=stressed attractor=explore mean_energy=1.4016 mean_motivation=0.1156 mean_risk=-1.7218 mean_velocity=0.2090 clusters=1 memory_center=2.2389 memory_strength=26
MCM_STATE | mode=market impulse=1.4204 motivation=0.3088 risk=-0.2052 replay=0.0160 self_state=stressed attractor=defense mean_energy=2.4200 mean_motivation=0.3630 mean_risk=-2.0106 mean_velocity=0.7923 clusters=1 memory_center=-0.5837 memory_strength=17
