timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767375300000000;0;1;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1586;0.1775;0.0187;0.6017;0.2090;0.6554;0.4946;0.6995;0.6974;0.1056;0.1608;0.1961;1.0000;0.0837;0.7195;-;inner_ctx_2
1767375600000000;1;2;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1424;0.1689;0.0327;0.6508;0.2056;0.6686;-0.0489;0.6878;0.6904;0.0608;0.1260;0.2050;1.0000;0.0914;0.8371;ctx_3;inner_ctx_2
1767375900000000;2;3;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2651;0.0000;0.0000;0.0000;0.3004;0.3553;0.2393;0.2202;0.2078;0.6357;0.2887;0.6636;1.3835;0.6850;0.6588;0.4788;0.4559;0.3242;1.0000;0.1475;0.9198;ctx_9;inner_ctx_2
1767376200000000;3;4;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1490;0.1726;0.0294;0.7121;0.2104;0.6925;0.4504;0.7627;0.7710;0.2271;0.2338;0.2547;1.0000;0.1026;0.9822;ctx_3;inner_ctx_1
1767376500000000;4;5;hold;context_cluster_negative;WAIT;fragmented_perception_field;0.0000;0.1528;0.0000;0.0000;0.0000;0.2452;0.0331;0.4067;0.4523;0.0214;0.7404;0.2389;0.7078;1.0483;0.8402;0.8182;0.2086;0.2323;0.2927;1.0000;0.1419;0.9914;ctx_3;inner_ctx_2
1767376800000000;5;6;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2524;0.0000;0.0000;0.0000;0.3252;0.3384;0.2477;0.2308;0.2175;0.8039;0.2439;0.7503;1.0817;0.8495;0.8042;0.4752;0.4596;0.3597;1.0000;0.1581;1.0000;ctx_12;inner_ctx_3
1767377100000000;6;7;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1418;0.1685;0.0503;0.7210;0.2459;0.7021;-0.1482;0.7500;0.7075;0.3074;0.2913;0.1419;1.0000;0.1053;1.0000;-;inner_ctx_1
1767377400000000;7;8;act;plan_allowed;LONG;active_perception_field;0.0000;0.2551;0.0000;0.0000;0.0000;0.3204;0.3423;0.2464;0.2298;0.2191;0.7835;0.2381;0.7131;1.4349;0.8308;0.7960;0.5365;0.4724;0.2922;1.0000;0.1041;1.0000;ctx_25;inner_ctx_10
1767378900000000;12;9;hold;pause_mode;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1517;0.1751;0.0222;0.6759;0.2407;0.6058;0.6199;0.7749;0.7515;0.4121;0.3628;0.1554;1.0000;0.0981;1.0000;-;inner_ctx_9
1767379200000000;13;10;hold;pause_mode;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1361;0.1636;0.0495;0.7085;0.1779;0.6342;0.2956;0.7922;0.7733;0.2885;0.2319;0.1797;1.0000;0.0977;1.0000;-;inner_ctx_10
1767379500000000;14;11;hold;pause_mode;SHORT;active_perception_field;0.0000;0.2597;0.0000;0.0000;0.0000;0.3027;0.3453;0.2399;0.2191;0.2040;0.6508;0.3129;0.6095;0.5718;0.7057;0.6651;0.6553;0.5736;0.3383;1.0000;0.1601;1.0000;ctx_14;inner_ctx_2
1767379800000000;15;12;hold;pause_mode;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1582;0.1781;0.0174;0.5881;0.3882;0.5825;-0.6432;0.6015;0.5357;0.6187;0.5252;0.2615;1.0000;0.1118;1.0000;-;inner_ctx_7
1767380400000000;17;14;observe;zero_point_regulation;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1471;0.1700;0.0279;0.6826;0.2378;0.6658;0.6151;0.7485;0.7141;0.5633;0.4333;0.2410;1.0000;0.0945;1.0000;ctx_13;inner_ctx_2
1767380700000000;18;15;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1413;0.1659;0.0515;0.7936;0.1790;0.7346;0.0861;0.8732;0.8362;0.3136;0.2774;0.2696;1.0000;0.1005;1.0000;ctx_12;inner_ctx_10
