EXIT SL | time=N/A side=LONG entry=134.7200 tp=136.0683 sl=134.3320 risk=0.3880 mfe=0.1800 mae=0.5000 energy=0.9251 coherence=0.6756 asymmetry=1 coh_zone=2.0000 focus_point=0.4603 focus_confidence=0.2502 target_lock=0.3928 target_drift=-0.4409 signature_key=e:1.00|c:0.60|a:1|cp:0.50|ri:0.00|fp:0.40|fc:0.20|tl:0.40|td:-0.40|ee:0.60|te:0.20|ap:0.60|pr:0.00|er:0.40|rm:0.60|lb:0.60|pw:1.00|pc:0.80|sr:0.20|nd:0.20|tm:0.50|th:0.25|mc:-2.00|ms:12|at:-2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0123 context_cluster_id=ctx_12 context_cluster_bias=-0.1623 context_cluster_quality=-0.1623 context_cluster_distance=0.1031 context_cluster_block=False inhibition_level=0.1779 habituation_level=0.0852 competition_bias=0.1862 observation_mode=False long_score=0.2663 short_score=-2.1764 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.3880
EXIT SL | time=N/A side=LONG entry=141.6645 tp=143.2433 sl=141.1011 risk=0.5634 mfe=0.0000 mae=0.5845 energy=1.2650 coherence=0.9586 asymmetry=1 coh_zone=2.0000 focus_point=0.4110 focus_confidence=0.3850 target_lock=0.3785 target_drift=-0.2977 signature_key=e:1.25|c:1.00|a:1|cp:1.00|ri:0.20|fp:0.40|fc:0.20|tl:0.40|td:-0.20|ee:0.40|te:0.20|ap:0.80|pr:0.20|er:0.40|rm:0.60|lb:0.40|pw:1.00|pc:0.40|sr:0.40|nd:0.20|tm:1.00|th:0.25|mc:2.25|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0504 context_cluster_id=ctx_33 context_cluster_bias=-0.0858 context_cluster_quality=-0.0858 context_cluster_distance=0.1791 context_cluster_block=False inhibition_level=0.1631 habituation_level=0.0375 competition_bias=0.1760 observation_mode=False long_score=1.5354 short_score=-3.1901 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.5634
EXIT TP | time=N/A side=LONG entry=138.0200 tp=139.4796 sl=137.6247 risk=0.3953 mfe=1.5300 mae=0.0200 energy=1.1061 coherence=0.9153 asymmetry=1 coh_zone=2.0000 focus_point=0.4255 focus_confidence=0.3589 target_lock=0.4108 target_drift=-0.4023 signature_key=e:1.00|c:1.00|a:1|cp:1.00|ri:0.00|fp:0.40|fc:0.20|tl:0.40|td:-0.40|ee:0.60|te:0.20|ap:0.60|pr:0.40|er:0.40|rm:0.60|lb:0.40|pw:1.00|pc:0.40|sr:0.40|nd:0.20|tm:1.00|th:0.25|mc:2.50|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0596 context_cluster_id=ctx_33 context_cluster_bias=-0.2400 context_cluster_quality=-0.2898 context_cluster_distance=0.1830 context_cluster_block=False inhibition_level=0.1794 habituation_level=0.0611 competition_bias=0.1720 observation_mode=False long_score=1.3870 short_score=-3.1603 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=1.4596
EXIT TP | time=N/A side=LONG entry=141.2800 tp=142.7963 sl=140.8830 risk=0.3970 mfe=1.8400 mae=0.0000 energy=0.9022 coherence=0.6552 asymmetry=1 coh_zone=2.0000 focus_point=0.6404 focus_confidence=0.3617 target_lock=0.5819 target_drift=-0.6135 signature_key=e:1.00|c:0.60|a:1|cp:0.75|ri:0.00|fp:0.60|fc:0.40|tl:0.60|td:-0.60|ee:0.40|te:0.20|ap:0.60|pr:0.60|er:0.40|rm:0.60|lb:0.40|pw:1.00|pc:0.20|sr:0.40|nd:0.00|tm:0.75|th:0.00|mc:2.50|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.1596 context_cluster_id=ctx_20 context_cluster_bias=0.1084 context_cluster_quality=0.1084 context_cluster_distance=0.1974 context_cluster_block=False inhibition_level=0.1730 habituation_level=0.1300 competition_bias=0.2425 observation_mode=False long_score=1.3483 short_score=-2.6579 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=1.5163
EXIT SL | time=N/A side=LONG entry=145.5100 tp=147.0608 sl=145.0842 risk=0.4258 mfe=0.4900 mae=0.5000 energy=1.1345 coherence=0.8792 asymmetry=1 coh_zone=2.0000 focus_point=0.7117 focus_confidence=0.3555 target_lock=0.4780 target_drift=-0.6511 signature_key=e:1.25|c:0.80|a:1|cp:1.00|ri:0.00|fp:0.80|fc:0.20|tl:0.40|td:-0.60|ee:0.60|te:0.20|ap:0.60|pr:0.00|er:0.40|rm:0.60|lb:0.60|pw:1.00|pc:0.60|sr:0.40|nd:0.20|tm:0.75|th:0.25|mc:2.50|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.1681 context_cluster_id=ctx_20 context_cluster_bias=0.0651 context_cluster_quality=0.0651 context_cluster_distance=0.2476 context_cluster_block=False inhibition_level=0.2210 habituation_level=0.1086 competition_bias=0.2626 observation_mode=False long_score=1.6451 short_score=-3.1857 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.4258
