MCM_STATE | mode=market impulse=1.2067 motivation=0.3003 risk=-0.1331 replay=-0.0117 self_state=active attractor=defense mean_energy=2.7348 mean_motivation=0.6671 mean_risk=-1.0986 mean_velocity=0.5615 clusters=1 memory_center=-2.2987 memory_strength=18
MCM_STATE | mode=market impulse=0.9845 motivation=0.2167 risk=-0.0920 replay=0.0031 self_state=stressed attractor=defense mean_energy=-0.7156 mean_motivation=0.1710 mean_risk=-1.6544 mean_velocity=0.2158 clusters=1 memory_center=-2.1492 memory_strength=26
MCM_STATE | mode=market impulse=0.9863 motivation=0.2525 risk=-0.0984 replay=0.0094 self_state=stressed attractor=neutral mean_energy=1.5250 mean_motivation=0.1972 mean_risk=-1.7448 mean_velocity=0.3286 clusters=1 memory_center=1.3118 memory_strength=32
MCM_STATE | mode=market impulse=0.8414 motivation=0.1689 risk=-0.0739 replay=-0.0175 self_state=stressed attractor=defense mean_energy=0.0732 mean_motivation=0.0779 mean_risk=-1.8098 mean_velocity=0.2749 clusters=1 memory_center=-0.9986 memory_strength=39
MCM_STATE | mode=market impulse=1.3825 motivation=0.2678 risk=-0.2133 replay=0.0029 self_state=stressed attractor=explore mean_energy=2.4200 mean_motivation=0.3495 mean_risk=-1.9233 mean_velocity=0.6642 clusters=1 memory_center=2.0967 memory_strength=33
MCM_STATE | mode=market impulse=0.7237 motivation=0.1316 risk=-0.0765 replay=0.0194 self_state=stressed attractor=cooperate mean_energy=0.6886 mean_motivation=0.0939 mean_risk=-1.9445 mean_velocity=0.4510 clusters=1 memory_center=-0.3000 memory_strength=23
MCM_STATE | mode=market impulse=-1.2089 motivation=-0.1362 risk=-0.3091 replay=-0.0080 self_state=stressed attractor=defense mean_energy=-1.4367 mean_motivation=0.0413 mean_risk=-2.0983 mean_velocity=0.5031 clusters=1 memory_center=-1.3403 memory_strength=26
MCM_STATE | mode=market impulse=0.6264 motivation=0.1113 risk=-0.0814 replay=0.0093 self_state=stressed attractor=defense mean_energy=-0.0218 mean_motivation=0.1079 mean_risk=-2.0196 mean_velocity=0.2561 clusters=1 memory_center=-2.4397 memory_strength=42
MCM_STATE | mode=market impulse=-0.2981 motivation=-0.0416 risk=-0.0798 replay=0.0049 self_state=stressed attractor=cooperate mean_energy=-0.2645 mean_motivation=0.0455 mean_risk=-1.9147 mean_velocity=0.2462 clusters=1 memory_center=0.3193 memory_strength=25
MCM_STATE | mode=market impulse=-0.6412 motivation=-0.0593 risk=-0.1065 replay=0.0038 self_state=stressed attractor=cooperate mean_energy=-1.1998 mean_motivation=0.0581 mean_risk=-1.9756 mean_velocity=0.4633 clusters=1 memory_center=-0.2303 memory_strength=17
MCM_STATE | mode=market impulse=-1.0418 motivation=-0.1020 risk=-0.3098 replay=0.0027 self_state=stressed attractor=defense mean_energy=-2.4202 mean_motivation=-0.1245 mean_risk=-1.9359 mean_velocity=0.5130 clusters=1 memory_center=-1.3372 memory_strength=38
MCM_STATE | mode=market impulse=-0.3196 motivation=-0.0133 risk=-0.1105 replay=0.0147 self_state=stressed attractor=neutral mean_energy=1.5164 mean_motivation=0.2713 mean_risk=-1.7943 mean_velocity=0.1434 clusters=1 memory_center=1.2467 memory_strength=20
MCM_STATE | mode=market impulse=0.6982 motivation=0.1439 risk=-0.0732 replay=-0.0232 self_state=stressed attractor=neutral mean_energy=2.2432 mean_motivation=0.1825 mean_risk=-1.9857 mean_velocity=0.5124 clusters=1 memory_center=1.3852 memory_strength=38
MCM_STATE | mode=market impulse=-0.3110 motivation=-0.0638 risk=-0.1223 replay=0.0166 self_state=stressed attractor=explore mean_energy=-2.3112 mean_motivation=-0.1864 mean_risk=-2.0544 mean_velocity=0.4144 clusters=1 memory_center=2.2314 memory_strength=21
MCM_STATE | mode=market impulse=0.2913 motivation=0.1033 risk=-0.1386 replay=-0.0231 self_state=stressed attractor=defense mean_energy=-0.2203 mean_motivation=0.1216 mean_risk=-1.8823 mean_velocity=0.1895 clusters=1 memory_center=-2.4393 memory_strength=31
MCM_STATE | mode=market impulse=-1.2215 motivation=-0.1224 risk=-0.3043 replay=-0.0030 self_state=stressed attractor=defense mean_energy=-2.5080 mean_motivation=-0.1814 mean_risk=-2.1264 mean_velocity=0.8909 clusters=1 memory_center=-2.4733 memory_strength=31
MCM_STATE | mode=market impulse=0.1150 motivation=-0.0131 risk=-0.1196 replay=0.0268 self_state=stressed attractor=defense mean_energy=2.0011 mean_motivation=0.2354 mean_risk=-1.8278 mean_velocity=0.2486 clusters=1 memory_center=-2.3778 memory_strength=19
MCM_STATE | mode=market impulse=-0.3890 motivation=-0.0702 risk=-0.1434 replay=0.0113 self_state=stressed attractor=defense mean_energy=-2.4568 mean_motivation=-0.2140 mean_risk=-2.1085 mean_velocity=0.5381 clusters=1 memory_center=-2.4939 memory_strength=43
