TARGET_EXPECTATION ts=1767792300000000 label=target_expectation_holds side=LONG entry=137.0519 close=138.1500 tp=138.4774 tp_reachability=0.7246 target_path_integrity=0.7038 expectation_deviation=0.2351 expectation_break_pressure=0.2244 expectation_hold_support=0.7242 target_room_pressure=0.3087 target_semantic_confidence=0.6418 target_progress=0.7703 target_remaining_r=0.9839 target_recovery_potential=0.7766 target_recovery_momentum=0.1835 target_recovery_confirmation=0.5003 break_to_recovery_delta=0.5048 current_route_familiarity=0.3080 current_semantic_shift_pressure=0.2009 current_transfer_bearing=0.3333 semantic_transfer_stress=0.3551 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7207 expectation_break_persistence=0.1447 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767895500000000 label=target_expectation_holds side=LONG entry=138.4200 close=138.8900 tp=139.8369 tp_reachability=0.6516 target_path_integrity=0.6681 expectation_deviation=0.1974 expectation_break_pressure=0.1981 expectation_hold_support=0.6642 target_room_pressure=0.3450 target_semantic_confidence=0.5899 target_progress=0.3317 target_remaining_r=2.1059 target_recovery_potential=0.6052 target_recovery_momentum=0.6265 target_recovery_confirmation=0.6559 break_to_recovery_delta=0.6632 current_route_familiarity=0.3467 current_semantic_shift_pressure=0.1643 current_transfer_bearing=0.3478 semantic_transfer_stress=0.3301 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5585 expectation_break_persistence=0.1457 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767992100000000 label=target_expectation_holds side=LONG entry=135.5951 close=135.6100 tp=137.0747 tp_reachability=0.5759 target_path_integrity=0.6173 expectation_deviation=0.2787 expectation_break_pressure=0.2655 expectation_hold_support=0.5974 target_room_pressure=0.6042 target_semantic_confidence=0.6644 target_progress=0.0100 target_remaining_r=4.4639 target_recovery_potential=0.3122 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3194 break_to_recovery_delta=0.3866 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1978 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767994500000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.0800 tp=137.0747 tp_reachability=0.6092 target_path_integrity=0.6665 expectation_deviation=0.2956 expectation_break_pressure=0.2795 expectation_hold_support=0.6499 target_room_pressure=0.4549 target_semantic_confidence=0.5971 target_progress=0.3277 target_remaining_r=3.0315 target_recovery_potential=0.7056 target_recovery_momentum=0.2512 target_recovery_confirmation=0.4996 break_to_recovery_delta=0.4991 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6307 expectation_break_persistence=0.1859 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767999000000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.1000 tp=137.0747 tp_reachability=0.5748 target_path_integrity=0.6493 expectation_deviation=0.3130 expectation_break_pressure=0.3108 expectation_hold_support=0.6222 target_room_pressure=0.4824 target_semantic_confidence=0.5487 target_progress=0.3412 target_remaining_r=2.9705 target_recovery_potential=0.6949 target_recovery_momentum=0.0288 target_recovery_confirmation=0.3878 break_to_recovery_delta=0.3932 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6242 expectation_break_persistence=0.2015 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768001400000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.3800 tp=137.0747 tp_reachability=0.7743 target_path_integrity=0.7738 expectation_deviation=0.1745 expectation_break_pressure=0.1758 expectation_hold_support=0.7826 target_room_pressure=0.3435 target_semantic_confidence=0.7203 target_progress=0.5305 target_remaining_r=2.1172 target_recovery_potential=0.7818 target_recovery_momentum=0.5269 target_recovery_confirmation=0.6744 break_to_recovery_delta=0.6796 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7051 expectation_break_persistence=0.1185 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768004700000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.0000 tp=137.0747 tp_reachability=0.5660 target_path_integrity=0.6341 expectation_deviation=0.3370 expectation_break_pressure=0.3204 expectation_hold_support=0.6086 target_room_pressure=0.5520 target_semantic_confidence=0.5689 target_progress=0.2736 target_remaining_r=3.2753 target_recovery_potential=0.6342 target_recovery_momentum=0.5818 target_recovery_confirmation=0.6217 break_to_recovery_delta=0.6092 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5081 expectation_break_persistence=0.2131 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768008900000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.1200 tp=137.0747 tp_reachability=0.5697 target_path_integrity=0.6236 expectation_deviation=0.3218 expectation_break_pressure=0.3189 expectation_hold_support=0.6088 target_room_pressure=0.5270 target_semantic_confidence=0.5215 target_progress=0.3547 target_remaining_r=2.9096 target_recovery_potential=0.7015 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3698 break_to_recovery_delta=0.3711 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6599 expectation_break_persistence=0.2094 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768011300000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.4500 tp=137.0747 tp_reachability=0.7191 target_path_integrity=0.7236 expectation_deviation=0.2191 expectation_break_pressure=0.2134 expectation_hold_support=0.7307 target_room_pressure=0.3969 target_semantic_confidence=0.6501 target_progress=0.5778 target_remaining_r=1.9038 target_recovery_potential=0.8100 target_recovery_momentum=0.0000 target_recovery_confirmation=0.4275 break_to_recovery_delta=0.4385 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7881 expectation_break_persistence=0.1444 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1768013700000000 label=target_expectation_holds side=LONG entry=135.5951 close=136.3900 tp=137.0747 tp_reachability=0.6501 target_path_integrity=0.6882 expectation_deviation=0.2736 expectation_break_pressure=0.2602 expectation_hold_support=0.6783 target_room_pressure=0.4537 target_semantic_confidence=0.5959 target_progress=0.5372 target_remaining_r=2.0867 target_recovery_potential=0.6898 target_recovery_momentum=0.5478 target_recovery_confirmation=0.6329 break_to_recovery_delta=0.6299 current_route_familiarity=0.2778 current_semantic_shift_pressure=0.1629 current_transfer_bearing=0.3210 semantic_transfer_stress=0.3469 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5918 expectation_break_persistence=0.1740 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
