section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.primary_field_step;53.2853;agents=230|dims=3
apply_runtime_result.total;3.0361;decision_tendency=act|runtime_tick_seq=1
step_mcm_brain.cluster_detect_pre_memory;0.0575;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3633;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.6799;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.7353;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.8524;decision_tendency=hold
step_mcm_brain.primary_field_step;54.5823;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9452;agents=230|neighbors=8
step_mcm_brain.total;97.3309;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3268;agents=230
apply_runtime_result.total;2.8070;decision_tendency=hold|runtime_tick_seq=7
step_mcm_brain.cluster_detect_snapshot;3.4358;clusters=1|agents=230
apply_runtime_result.refresh_experience_space;2.5046;decision_tendency=hold
apply_runtime_result.total;2.9881;decision_tendency=hold|runtime_tick_seq=11
mcm_field.step.field_perception_state;0.3240;agents=230
mcm_field.step.activity_diffusion;12.6898;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.5948;decision_tendency=act
step_mcm_brain.primary_field_step;54.0814;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.2280;agents=230|neighbors=8
step_mcm_brain.cluster_detect_pre_memory;0.0515;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4583;agents=230|dims=3
step_mcm_brain.snapshot_field_read;19.0836;neurons=230|areals=1
mcm_field.step.activity_diffusion;22.2970;agents=230|neighbors=8
compute_runtime_result.total;121.4424;decision_tendency=observe|active_trade=False
mcm_field.step.total;55.6224;agents=230|dims=3
apply_runtime_result.total;3.9639;decision_tendency=hold|runtime_tick_seq=18
step_mcm_brain.cluster_detect_pre_memory;0.0720;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4500;agents=230|dims=3
step_mcm_brain.snapshot_field_read;19.9807;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5755;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.9919;decision_tendency=act
step_mcm_brain.primary_field_step;56.2506;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0512;agents=230|neighbors=8
step_mcm_brain.memory_store;0.0555;clusters=1
mcm_field.step.build_neighbor_state_map;4.2200;agents=230|neighbors=8
step_mcm_brain.memory_store;0.0671;clusters=1
mcm_field.step.build_neighbor_state_map;2.7008;agents=230|neighbors=8
step_mcm_brain.cluster_detect_pre_memory;0.1035;clusters=1|agents=230
write_runtime_snapshot_payload.total;13.0725;kind=visual|keys=7|path=debug\debug_lauf_4\bot_visual_snapshot.json
step_mcm_brain.primary_field_step;114.3933;agents=230|dims=3
apply_runtime_result.total;3.6799;decision_tendency=act|runtime_tick_seq=26
step_mcm_brain.cluster_detect_pre_memory;0.0698;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4789;agents=230|dims=3
step_mcm_brain.self_regulation;0.1311;self_state=stressed|agents=230
mcm_field.step.neuron_loop;47.7308;agents=230|neighbors=8
step_mcm_brain.total;139.5419;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.5042;agents=230
apply_runtime_result.total;4.4823;decision_tendency=hold|runtime_tick_seq=30
step_mcm_brain.cluster_detect_pre_memory;0.0541;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;1.9499;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;17.0899;neurons=230|areals=1
mcm_field.step.activity_diffusion;14.4585;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;4.2862;decision_tendency=hold
step_mcm_brain.primary_field_step;60.9566;agents=230|dims=3
apply_runtime_result.total;3.0372;decision_tendency=hold|runtime_tick_seq=34
step_mcm_brain.cluster_detect_pre_memory;0.1046;clusters=1|agents=230
mcm_field.step.sync_neurons;2.6052;agents=230|dims=3
step_mcm_brain.snapshot_field_read;23.3997;neurons=230|areals=1
mcm_field.step.refresh_arrays;1.1293;agents=230|dims=3
step_mcm_brain.total;146.3402;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.8290;agents=230
apply_runtime_result.refresh_experience_space;6.0782;decision_tendency=observe
mcm_field.step.total;84.0043;agents=230|dims=3
apply_runtime_result.total;3.9633;decision_tendency=observe|runtime_tick_seq=39
step_mcm_brain.cluster_detect_snapshot;3.8116;clusters=1|agents=230
mcm_field.step.context_memory_matrix;0.0544;active=False|agents=230
step_mcm_brain.cluster_detect_snapshot;4.1209;clusters=1|agents=230
mcm_field.step.activity_diffusion;16.8708;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.4721;decision_tendency=observe
mcm_field.step.total;89.7432;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1908;active=0.9226
step_mcm_brain.primary_field_step;63.5054;agents=230|dims=3
memory_state.write_payload;161.0070;path=bot_memory/memory_state.json|keys=55
step_mcm_brain.cluster_detect_pre_memory;0.0557;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4314;agents=230|dims=3
step_mcm_brain.snapshot_field_read;20.9329;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.8494;agents=230|dims=3
step_mcm_brain.total;142.6284;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.4790;agents=230
apply_runtime_result.refresh_experience_space;7.3573;decision_tendency=observe
mcm_field.step.total;95.9629;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1125;active=0.9009
step_mcm_brain.cluster_detect_pre_memory;0.0944;clusters=1|agents=230
build_runtime_pipeline_snapshot.total;0.0555;keys=40
mcm_field.step.field_perception_state;0.7209;agents=230
apply_runtime_result.refresh_experience_space;5.4015;decision_tendency=act
step_mcm_brain.primary_field_step;59.5726;agents=230|dims=3
apply_runtime_result.total;5.4320;decision_tendency=observe|runtime_tick_seq=52
step_mcm_brain.cluster_detect_pre_memory;0.0666;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4868;agents=230|dims=3
step_mcm_brain.total;91.4614;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.4005;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1120;active=0.9282
step_mcm_brain.cluster_detect_pre_memory;0.0736;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.1006;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;18.3502;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5057;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.2008;active=0.9319
step_mcm_brain.primary_field_step;78.3873;agents=230|dims=3
