section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.5712;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3697;agents=230|dims=3
step_mcm_brain.memory_store;0.0647;clusters=1
mcm_field.step.build_neighbor_state_map;1.9465;agents=230|neighbors=8
compute_runtime_result.total;77.7605;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3620;agents=230
apply_runtime_result.total;2.9901;decision_tendency=hold|runtime_tick_seq=4
step_mcm_brain.snapshot_field_read;15.9063;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.9432;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1112;active=0.8912
step_mcm_brain.cluster_detect_pre_memory;0.0627;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4155;agents=230|dims=3
step_mcm_brain.snapshot_field_read;21.2983;neurons=230|areals=1
apply_runtime_result.refresh_active_context_trace;0.1059;active=0.9226
compute_runtime_result.total;0.2393;decision_tendency=hold|active_trade=True
mcm_field.step.total;53.6257;agents=230|dims=3
mcm_field.step.refresh_arrays;0.4956;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1091;active=0.9346
step_mcm_brain.cluster_detect_pre_memory;0.0521;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4608;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.7166;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4539;agents=230|dims=3
compute_runtime_result.total;92.1840;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3430;agents=230
apply_runtime_result.total;3.2964;decision_tendency=hold|runtime_tick_seq=17
step_mcm_brain.self_regulation;0.0584;self_state=stressed|agents=230
mcm_field.step.neuron_loop;35.7163;agents=230|neighbors=8
compute_runtime_result.total;98.6281;decision_tendency=hold|active_trade=False
mcm_field.step.total;51.1800;agents=230|dims=3
mcm_field.step.sync_neurons;1.4019;agents=230|dims=3
step_mcm_brain.snapshot_field_read;18.6179;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4488;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1065;active=0.9195
step_mcm_brain.primary_field_step;67.8251;agents=230|dims=3
apply_runtime_result.total;3.2623;decision_tendency=hold|runtime_tick_seq=23
step_mcm_brain.snapshot_field_read;15.5216;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5164;agents=230|dims=3
