timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767375300000000;0;1;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1584;0.1772;0.0212;0.5997;0.2084;0.6507;0.5386;0.6960;0.6959;0.1072;0.1631;0.2034;1.0000;0.0844;0.7186;-;inner_ctx_7
1767375600000000;1;2;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1420;0.1690;0.0348;0.6512;0.2068;0.6651;-0.0359;0.6838;0.6884;0.0635;0.1287;0.2088;1.0000;0.0917;0.8468;ctx_3;inner_ctx_2
1767375900000000;2;3;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2645;0.0000;0.0000;0.0000;0.3017;0.3545;0.2397;0.2209;0.2076;0.6369;0.2889;0.6603;1.4050;0.6835;0.6599;0.4821;0.4594;0.3267;1.0000;0.1478;0.9292;ctx_9;inner_ctx_2
1767376200000000;3;4;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1484;0.1722;0.0327;0.7124;0.2078;0.6885;0.4471;0.7605;0.7717;0.2284;0.2356;0.2563;1.0000;0.1038;0.9883;ctx_3;inner_ctx_9
1767376500000000;4;5;hold;context_cluster_negative;WAIT;fragmented_perception_field;0.0000;0.1521;0.0000;0.0000;0.0000;0.2493;0.0327;0.4120;0.4564;0.0168;0.7360;0.2471;0.7029;1.0525;0.8378;0.8192;0.2030;0.2275;0.2929;1.0000;0.1438;0.9974;ctx_12;inner_ctx_2
1767376800000000;5;6;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2527;0.0000;0.0000;0.0000;0.3246;0.3390;0.2507;0.2328;0.2141;0.7976;0.2523;0.7451;1.0877;0.8460;0.8036;0.4726;0.4575;0.3596;1.0000;0.1592;1.0000;ctx_12;inner_ctx_8
1767377100000000;6;7;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1454;0.1710;0.0479;0.7276;0.2279;0.7045;-0.1289;0.7759;0.7478;0.3077;0.2910;0.1421;1.0000;0.1065;1.0000;ctx_13;inner_ctx_9
1767377400000000;7;8;act;plan_allowed;LONG;active_perception_field;0.0000;0.2547;0.0000;0.0000;0.0000;0.3200;0.3417;0.2566;0.2359;0.2116;0.7688;0.2581;0.7073;1.3475;0.8272;0.7956;0.5370;0.4724;0.2922;1.0000;0.1041;1.0000;ctx_25;inner_ctx_7
1767378900000000;12;9;hold;pause_mode;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1517;0.1750;0.0224;0.6729;0.2409;0.5980;0.4699;0.7702;0.7511;0.4054;0.3584;0.1555;1.0000;0.0975;1.0000;-;inner_ctx_6
1767379200000000;13;10;hold;pause_mode;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1362;0.1636;0.0483;0.7054;0.1756;0.6262;0.1902;0.7874;0.7734;0.2784;0.2252;0.1567;1.0000;0.0972;1.0000;-;inner_ctx_7
