EXIT_CANDIDATE ts=1767406800000000 label=exit_candidate_observe candidate=1 side=SHORT entry=132.3417 close=132.7100 confirmation_score=0.5278 exit_decision_pressure=0.5863 plan_trust=0.4835 holding_stability=0.4035 intervention_fitness=0.4199 intervention_unfit_state=0.4534 exit_evidence=0.5954 current_r=-0.8284 target_expectation_context=expectation_break_observe tp_reachability=0.3796 expectation_break_pressure=0.6262 expectation_hold_support=0.4271 target_recovery_potential=0.4761 target_recovery_momentum=0.0000 target_recovery_confirmation=0.2683 break_to_recovery_delta=0.2638 expectation_break_persistence=0.4611 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767424500000000 label=plan_trust_holds candidate=0 side=SHORT entry=131.5700 close=130.5900 confirmation_score=0.1272 exit_decision_pressure=0.1256 plan_trust=0.8403 holding_stability=0.8466 intervention_fitness=0.0850 intervention_unfit_state=0.2546 exit_evidence=0.1019 current_r=2.3677 target_expectation_context=target_expectation_holds tp_reachability=0.8200 expectation_break_pressure=0.1253 expectation_hold_support=0.8430 target_recovery_potential=0.8757 target_recovery_momentum=0.2479 target_recovery_confirmation=0.5847 break_to_recovery_delta=0.6064 expectation_break_persistence=0.0822 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767449700000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.2100 confirmation_score=0.2981 exit_decision_pressure=0.2402 plan_trust=0.5286 holding_stability=0.5379 intervention_fitness=0.1668 intervention_unfit_state=0.3596 exit_evidence=0.2177 current_r=0.2409 target_expectation_context=target_pullback_observe tp_reachability=0.5181 expectation_break_pressure=0.2837 expectation_hold_support=0.5426 target_recovery_potential=0.6228 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3521 break_to_recovery_delta=0.3508 expectation_break_persistence=0.2109 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767452100000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.9900 confirmation_score=0.2029 exit_decision_pressure=0.1811 plan_trust=0.6831 holding_stability=0.7609 intervention_fitness=0.1206 intervention_unfit_state=0.3009 exit_evidence=0.1500 current_r=2.8401 target_expectation_context=target_expectation_holds tp_reachability=0.6823 expectation_break_pressure=0.2049 expectation_hold_support=0.7002 target_recovery_potential=0.6765 target_recovery_momentum=0.5805 target_recovery_confirmation=0.6526 break_to_recovery_delta=0.6555 expectation_break_persistence=0.1426 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767454500000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.7800 confirmation_score=0.2613 exit_decision_pressure=0.2807 plan_trust=0.6832 holding_stability=0.7328 intervention_fitness=0.1894 intervention_unfit_state=0.3353 exit_evidence=0.2422 current_r=2.1403 target_expectation_context=target_expectation_holds tp_reachability=0.6332 expectation_break_pressure=0.2586 expectation_hold_support=0.6829 target_recovery_potential=0.7268 target_recovery_momentum=0.1475 target_recovery_confirmation=0.4662 break_to_recovery_delta=0.4777 expectation_break_persistence=0.1716 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767456900000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.9000 confirmation_score=0.2178 exit_decision_pressure=0.2171 plan_trust=0.7215 holding_stability=0.7655 intervention_fitness=0.1427 intervention_unfit_state=0.3270 exit_evidence=0.1812 current_r=2.5402 target_expectation_context=target_expectation_holds tp_reachability=0.6845 expectation_break_pressure=0.2165 expectation_hold_support=0.7239 target_recovery_potential=0.7679 target_recovery_momentum=0.1144 target_recovery_confirmation=0.4710 break_to_recovery_delta=0.4868 expectation_break_persistence=0.1464 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767459300000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.7800 confirmation_score=0.3326 exit_decision_pressure=0.3608 plan_trust=0.6087 holding_stability=0.6738 intervention_fitness=0.2540 intervention_unfit_state=0.3972 exit_evidence=0.3423 current_r=2.1403 target_expectation_context=target_expectation_holds tp_reachability=0.5637 expectation_break_pressure=0.3176 expectation_hold_support=0.6143 target_recovery_potential=0.7052 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3719 break_to_recovery_delta=0.3761 expectation_break_persistence=0.2052 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767461700000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=132.0000 confirmation_score=0.1971 exit_decision_pressure=0.1771 plan_trust=0.7246 holding_stability=0.7741 intervention_fitness=0.1142 intervention_unfit_state=0.3395 exit_evidence=0.1465 current_r=2.8734 target_expectation_context=target_expectation_holds tp_reachability=0.7012 expectation_break_pressure=0.1971 expectation_hold_support=0.7331 target_recovery_potential=0.7565 target_recovery_momentum=0.1984 target_recovery_confirmation=0.5073 break_to_recovery_delta=0.5241 expectation_break_persistence=0.1359 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767464100000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.8600 confirmation_score=0.3026 exit_decision_pressure=0.3219 plan_trust=0.6474 holding_stability=0.6984 intervention_fitness=0.2276 intervention_unfit_state=0.3942 exit_evidence=0.3060 current_r=2.4069 target_expectation_context=target_expectation_holds tp_reachability=0.5987 expectation_break_pressure=0.2878 expectation_hold_support=0.6524 target_recovery_potential=0.6810 target_recovery_momentum=0.4357 target_recovery_confirmation=0.5727 break_to_recovery_delta=0.5738 expectation_break_persistence=0.1865 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
EXIT_CANDIDATE ts=1767466500000000 label=plan_trust_holds candidate=0 side=LONG entry=131.1377 close=131.9700 confirmation_score=0.2059 exit_decision_pressure=0.1891 plan_trust=0.7138 holding_stability=0.7624 intervention_fitness=0.1206 intervention_unfit_state=0.3557 exit_evidence=0.1569 current_r=2.7735 target_expectation_context=target_expectation_holds tp_reachability=0.6888 expectation_break_pressure=0.2089 expectation_hold_support=0.7210 target_recovery_potential=0.7678 target_recovery_momentum=0.0000 target_recovery_confirmation=0.4170 break_to_recovery_delta=0.4374 expectation_break_persistence=0.1449 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
