TARGET_EXPECTATION ts=1767474300000000 label=target_expectation_holds side=LONG entry=131.1377 close=131.9800 tp=132.6907 tp_reachability=0.6629 target_path_integrity=0.7146 expectation_deviation=0.2318 expectation_break_pressure=0.2284 expectation_hold_support=0.6970 target_room_pressure=0.4406 target_semantic_confidence=0.5882 target_progress=0.5424 target_remaining_r=2.3683 target_recovery_potential=0.7384 target_recovery_momentum=0.0899 target_recovery_confirmation=0.4427 break_to_recovery_delta=0.4591 current_route_familiarity=0.4097 current_semantic_shift_pressure=0.2635 current_transfer_bearing=0.4147 semantic_transfer_stress=0.3456 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6933 expectation_break_persistence=0.1576 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767482100000000 label=target_expectation_holds side=LONG entry=133.1900 close=133.4700 tp=134.7289 tp_reachability=0.6569 target_path_integrity=0.7608 expectation_deviation=0.1792 expectation_break_pressure=0.1894 expectation_hold_support=0.7097 target_room_pressure=0.4330 target_semantic_confidence=0.6748 target_progress=0.1819 target_remaining_r=3.8934 target_recovery_potential=0.6920 target_recovery_momentum=0.5716 target_recovery_confirmation=0.6651 break_to_recovery_delta=0.6750 current_route_familiarity=0.3991 current_semantic_shift_pressure=0.3109 current_transfer_bearing=0.3458 semantic_transfer_stress=0.3837 current_adaptation_phase=immature_transfer_watch prior_target_hold_support=0.6095 expectation_break_persistence=0.1394 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767484500000000 label=target_expectation_holds side=LONG entry=133.1900 close=133.3700 tp=134.7289 tp_reachability=0.5462 target_path_integrity=0.6269 expectation_deviation=0.3097 expectation_break_pressure=0.2935 expectation_hold_support=0.5892 target_room_pressure=0.5559 target_semantic_confidence=0.5952 target_progress=0.1170 target_remaining_r=4.2026 target_recovery_potential=0.6609 target_recovery_momentum=0.0327 target_recovery_confirmation=0.3863 break_to_recovery_delta=0.3903 current_route_familiarity=0.3991 current_semantic_shift_pressure=0.3109 current_transfer_bearing=0.3458 semantic_transfer_stress=0.3837 current_adaptation_phase=immature_transfer_watch prior_target_hold_support=0.5839 expectation_break_persistence=0.2067 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767488100000000 label=target_expectation_holds side=LONG entry=134.1216 close=134.5700 tp=135.6478 tp_reachability=0.7090 target_path_integrity=0.7360 expectation_deviation=0.2307 expectation_break_pressure=0.2162 expectation_hold_support=0.7415 target_room_pressure=0.4360 target_semantic_confidence=0.7083 target_progress=0.2938 target_remaining_r=3.5070 target_recovery_potential=0.8224 target_recovery_momentum=0.0000 target_recovery_confirmation=0.4375 break_to_recovery_delta=0.4472 current_route_familiarity=0.4041 current_semantic_shift_pressure=0.3021 current_transfer_bearing=0.3577 semantic_transfer_stress=0.3764 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7871 expectation_break_persistence=0.1471 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767499800000000 label=target_expectation_holds side=LONG entry=134.3928 close=134.6000 tp=135.8360 tp_reachability=0.6579 target_path_integrity=0.7533 expectation_deviation=0.1515 expectation_break_pressure=0.1642 expectation_hold_support=0.7047 target_room_pressure=0.4005 target_semantic_confidence=0.6549 target_progress=0.1436 target_remaining_r=3.8983 target_recovery_potential=0.3267 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3448 break_to_recovery_delta=0.4459 current_route_familiarity=0.3308 current_semantic_shift_pressure=0.3306 current_transfer_bearing=0.2906 semantic_transfer_stress=0.4162 current_adaptation_phase=immature_transfer_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1289 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767502800000000 label=target_watch side=LONG entry=134.3928 close=134.3600 tp=135.8360 tp_reachability=0.4297 target_path_integrity=0.4956 expectation_deviation=0.4305 expectation_break_pressure=0.4106 expectation_hold_support=0.4654 target_room_pressure=0.6705 target_semantic_confidence=0.5144 target_progress=0.0000 target_remaining_r=4.6552 target_recovery_potential=0.5692 target_recovery_momentum=0.2226 target_recovery_confirmation=0.4191 break_to_recovery_delta=0.3950 current_route_familiarity=0.3308 current_semantic_shift_pressure=0.3306 current_transfer_bearing=0.2906 semantic_transfer_stress=0.4162 current_adaptation_phase=immature_transfer_watch prior_target_hold_support=0.5171 expectation_break_persistence=0.2760 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767506400000000 label=target_pullback_observe side=LONG entry=134.3928 close=134.4700 tp=135.8360 tp_reachability=0.5192 target_path_integrity=0.5732 expectation_deviation=0.3323 expectation_break_pressure=0.3094 expectation_hold_support=0.5525 target_room_pressure=0.6195 target_semantic_confidence=0.5783 target_progress=0.0535 target_remaining_r=4.3083 target_recovery_potential=0.6645 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3634 break_to_recovery_delta=0.3566 current_route_familiarity=0.3308 current_semantic_shift_pressure=0.3306 current_transfer_bearing=0.2906 semantic_transfer_stress=0.4162 current_adaptation_phase=immature_transfer_watch prior_target_hold_support=0.6378 expectation_break_persistence=0.2229 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767534300000000 label=target_unclear_observe side=SHORT entry=134.0000 close=134.2500 tp=132.7039 tp_reachability=0.3804 target_path_integrity=0.4302 expectation_deviation=0.5147 expectation_break_pressure=0.5445 expectation_hold_support=0.4128 target_room_pressure=0.6872 target_semantic_confidence=0.4144 target_progress=0.0000 target_remaining_r=3.7004 target_recovery_potential=0.4086 target_recovery_momentum=0.0000 target_recovery_confirmation=0.2625 break_to_recovery_delta=0.2569 current_route_familiarity=0.4112 current_semantic_shift_pressure=0.2845 current_transfer_bearing=0.4031 semantic_transfer_stress=0.3569 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.4640 expectation_break_persistence=0.3276 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767546300000000 label=target_pullback_observe side=LONG entry=135.2176 close=135.1000 tp=136.7811 tp_reachability=0.5216 target_path_integrity=0.5608 expectation_deviation=0.3554 expectation_break_pressure=0.3606 expectation_hold_support=0.5496 target_room_pressure=0.6254 target_semantic_confidence=0.5962 target_progress=0.0000 target_remaining_r=4.7881 target_recovery_potential=0.5298 target_recovery_momentum=0.0321 target_recovery_confirmation=0.3511 break_to_recovery_delta=0.3609 current_route_familiarity=0.3916 current_semantic_shift_pressure=0.2681 current_transfer_bearing=0.3780 semantic_transfer_stress=0.3592 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5450 expectation_break_persistence=0.2388 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767574200000000 label=target_expectation_holds side=LONG entry=134.6313 close=135.4500 tp=136.1444 tp_reachability=0.7174 target_path_integrity=0.7846 expectation_deviation=0.2199 expectation_break_pressure=0.2037 expectation_hold_support=0.7548 target_room_pressure=0.3206 target_semantic_confidence=0.6925 target_progress=0.5410 target_remaining_r=2.2460 target_recovery_potential=0.3960 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3638 break_to_recovery_delta=0.4591 current_route_familiarity=0.3732 current_semantic_shift_pressure=0.2173 current_transfer_bearing=0.4115 semantic_transfer_stress=0.3328 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1337 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
