section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;4.9709;clusters=1|agents=230
mcm_field.step.sync_neurons;1.5586;agents=230|dims=3
step_mcm_brain.self_regulation;0.0716;self_state=active|agents=230
mcm_field.step.neuron_loop;37.2954;agents=230|neighbors=8
step_mcm_brain.total;79.7602;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.3185;agents=230|every_n=2
apply_runtime_result.refresh_experience_space;2.8285;decision_tendency=act
step_mcm_brain.primary_field_step;55.9209;agents=230|dims=3
memory_state.write_payload;166.8621;path=bot_memory/memory_state.json|keys=55
apply_runtime_result.refresh_experience_space;2.5734;decision_tendency=hold
apply_runtime_result.total;3.2323;decision_tendency=hold|runtime_tick_seq=10
apply_runtime_result.refresh_experience_space;2.8477;decision_tendency=hold
mcm_field.step.total;69.5873;agents=230|dims=3
mcm_field.step.activity_diffusion;25.3167;agents=230|neighbors=8
compute_runtime_result.total;124.4412;decision_tendency=act|active_trade=False
mcm_field.step.field_perception_state;1.5017;agents=230
apply_runtime_result.refresh_active_context_trace;0.2307;active=0.9238
step_mcm_brain.cluster_detect_pre_memory;0.0538;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0003;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;18.8514;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5883;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.9493;decision_tendency=act
mcm_field.step.total;70.7624;agents=230|dims=3
mcm_field.step.sync_neurons;1.4545;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.6375;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9636;agents=230|neighbors=8
compute_runtime_result.total;100.9532;decision_tendency=act|active_trade=False
mcm_field.step.total;56.1770;agents=230|dims=3
apply_runtime_result.total;3.3228;decision_tendency=hold|runtime_tick_seq=22
step_mcm_brain.self_regulation;0.0563;self_state=active|agents=230
mcm_field.step.neuron_loop;34.6398;agents=230|neighbors=8
step_mcm_brain.total;72.3133;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9863;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.2249;active=0.8310
mcm_field.step.field_perception_state;0.3196;agents=230
apply_runtime_result.refresh_active_context_trace;0.2300;active=0.8512
step_mcm_brain.primary_field_step;71.7767;agents=230|dims=3
mcm_field.step.sync_neurons;1.4739;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.9175;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.1123;agents=230|neighbors=8
step_mcm_brain.total;95.0975;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.4247;agents=230
apply_runtime_result.refresh_active_context_trace;0.2291;active=0.8558
step_mcm_brain.primary_field_step;69.7302;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0114;agents=230|neighbors=8
step_mcm_brain.total;75.6625;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.5702;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.2086;active=0.7880
step_mcm_brain.cluster_detect_pre_memory;0.0567;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0969;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;20.8106;neurons=230|areals=1
