section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.5101;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3302;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.2904;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6780;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.5285;decision_tendency=act
apply_runtime_result.refresh_experience_space;2.3076;decision_tendency=hold
mcm_field.step.total;71.1118;agents=230|dims=3
mcm_field.step.refresh_arrays;1.1633;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1142;active=0.9112
mcm_field.step.field_perception_state;2.3869;agents=230
apply_runtime_result.total;3.4486;decision_tendency=observe|runtime_tick_seq=7
step_mcm_brain.snapshot_field_read;16.6148;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4685;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.4495;decision_tendency=hold
step_mcm_brain.primary_field_step;52.3048;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9365;agents=230|neighbors=8
step_mcm_brain.total;88.7810;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.2153;agents=230
apply_runtime_result.total;3.1384;decision_tendency=act|runtime_tick_seq=12
apply_runtime_result.refresh_experience_space;2.6632;decision_tendency=hold
apply_runtime_result.total;3.5723;decision_tendency=hold|runtime_tick_seq=17
apply_runtime_result.refresh_experience_space;2.8317;decision_tendency=hold
apply_runtime_result.total;2.8682;decision_tendency=hold|runtime_tick_seq=22
apply_runtime_result.refresh_experience_space;2.5889;decision_tendency=hold
mcm_field.step.sync_neurons;1.3938;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;2.7578;clusters=1|agents=230
step_mcm_brain.primary_field_step;52.2309;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;3.4156;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.3924;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.8942;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.1019;decision_tendency=hold
mcm_field.step.total;73.8318;agents=230|dims=3
mcm_field.step.sync_neurons;2.3076;agents=230|dims=3
step_mcm_brain.total;79.5681;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.3694;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1039;active=0.9214
step_mcm_brain.cluster_detect_snapshot;3.5955;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.7181;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7530;decision_tendency=observe
step_mcm_brain.primary_field_step;57.9344;agents=230|dims=3
apply_runtime_result.total;3.2316;decision_tendency=act|runtime_tick_seq=35
step_mcm_brain.cluster_detect_snapshot;3.9067;clusters=1|agents=230
mcm_field.step.activity_diffusion;17.0841;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8800;decision_tendency=act
mcm_field.step.total;71.1949;agents=230|dims=3
mcm_field.step.sync_neurons;1.3700;agents=230|dims=3
step_mcm_brain.total;73.9281;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9012;agents=230|every_n=2
apply_runtime_result.total;3.1469;decision_tendency=act|runtime_tick_seq=40
step_mcm_brain.cluster_detect_snapshot;3.5778;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8805;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.5015;decision_tendency=hold
step_mcm_brain.primary_field_step;53.3546;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9577;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;3.7654;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6682;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7708;decision_tendency=hold
mcm_field.step.total;67.8703;agents=230|dims=3
mcm_field.step.sync_neurons;2.6792;agents=230|dims=3
step_mcm_brain.total;77.7809;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.0411;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1058;active=0.9118
step_mcm_brain.cluster_detect_snapshot;3.5664;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.7072;agents=230|neighbors=8
step_mcm_brain.total;93.5562;mode=market|clusters=1|agents=230
mcm_field.step.neuron_loop;34.7096;agents=230|neighbors=8
compute_runtime_result.total;82.0890;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3687;agents=230
apply_runtime_result.total;3.3363;decision_tendency=observe|runtime_tick_seq=52
step_mcm_brain.cluster_detect_snapshot;3.7229;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.7238;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7788;decision_tendency=observe
step_mcm_brain.primary_field_step;52.9512;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9524;agents=230|neighbors=8
step_mcm_brain.total;92.8707;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.7765;agents=230
apply_runtime_result.total;3.3671;decision_tendency=observe|runtime_tick_seq=57
mcm_field.step.total;69.3403;agents=230|dims=3
mcm_field.step.sync_neurons;1.3702;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.0592;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4509;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.8520;decision_tendency=observe
step_mcm_brain.primary_field_step;51.1273;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9534;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.4255;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4535;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1034;active=0.9116
step_mcm_brain.primary_field_step;68.0330;agents=230|dims=3
mcm_field.step.sync_neurons;1.8365;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.6100;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4552;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1054;active=0.9151
step_mcm_brain.cluster_detect_snapshot;3.6104;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.5274;agents=230|neighbors=8
compute_runtime_result.total;100.8723;decision_tendency=observe|active_trade=False
mcm_field.step.total;53.3874;agents=230|dims=3
mcm_field.step.sync_neurons;1.5860;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.3457;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4472;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1071;active=0.9188
step_mcm_brain.primary_field_step;69.5408;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9415;agents=230|neighbors=8
compute_runtime_result.total;77.0239;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;3.6936;agents=230
apply_runtime_result.refresh_experience_space;2.9869;decision_tendency=observe
step_mcm_brain.primary_field_step;52.2192;agents=230|dims=3
write_runtime_snapshot_payload.total;25.0514;kind=inner|keys=41|path=debug\debug_lauf_22\bot_inner_snapshot.json
step_mcm_brain.primary_field_step;69.7346;agents=230|dims=3
apply_runtime_result.total;3.2886;decision_tendency=observe|runtime_tick_seq=76
step_mcm_brain.cluster_detect_snapshot;3.6255;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6344;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0076;decision_tendency=observe
step_mcm_brain.primary_field_step;56.2574;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.4416;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;3.7684;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0957;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.4496;decision_tendency=observe
mcm_field.step.total;68.6838;agents=230|dims=3
mcm_field.step.sync_neurons;1.3849;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.8868;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5470;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.7785;decision_tendency=observe
step_mcm_brain.primary_field_step;53.5338;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0345;agents=230|neighbors=8
step_mcm_brain.total;95.6757;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3154;agents=230
apply_runtime_result.total;3.2359;decision_tendency=observe|runtime_tick_seq=87
step_mcm_brain.cluster_detect_snapshot;3.7912;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6917;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1059;active=0.9259
