MCM_DECISION | long_score=1.1224 short_score=-3.1632 memory_center=1.1458 memory_strength=50 self_state=stressed attractor=cooperate felt_bearing_score=0.3788 felt_profile_label=mixed_unclear best_score=1.1224 reject_reason=-
MCM_DECISION | long_score=-1.4221 short_score=0.1444 memory_center=0.6752 memory_strength=26 self_state=stressed attractor=cooperate felt_bearing_score=0.5945 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.1816 short_score=0.7219 memory_center=0.8335 memory_strength=37 self_state=stressed attractor=cooperate felt_bearing_score=0.6072 felt_profile_label=mixed_unclear best_score=0.7219 reject_reason=-
MCM_DECISION | long_score=-1.2446 short_score=0.0333 memory_center=0.6595 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.5914 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9823 short_score=-0.4372 memory_center=1.4449 memory_strength=20 self_state=stressed attractor=neutral felt_bearing_score=0.5747 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1255 short_score=0.0950 memory_center=1.4235 memory_strength=27 self_state=stressed attractor=neutral felt_bearing_score=0.5992 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.3146 short_score=-1.3337 memory_center=-2.1338 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.6033 felt_profile_label=mixed_unclear best_score=0.3146 reject_reason=-
MCM_DECISION | long_score=-2.4086 short_score=0.5146 memory_center=-1.1381 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5891 felt_profile_label=mixed_unclear best_score=0.5146 reject_reason=-
MCM_DECISION | long_score=0.7706 short_score=-2.3662 memory_center=2.3193 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.5895 felt_profile_label=mixed_unclear best_score=0.7706 reject_reason=-
MCM_DECISION | long_score=0.6741 short_score=-2.4365 memory_center=2.3253 memory_strength=51 self_state=stressed attractor=explore felt_bearing_score=0.5936 felt_profile_label=recovering best_score=0.6741 reject_reason=-
MCM_DECISION | long_score=0.2456 short_score=-1.7282 memory_center=1.1803 memory_strength=27 self_state=stressed attractor=cooperate felt_bearing_score=0.6103 felt_profile_label=mixed_unclear best_score=0.2456 reject_reason=-
MCM_DECISION | long_score=-0.4880 short_score=-1.1156 memory_center=-2.2981 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.3792 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8974 short_score=0.9365 memory_center=2.0390 memory_strength=17 self_state=stressed attractor=explore felt_bearing_score=0.6388 felt_profile_label=mixed_unclear best_score=0.9365 reject_reason=-
MCM_DECISION | long_score=-2.2621 short_score=1.1174 memory_center=0.3164 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.6049 felt_profile_label=recovering best_score=1.1174 reject_reason=-
MCM_DECISION | long_score=0.2714 short_score=-1.9248 memory_center=-2.1266 memory_strength=37 self_state=stressed attractor=defense felt_bearing_score=0.6214 felt_profile_label=mixed_unclear best_score=0.2714 reject_reason=-
MCM_DECISION | long_score=-1.2928 short_score=0.2513 memory_center=0.9134 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.6296 felt_profile_label=mixed_unclear best_score=0.2513 reject_reason=-
MCM_DECISION | long_score=-1.0695 short_score=-0.2544 memory_center=2.2316 memory_strength=31 self_state=stressed attractor=explore felt_bearing_score=0.6208 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.5689 short_score=-0.6883 memory_center=2.0530 memory_strength=19 self_state=stressed attractor=explore felt_bearing_score=0.3723 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5736 short_score=0.3877 memory_center=-1.6603 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6041 felt_profile_label=mixed_unclear best_score=0.3877 reject_reason=-
MCM_DECISION | long_score=-0.2886 short_score=-1.0497 memory_center=-0.8240 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5948 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
