MCM_DECISION | long_score=0.3251 short_score=-1.3010 memory_center=-0.3053 memory_strength=43 self_state=active attractor=analysis felt_bearing_score=0.3246 felt_profile_label=mixed_unclear best_score=0.3251 reject_reason=-
MCM_DECISION | long_score=1.1282 short_score=-2.1192 memory_center=-0.1364 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.3329 felt_profile_label=mixed_unclear best_score=1.1282 reject_reason=-
MCM_DECISION | long_score=1.6468 short_score=-2.7877 memory_center=1.1998 memory_strength=39 self_state=stressed attractor=cooperate felt_bearing_score=0.3285 felt_profile_label=mixed_unclear best_score=1.6468 reject_reason=-
MCM_DECISION | long_score=-1.6667 short_score=0.1404 memory_center=2.1848 memory_strength=37 self_state=stressed attractor=explore felt_bearing_score=0.0000 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.7102 short_score=-0.2711 memory_center=-1.2697 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.3400 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.7565 short_score=-0.4575 memory_center=-0.3968 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.3474 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.5524 short_score=-2.6304 memory_center=2.1981 memory_strength=27 self_state=stressed attractor=explore felt_bearing_score=0.3516 felt_profile_label=mixed_unclear best_score=1.5524 reject_reason=-
MCM_DECISION | long_score=-1.3361 short_score=-0.0300 memory_center=-0.6431 memory_strength=35 self_state=active attractor=analysis felt_bearing_score=0.3275 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.8592 short_score=1.0611 memory_center=-2.0505 memory_strength=47 self_state=stressed attractor=defense felt_bearing_score=0.3334 felt_profile_label=mixed_unclear best_score=1.0611 reject_reason=-
MCM_DECISION | long_score=-2.7432 short_score=1.2483 memory_center=-2.0800 memory_strength=38 self_state=stressed attractor=defense felt_bearing_score=0.3326 felt_profile_label=mixed_unclear best_score=1.2483 reject_reason=-
MCM_DECISION | long_score=1.5433 short_score=-2.9429 memory_center=2.1884 memory_strength=32 self_state=stressed attractor=explore felt_bearing_score=0.3447 felt_profile_label=mixed_unclear best_score=1.5433 reject_reason=-
MCM_DECISION | long_score=-2.0166 short_score=1.0938 memory_center=1.6616 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.3382 felt_profile_label=mixed_unclear best_score=1.0938 reject_reason=-
MCM_DECISION | long_score=0.7767 short_score=-2.1258 memory_center=-0.5795 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.3572 felt_profile_label=mixed_unclear best_score=0.7767 reject_reason=-
MCM_DECISION | long_score=-1.6224 short_score=0.3591 memory_center=-0.2442 memory_strength=42 self_state=stressed attractor=cooperate felt_bearing_score=0.3336 felt_profile_label=mixed_unclear best_score=0.3591 reject_reason=-
MCM_DECISION | long_score=-0.3920 short_score=-0.4041 memory_center=0.5886 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.3286 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
