section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.6684;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3574;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.3217;clusters=1|agents=230
mcm_field.step.neuron_loop;46.6845;agents=230|neighbors=8
compute_runtime_result.total;93.8994;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3661;agents=230
apply_runtime_result.refresh_active_context_trace;0.1027;active=0.8205
step_mcm_brain.cluster_detect_pre_memory;0.0770;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4140;agents=230|dims=3
step_mcm_brain.self_regulation;0.0579;self_state=active|agents=230
mcm_field.step.neuron_loop;35.6330;agents=230|neighbors=8
compute_runtime_result.total;78.7923;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;1.1686;agents=230
apply_runtime_result.total;2.9435;decision_tendency=act|runtime_tick_seq=8
apply_runtime_result.total;2.7512;decision_tendency=hold|runtime_tick_seq=10
mcm_field.step.build_neighbor_state_map;1.9314;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.6866;neurons=230|areals=1
step_mcm_brain.primary_field_step;70.4721;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9232;agents=230|neighbors=8
step_mcm_brain.total;78.5336;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.1863;agents=230|every_n=2
apply_runtime_result.total;2.9674;decision_tendency=hold|runtime_tick_seq=15
step_mcm_brain.cluster_detect_snapshot;3.5666;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.5822;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7785;decision_tendency=hold
step_mcm_brain.primary_field_step;55.9095;agents=230|dims=3
apply_runtime_result.total;3.1181;decision_tendency=observe|runtime_tick_seq=18
step_mcm_brain.cluster_detect_snapshot;3.4964;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.5421;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9424;decision_tendency=hold
mcm_field.step.total;69.0137;agents=230|dims=3
mcm_field.step.sync_neurons;1.3839;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.5145;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4858;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1035;active=0.9022
step_mcm_brain.cluster_detect_pre_memory;0.0533;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3560;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.6410;neurons=230|areals=1
mcm_field.step.build_neighbor_state_map;1.9185;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.3664;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4418;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1045;active=0.8922
step_mcm_brain.cluster_detect_pre_memory;0.0531;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4873;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.7746;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0528;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9922;decision_tendency=hold
mcm_field.step.total;84.8012;agents=230|dims=3
mcm_field.step.sync_neurons;1.3986;agents=230|dims=3
step_mcm_brain.total;74.9857;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.0606;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1055;active=0.9050
step_mcm_brain.cluster_detect_pre_memory;0.0608;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3902;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.5893;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5200;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1028;active=0.9065
step_mcm_brain.primary_field_step;67.0582;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9294;agents=230|neighbors=8
