MCM_STATE | mode=market impulse=-1.4523 motivation=-0.0558 risk=-0.3273 replay=-0.0158 self_state=stressed attractor=cooperate mean_energy=-1.7188 mean_motivation=-0.0146 mean_risk=-2.1149 mean_velocity=0.5272 clusters=1 memory_center=0.0235 memory_strength=33
MCM_STATE | mode=market impulse=-0.2756 motivation=0.0162 risk=-0.1367 replay=0.0003 self_state=stressed attractor=defense mean_energy=-0.8127 mean_motivation=0.0291 mean_risk=-2.0337 mean_velocity=0.1900 clusters=1 memory_center=-0.6180 memory_strength=25
MCM_STATE | mode=market impulse=0.8617 motivation=0.2258 risk=-0.1271 replay=0.0229 self_state=stressed attractor=defense mean_energy=1.6953 mean_motivation=0.2932 mean_risk=-1.9372 mean_velocity=0.4334 clusters=1 memory_center=-1.6582 memory_strength=25
MCM_STATE | mode=market impulse=-0.2210 motivation=0.0072 risk=-0.1259 replay=0.0286 self_state=stressed attractor=cooperate mean_energy=1.8699 mean_motivation=0.2698 mean_risk=-2.0356 mean_velocity=0.2283 clusters=1 memory_center=0.0577 memory_strength=23
MCM_STATE | mode=market impulse=1.1344 motivation=0.2526 risk=-0.1452 replay=-0.0182 self_state=stressed attractor=explore mean_energy=1.6485 mean_motivation=0.2788 mean_risk=-2.1301 mean_velocity=0.3615 clusters=1 memory_center=2.2707 memory_strength=35
MCM_STATE | mode=market impulse=-1.2197 motivation=-0.1227 risk=-0.2884 replay=0.0030 self_state=stressed attractor=explore mean_energy=0.3055 mean_motivation=0.0868 mean_risk=-2.0424 mean_velocity=0.3194 clusters=1 memory_center=2.1240 memory_strength=43
MCM_STATE | mode=market impulse=0.0638 motivation=0.0158 risk=-0.1228 replay=0.0272 self_state=stressed attractor=cooperate mean_energy=-0.6836 mean_motivation=0.0311 mean_risk=-2.0817 mean_velocity=0.1788 clusters=1 memory_center=1.1029 memory_strength=31
MCM_STATE | mode=market impulse=-0.6665 motivation=-0.0493 risk=-0.1299 replay=-0.0182 self_state=stressed attractor=explore mean_energy=-2.3303 mean_motivation=-0.0866 mean_risk=-2.0172 mean_velocity=0.5345 clusters=1 memory_center=2.0877 memory_strength=17
MCM_STATE | mode=market impulse=0.0057 motivation=0.0342 risk=-0.0876 replay=-0.0194 self_state=stressed attractor=defense mean_energy=0.9465 mean_motivation=0.2459 mean_risk=-1.8882 mean_velocity=0.3563 clusters=1 memory_center=-2.1463 memory_strength=31
MCM_STATE | mode=market impulse=-0.7429 motivation=-0.0763 risk=-0.1420 replay=0.0025 self_state=stressed attractor=defense mean_energy=-2.2016 mean_motivation=-0.0418 mean_risk=-1.8446 mean_velocity=0.5429 clusters=1 memory_center=-1.1430 memory_strength=24
MCM_STATE | mode=market impulse=-0.1895 motivation=0.0323 risk=-0.1407 replay=0.0018 self_state=stressed attractor=cooperate mean_energy=-0.2409 mean_motivation=0.0991 mean_risk=-1.8748 mean_velocity=0.1533 clusters=1 memory_center=0.0296 memory_strength=28
MCM_STATE | mode=market impulse=0.5006 motivation=0.1550 risk=-0.1739 replay=0.0219 self_state=stressed attractor=explore mean_energy=2.2057 mean_motivation=0.3507 mean_risk=-1.8416 mean_velocity=0.3718 clusters=1 memory_center=2.1788 memory_strength=25
MCM_STATE | mode=market impulse=-0.6325 motivation=-0.0429 risk=-0.1744 replay=0.0219 self_state=stressed attractor=cooperate mean_energy=-1.6062 mean_motivation=-0.1319 mean_risk=-1.8417 mean_velocity=0.4019 clusters=1 memory_center=-0.1560 memory_strength=24
MCM_STATE | mode=market impulse=0.7151 motivation=0.2070 risk=-0.0911 replay=-0.0194 self_state=stressed attractor=defense mean_energy=0.4215 mean_motivation=0.1925 mean_risk=-1.6902 mean_velocity=0.4370 clusters=1 memory_center=-1.6392 memory_strength=26
MCM_STATE | mode=market impulse=-0.8442 motivation=-0.0857 risk=-0.1710 replay=-0.0205 self_state=stressed attractor=defense mean_energy=-1.0359 mean_motivation=0.1297 mean_risk=-1.9071 mean_velocity=0.3413 clusters=1 memory_center=-2.3197 memory_strength=20
MCM_STATE | mode=market impulse=-1.0222 motivation=-0.0755 risk=-0.2618 replay=-0.0053 self_state=stressed attractor=defense mean_energy=-2.5080 mean_motivation=-0.2204 mean_risk=-2.1165 mean_velocity=0.7421 clusters=1 memory_center=-2.4353 memory_strength=27
MCM_STATE | mode=market impulse=-1.2113 motivation=-0.1388 risk=-0.2803 replay=-0.0194 self_state=stressed attractor=defense mean_energy=-2.3713 mean_motivation=-0.0243 mean_risk=-2.0905 mean_velocity=0.5394 clusters=1 memory_center=-0.9926 memory_strength=29
MCM_STATE | mode=market impulse=-1.0284 motivation=-0.0934 risk=-0.2660 replay=-0.0053 self_state=stressed attractor=defense mean_energy=-2.5080 mean_motivation=-0.1196 mean_risk=-2.1237 mean_velocity=0.7509 clusters=1 memory_center=-2.3793 memory_strength=27
MCM_STATE | mode=market impulse=1.3432 motivation=0.3054 risk=-0.1534 replay=-0.0204 self_state=stressed attractor=defense mean_energy=1.5338 mean_motivation=0.2596 mean_risk=-1.9040 mean_velocity=0.4728 clusters=1 memory_center=-1.3056 memory_strength=28
MCM_STATE | mode=market impulse=-1.1597 motivation=-0.1333 risk=-0.3238 replay=-0.0249 self_state=stressed attractor=cooperate mean_energy=0.9103 mean_motivation=0.1807 mean_risk=-2.0962 mean_velocity=0.1580 clusters=1 memory_center=1.1300 memory_strength=26
MCM_STATE | mode=market impulse=0.6837 motivation=0.1406 risk=-0.0696 replay=0.0065 self_state=stressed attractor=cooperate mean_energy=1.3658 mean_motivation=0.2024 mean_risk=-1.8304 mean_velocity=0.3305 clusters=1 memory_center=0.6092 memory_strength=26
MCM_STATE | mode=market impulse=1.2133 motivation=0.3032 risk=-0.1262 replay=-0.0204 self_state=stressed attractor=defense mean_energy=0.6685 mean_motivation=0.2455 mean_risk=-1.7338 mean_velocity=0.4825 clusters=1 memory_center=-1.0109 memory_strength=40
MCM_STATE | mode=market impulse=0.0445 motivation=0.0267 risk=-0.0358 replay=-0.0182 self_state=stressed attractor=defense mean_energy=-1.3979 mean_motivation=-0.0273 mean_risk=-1.6393 mean_velocity=0.1587 clusters=1 memory_center=-1.7694 memory_strength=23
MCM_STATE | mode=market impulse=0.6392 motivation=0.1362 risk=-0.0505 replay=0.0245 self_state=stressed attractor=defense mean_energy=-0.5497 mean_motivation=0.0651 mean_risk=-1.7592 mean_velocity=0.2227 clusters=1 memory_center=-2.2481 memory_strength=38
MCM_STATE | mode=market impulse=-1.2537 motivation=-0.1435 risk=-0.3111 replay=0.0158 self_state=stressed attractor=explore mean_energy=-2.5080 mean_motivation=-0.1351 mean_risk=-2.1165 mean_velocity=0.8708 clusters=1 memory_center=1.8422 memory_strength=18
MCM_STATE | mode=market impulse=0.6459 motivation=0.1742 risk=-0.1131 replay=-0.0001 self_state=stressed attractor=defense mean_energy=-1.5027 mean_motivation=0.0556 mean_risk=-1.9847 mean_velocity=0.1463 clusters=1 memory_center=-1.0464 memory_strength=42
MCM_STATE | mode=market impulse=-0.0129 motivation=-0.0297 risk=-0.1057 replay=0.0158 self_state=stressed attractor=defense mean_energy=1.2799 mean_motivation=0.2115 mean_risk=-1.9408 mean_velocity=0.1365 clusters=1 memory_center=-1.2744 memory_strength=26
MCM_STATE | mode=market impulse=0.4560 motivation=0.1525 risk=-0.1520 replay=-0.0239 self_state=stressed attractor=defense mean_energy=0.2555 mean_motivation=0.1659 mean_risk=-1.9691 mean_velocity=0.3103 clusters=1 memory_center=-0.4379 memory_strength=21
MCM_STATE | mode=market impulse=-0.7134 motivation=-0.0305 risk=-0.1552 replay=-0.0239 self_state=stressed attractor=explore mean_energy=1.5445 mean_motivation=0.1766 mean_risk=-2.0742 mean_velocity=0.3000 clusters=1 memory_center=2.4143 memory_strength=38
MCM_STATE | mode=market impulse=-0.2851 motivation=-0.0576 risk=-0.1186 replay=0.0051 self_state=stressed attractor=defense mean_energy=-1.3809 mean_motivation=-0.0295 mean_risk=-1.9483 mean_velocity=0.3275 clusters=1 memory_center=-1.1325 memory_strength=21
MCM_STATE | mode=market impulse=-0.6286 motivation=-0.0408 risk=-0.1336 replay=0.0076 self_state=stressed attractor=defense mean_energy=-2.0434 mean_motivation=-0.0682 mean_risk=-1.7621 mean_velocity=0.3619 clusters=1 memory_center=-1.4448 memory_strength=45
MCM_STATE | mode=market impulse=-0.2558 motivation=0.0074 risk=-0.0945 replay=0.0076 self_state=stressed attractor=defense mean_energy=-2.3977 mean_motivation=-0.1106 mean_risk=-1.9072 mean_velocity=0.4838 clusters=1 memory_center=-2.4709 memory_strength=44
MCM_STATE | mode=market impulse=-0.4826 motivation=-0.0171 risk=-0.1280 replay=-0.0166 self_state=stressed attractor=defense mean_energy=-0.9268 mean_motivation=0.1357 mean_risk=-1.9802 mean_velocity=0.2090 clusters=1 memory_center=-2.1537 memory_strength=58
MCM_STATE | mode=market impulse=-0.0470 motivation=0.0018 risk=-0.0331 replay=0.0051 self_state=stressed attractor=defense mean_energy=-1.1867 mean_motivation=0.0473 mean_risk=-1.8353 mean_velocity=0.1678 clusters=1 memory_center=-2.2836 memory_strength=44
MCM_STATE | mode=market impulse=1.2121 motivation=0.2475 risk=-0.1429 replay=-0.0008 self_state=stressed attractor=defense mean_energy=0.3718 mean_motivation=0.1857 mean_risk=-1.9378 mean_velocity=0.3767 clusters=1 memory_center=-1.2714 memory_strength=33
MCM_STATE | mode=market impulse=0.6762 motivation=0.1813 risk=-0.0781 replay=-0.0241 self_state=stressed attractor=cooperate mean_energy=0.2516 mean_motivation=0.0782 mean_risk=-2.0304 mean_velocity=0.1615 clusters=1 memory_center=0.3778 memory_strength=36
MCM_STATE | mode=market impulse=-1.1719 motivation=-0.1293 risk=-0.2850 replay=-0.0241 self_state=stressed attractor=explore mean_energy=-1.3203 mean_motivation=-0.1068 mean_risk=-2.1162 mean_velocity=0.6698 clusters=1 memory_center=1.7572 memory_strength=33
MCM_STATE | mode=market impulse=0.1485 motivation=0.0506 risk=-0.0635 replay=0.0211 self_state=stressed attractor=defense mean_energy=1.2823 mean_motivation=0.2116 mean_risk=-1.9827 mean_velocity=0.4423 clusters=1 memory_center=-0.7626 memory_strength=25
MCM_STATE | mode=market impulse=0.5143 motivation=0.1032 risk=-0.0601 replay=0.0152 self_state=stressed attractor=defense mean_energy=-0.9020 mean_motivation=0.0773 mean_risk=-1.8164 mean_velocity=0.1573 clusters=1 memory_center=-0.7896 memory_strength=22
MCM_STATE | mode=market impulse=-0.4283 motivation=-0.0791 risk=-0.1253 replay=-0.0036 self_state=stressed attractor=defense mean_energy=-1.2480 mean_motivation=-0.0322 mean_risk=-1.9035 mean_velocity=0.2910 clusters=1 memory_center=-1.5660 memory_strength=27
MCM_STATE | mode=market impulse=0.4035 motivation=0.1071 risk=-0.0832 replay=-0.0008 self_state=stressed attractor=defense mean_energy=0.6557 mean_motivation=0.1266 mean_risk=-1.8158 mean_velocity=0.2945 clusters=1 memory_center=-0.7658 memory_strength=26
MCM_STATE | mode=market impulse=1.2455 motivation=0.2432 risk=-0.1665 replay=0.0026 self_state=stressed attractor=neutral mean_energy=2.4200 mean_motivation=0.4804 mean_risk=-1.8552 mean_velocity=0.7178 clusters=1 memory_center=1.3900 memory_strength=22
MCM_STATE | mode=market impulse=1.2315 motivation=0.1212 risk=-0.1824 replay=0.0023 self_state=stressed attractor=neutral mean_energy=2.4200 mean_motivation=0.1869 mean_risk=-2.0398 mean_velocity=0.7616 clusters=1 memory_center=1.4633 memory_strength=23
MCM_STATE | mode=market impulse=-0.6883 motivation=-0.0780 risk=-0.1320 replay=0.0015 self_state=stressed attractor=defense mean_energy=-1.1494 mean_motivation=-0.0933 mean_risk=-1.7988 mean_velocity=0.3620 clusters=1 memory_center=-0.4911 memory_strength=23
MCM_STATE | mode=market impulse=0.9283 motivation=0.2236 risk=-0.0663 replay=0.0011 self_state=stressed attractor=explore mean_energy=2.4180 mean_motivation=0.3492 mean_risk=-1.8969 mean_velocity=0.6115 clusters=1 memory_center=2.2726 memory_strength=15
MCM_STATE | mode=market impulse=-0.6132 motivation=-0.0437 risk=-0.0890 replay=0.0150 self_state=stressed attractor=defense mean_energy=-2.3299 mean_motivation=-0.0569 mean_risk=-1.9600 mean_velocity=0.4267 clusters=1 memory_center=-2.4963 memory_strength=37
