timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767375300000000;0;1;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1722;0.1852;0.0109;0.5409;0.2525;0.5446;0.3461;0.6409;0.6835;0.1047;0.1608;0.2078;1.0000;0.0822;0.7149;ctx_17;inner_ctx_1
1767375600000000;1;2;observe;development_reframe_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1451;0.1711;0.0322;0.6165;0.2095;0.5665;0.2429;0.6558;0.7115;0.0606;0.1264;0.2133;1.0000;0.0898;0.8410;ctx_12;inner_ctx_7
1767375900000000;2;3;act;plan_allowed;SHORT;active_perception_field;0.0000;0.2650;0.0000;0.0000;0.0000;0.3005;0.3550;0.2579;0.2312;0.1949;0.5714;0.3396;0.5543;1.4513;0.6285;0.6465;0.4763;0.4548;0.3305;1.0000;0.1455;0.9236;ctx_13;inner_ctx_7
1767376800000000;5;4;hold;pause_mode;LONG;fragmented_perception_field;0.0000;0.1541;0.0000;0.0000;0.0000;0.2429;0.0333;0.4151;0.4574;0.0149;0.6611;0.2862;0.5126;0.5761;0.7999;0.8090;0.2645;0.2802;0.2360;1.0000;0.1064;1.0000;ctx_2;inner_ctx_5
1767377100000000;6;5;hold;pause_mode;SHORT;fragmented_perception_field;0.0000;0.1392;0.0000;0.0000;0.0000;0.2743;0.0153;0.4410;0.4804;0.0134;0.6298;0.3080;0.5259;0.3100;0.7731;0.7643;0.4141;0.3767;0.2441;1.0000;0.1364;1.0000;-;inner_ctx_3
1767377400000000;7;6;hold;pause_mode;LONG;coherent_perception_field;0.0000;0.2818;0.0000;0.0000;0.0000;0.2646;0.3763;0.2260;0.2032;0.3425;0.7269;0.2532;0.5908;0.9318;0.7878;0.8092;0.2390;0.2122;0.2793;1.0000;0.1343;1.0000;ctx_2;inner_ctx_3
1767377700000000;8;7;hold;pause_mode;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1736;0.1869;0.0127;0.5889;0.3222;0.5287;-0.0003;0.6595;0.6587;0.1818;0.1586;0.0862;1.0000;0.1121;1.0000;-;inner_ctx_5
1767378300000000;10;9;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1641;0.1820;0.0295;0.5953;0.3252;0.5402;-0.2117;0.6290;0.6128;0.2398;0.2263;0.1487;1.0000;0.1133;1.0000;ctx_14;inner_ctx_7
1767378600000000;11;10;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2582;0.0000;0.0000;0.0000;0.3157;0.3465;0.2602;0.2361;0.1936;0.6446;0.3473;0.5646;1.3434;0.7181;0.6878;0.6658;0.6122;0.3534;1.0000;0.1651;1.0000;ctx_14;inner_ctx_7
1767378900000000;12;11;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1718;0.1859;0.0082;0.5866;0.3880;0.5486;-0.6426;0.6080;0.5835;0.4560;0.3940;0.2018;1.0000;0.1131;1.0000;ctx_2;inner_ctx_5
