MCM_DECISION | long_score=-0.4805 short_score=-1.2702 memory_center=-2.3743 memory_strength=44 self_state=stressed attractor=defense felt_bearing_score=0.6017 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7874 short_score=-2.3824 memory_center=-1.4637 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6256 felt_profile_label=mixed_unclear best_score=0.7874 reject_reason=-
MCM_DECISION | long_score=-2.2091 short_score=0.8607 memory_center=1.3899 memory_strength=23 self_state=stressed attractor=neutral felt_bearing_score=0.6012 felt_profile_label=mixed_unclear best_score=0.8607 reject_reason=-
MCM_DECISION | long_score=-1.7982 short_score=0.5532 memory_center=2.3869 memory_strength=23 self_state=stressed attractor=explore felt_bearing_score=0.5987 felt_profile_label=mixed_unclear best_score=0.5532 reject_reason=-
MCM_DECISION | long_score=-1.2071 short_score=-0.5569 memory_center=-1.1708 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.3839 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.2066 short_score=0.2544 memory_center=-1.6294 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5825 felt_profile_label=mixed_unclear best_score=0.2544 reject_reason=-
MCM_DECISION | long_score=-1.0511 short_score=-0.6063 memory_center=-2.4770 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6096 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6608 short_score=0.7577 memory_center=1.4017 memory_strength=15 self_state=stressed attractor=neutral felt_bearing_score=0.5970 felt_profile_label=mixed_unclear best_score=0.7577 reject_reason=-
MCM_DECISION | long_score=1.6521 short_score=-3.1559 memory_center=2.3921 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.6038 felt_profile_label=recovering best_score=1.6521 reject_reason=-
MCM_DECISION | long_score=-0.8678 short_score=-0.6620 memory_center=1.3448 memory_strength=37 self_state=stressed attractor=neutral felt_bearing_score=0.6077 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.0541 short_score=0.8679 memory_center=0.9345 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.6097 felt_profile_label=mixed_unclear best_score=0.8679 reject_reason=-
MCM_DECISION | long_score=-1.2622 short_score=-0.0729 memory_center=-1.7308 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.6153 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.3947 short_score=-1.9267 memory_center=-0.4793 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6137 felt_profile_label=mixed_unclear best_score=0.3947 reject_reason=-
MCM_DECISION | long_score=-0.7398 short_score=-0.7489 memory_center=0.2358 memory_strength=42 self_state=stressed attractor=cooperate felt_bearing_score=0.6051 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.9839 short_score=-2.3775 memory_center=0.2459 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.5984 felt_profile_label=mixed_unclear best_score=0.9839 reject_reason=-
MCM_DECISION | long_score=-0.6542 short_score=-0.6723 memory_center=0.3733 memory_strength=16 self_state=stressed attractor=cooperate felt_bearing_score=0.6021 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.8943 short_score=-0.3448 memory_center=0.1481 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5973 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.4133 short_score=0.0694 memory_center=-2.2753 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6059 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1061 short_score=-0.5044 memory_center=-2.4433 memory_strength=29 self_state=stressed attractor=defense felt_bearing_score=0.6050 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5054 short_score=-2.0696 memory_center=2.2756 memory_strength=33 self_state=stressed attractor=explore felt_bearing_score=0.6093 felt_profile_label=mixed_unclear best_score=0.5054 reject_reason=-
MCM_DECISION | long_score=-1.8118 short_score=-0.0304 memory_center=2.3791 memory_strength=55 self_state=stressed attractor=explore felt_bearing_score=0.6092 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.4777 short_score=-0.3960 memory_center=2.0621 memory_strength=48 self_state=stressed attractor=explore felt_bearing_score=0.5855 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.0560 short_score=-1.3885 memory_center=2.1855 memory_strength=34 self_state=stressed attractor=explore felt_bearing_score=0.6069 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9967 short_score=0.5545 memory_center=1.2533 memory_strength=42 self_state=stressed attractor=neutral felt_bearing_score=0.6033 felt_profile_label=mixed_unclear best_score=0.5545 reject_reason=-
MCM_DECISION | long_score=0.4980 short_score=-1.9690 memory_center=1.2290 memory_strength=24 self_state=stressed attractor=neutral felt_bearing_score=0.3862 felt_profile_label=mixed_unclear best_score=0.4980 reject_reason=-
MCM_DECISION | long_score=0.9158 short_score=-2.3954 memory_center=-1.4614 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.5992 felt_profile_label=mixed_unclear best_score=0.9158 reject_reason=-
MCM_DECISION | long_score=-0.8497 short_score=-1.0216 memory_center=-2.2557 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6176 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.0559 short_score=0.6702 memory_center=-0.3652 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.6084 felt_profile_label=mixed_unclear best_score=0.6702 reject_reason=-
MCM_DECISION | long_score=-2.8044 short_score=0.9839 memory_center=-2.3070 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6153 felt_profile_label=mixed_unclear best_score=0.9839 reject_reason=-
MCM_DECISION | long_score=0.1312 short_score=-1.4871 memory_center=-1.3716 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6138 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9086 short_score=0.5927 memory_center=2.0528 memory_strength=43 self_state=stressed attractor=explore felt_bearing_score=0.6039 felt_profile_label=recovering best_score=0.5927 reject_reason=-
MCM_DECISION | long_score=-1.2116 short_score=-0.3906 memory_center=-2.3511 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6111 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
