section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.5147;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4016;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.2840;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.4220;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1031;active=0.9044
step_mcm_brain.primary_field_step;70.6855;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0146;agents=230|neighbors=8
compute_runtime_result.total;82.1054;decision_tendency=act|active_trade=False
compute_runtime_result.total;0.2420;decision_tendency=hold|active_trade=True
apply_runtime_result.refresh_active_context_trace;0.1066;active=0.8667
compute_runtime_result.total;0.3519;decision_tendency=hold|active_trade=True
mcm_field.step.neuron_loop;35.4422;agents=230|neighbors=8
step_mcm_brain.total;95.9637;mode=outcome|clusters=1|agents=230
step_mcm_brain.snapshot_field_read;15.6215;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4760;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1082;active=0.8859
step_mcm_brain.cluster_detect_pre_memory;0.0664;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3504;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.8385;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4700;agents=230|dims=3
apply_runtime_result.total;3.0785;decision_tendency=hold|runtime_tick_seq=18
step_mcm_brain.cluster_detect_pre_memory;0.0756;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3735;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.3639;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5301;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1084;active=0.9175
step_mcm_brain.cluster_detect_pre_memory;0.0518;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0785;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;20.7205;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4888;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1052;active=0.8816
step_mcm_brain.primary_field_step;74.4751;agents=230|dims=3
write_runtime_snapshot_payload.total;10.6033;kind=visual|keys=7|path=debug\debug_lauf_5\bot_visual_snapshot.json
step_mcm_brain.primary_field_step;57.6277;agents=230|dims=3
mcm_field.step.sync_neurons;1.3511;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.1494;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4583;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1065;active=0.9022
step_mcm_brain.primary_field_step;70.0261;agents=230|dims=3
mcm_field.step.sync_neurons;1.3520;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.0630;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4593;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1049;active=0.8952
step_mcm_brain.cluster_detect_snapshot;3.5761;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0116;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.5733;decision_tendency=observe
step_mcm_brain.primary_field_step;56.9356;agents=230|dims=3
