section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.7348;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4060;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.3804;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8353;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.5601;decision_tendency=hold
mcm_field.step.total;72.2932;agents=230|dims=3
apply_runtime_result.total;3.0960;decision_tendency=act|runtime_tick_seq=4
step_mcm_brain.snapshot_field_read;16.5385;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4520;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.6138;decision_tendency=act
apply_runtime_result.refresh_experience_space;4.6029;decision_tendency=hold
apply_runtime_result.total;2.8246;decision_tendency=hold|runtime_tick_seq=10
mcm_field.step.build_neighbor_state_map;1.9335;agents=230|neighbors=8
step_mcm_brain.total;74.8957;mode=outcome|clusters=1|agents=230
step_mcm_brain.cluster_detect_snapshot;3.4295;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8234;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.4266;decision_tendency=act
mcm_field.step.total;69.6388;agents=230|dims=3
mcm_field.step.sync_neurons;1.5104;agents=230|dims=3
step_mcm_brain.snapshot_field_read;19.1828;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5022;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.7575;decision_tendency=observe
step_mcm_brain.primary_field_step;53.6633;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.1156;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;4.9343;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1508;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9583;decision_tendency=hold
mcm_field.step.total;71.6629;agents=230|dims=3
mcm_field.step.sync_neurons;1.3700;agents=230|dims=3
step_mcm_brain.snapshot_field_read;39.3529;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4777;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1043;active=0.8886
step_mcm_brain.cluster_detect_pre_memory;0.0623;clusters=1|agents=230
mcm_field.step.sync_neurons;2.7659;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.2247;neurons=230|areals=1
mcm_field.step.build_neighbor_state_map;2.0045;agents=230|neighbors=8
compute_runtime_result.total;76.2556;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;1.2566;agents=230
apply_runtime_result.total;3.0270;decision_tendency=hold|runtime_tick_seq=27
step_mcm_brain.self_regulation;0.2007;self_state=stressed|agents=230
mcm_field.step.neuron_loop;35.1469;agents=230|neighbors=8
compute_runtime_result.total;94.7641;decision_tendency=observe|active_trade=False
mcm_field.step.total;50.3877;agents=230|dims=3
mcm_field.step.sync_neurons;1.3946;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.8023;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4446;agents=230|dims=3
apply_runtime_result.total;3.4121;decision_tendency=observe|runtime_tick_seq=32
step_mcm_brain.cluster_detect_snapshot;3.6370;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.7960;agents=230|neighbors=8
