MCM_ENTRY | side=LONG entry=134.202569 sl=133.876953 tp=135.647306 rr=4.4369 self_state=stressed attractor=explore memory_center=2.3216 memory_strength=37 focus_direction=0.6531 focus_strength=0.6004 focus_confidence=0.3008 target_lock=0.4563 noise_damp=0.1400 signal_relevance=0.3210 entry_expectation=0.5187 target_expectation=0.1264 approach_pressure=0.7782 pressure_release=0.2121 experience_regulation=0.5281 reflection_maturity=0.7639 signature_key=e:1.00|c:0.80|a:1|cp:0.75|ri:0.00|fp:0.20|fc:0.20|tl:0.40|td:-0.20|ee:0.60|te:0.20|ap:0.80|pr:0.20|er:0.60|rm:0.80|lb:0.60|pw:1.00|pc:0.60|sr:0.40|nd:0.20|tm:0.75|th:0.25|mc:2.25|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0642 context_cluster_id=ctx_50 context_cluster_bias=-0.0344 context_cluster_quality=-0.0344 context_cluster_distance=0.1123 context_cluster_block=False inhibition_level=0.1961 habituation_level=0.0648 competition_bias=0.0915 observation_mode=False long_score=0.9326 short_score=-2.7815
MCM_ENTRY | side=SHORT entry=137.467497 sl=137.983987 tp=136.116486 rr=2.6158 self_state=stressed attractor=defense memory_center=-2.3722 memory_strength=26 focus_direction=-0.7362 focus_strength=0.0000 focus_confidence=0.0000 target_lock=0.0750 noise_damp=0.1949 signal_relevance=0.0826 entry_expectation=0.3651 target_expectation=0.0837 approach_pressure=0.6810 pressure_release=0.2105 experience_regulation=0.3831 reflection_maturity=0.5301 signature_key=e:1.25|c:-1.00|a:-1|cp:-1.00|ri:0.00|fp:-0.20|fc:0.00|tl:0.20|td:0.00|ee:0.40|te:0.00|ap:0.60|pr:0.20|er:0.40|rm:0.60|lb:0.40|pw:1.00|pc:0.60|sr:0.00|nd:0.20|tm:0.00|th:0.50|mc:-2.25|ms:12|at:-2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0619 context_cluster_id=ctx_9 context_cluster_bias=-0.2400 context_cluster_quality=-0.3933 context_cluster_distance=0.0655 context_cluster_block=False inhibition_level=0.2305 habituation_level=0.0337 competition_bias=-0.0843 observation_mode=False long_score=-2.8184 short_score=1.0941
MCM_ENTRY | side=LONG entry=135.973580 sl=135.643662 tp=137.428682 rr=4.4105 self_state=stressed attractor=cooperate memory_center=0.9033 memory_strength=16 focus_direction=0.7061 focus_strength=0.5915 focus_confidence=0.2674 target_lock=0.4146 noise_damp=0.1952 signal_relevance=0.2942 entry_expectation=0.3424 target_expectation=0.0748 approach_pressure=0.5631 pressure_release=0.0142 experience_regulation=0.3745 reflection_maturity=0.4760 signature_key=e:1.00|c:0.80|a:1|cp:1.00|ri:0.00|fp:0.20|fc:0.20|tl:0.20|td:-0.20|ee:0.40|te:0.00|ap:0.60|pr:0.00|er:0.40|rm:0.40|lb:0.40|pw:1.00|pc:0.60|sr:0.20|nd:0.20|tm:0.75|th:0.25|mc:1.00|ms:12|at:1|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0923 context_cluster_id=ctx_8 context_cluster_bias=-0.2400 context_cluster_quality=-0.2907 context_cluster_distance=0.1237 context_cluster_block=False inhibition_level=0.2179 habituation_level=0.0268 competition_bias=0.1067 observation_mode=False long_score=1.1389 short_score=-2.3827
MCM_ENTRY | side=LONG entry=136.275855 sl=135.934202 tp=137.722050 rr=4.2329 self_state=stressed attractor=defense memory_center=-1.5411 memory_strength=41 focus_direction=0.7310 focus_strength=0.6326 focus_confidence=0.3009 target_lock=0.4358 noise_damp=0.1511 signal_relevance=0.3199 entry_expectation=0.3195 target_expectation=0.0713 approach_pressure=0.5140 pressure_release=0.0791 experience_regulation=0.2706 reflection_maturity=0.3693 signature_key=e:1.00|c:0.80|a:1|cp:0.75|ri:0.00|fp:0.40|fc:0.20|tl:0.20|td:-0.20|ee:0.40|te:0.00|ap:0.60|pr:0.00|er:0.20|rm:0.40|lb:0.20|pw:1.00|pc:0.40|sr:0.40|nd:0.20|tm:0.75|th:0.25|mc:-1.50|ms:12|at:-2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0827 context_cluster_id=ctx_6 context_cluster_bias=-0.2400 context_cluster_quality=-0.3343 context_cluster_distance=0.1781 context_cluster_block=False inhibition_level=0.2097 habituation_level=0.0258 competition_bias=0.1356 observation_mode=False long_score=0.3932 short_score=-2.1378
MCM_ENTRY | side=LONG entry=140.423447 sl=140.038647 tp=141.871263 rr=3.7625 self_state=stressed attractor=cooperate memory_center=0.7085 memory_strength=27 focus_direction=0.5302 focus_strength=0.3168 focus_confidence=0.1281 target_lock=0.2555 noise_damp=0.2949 signal_relevance=0.1616 entry_expectation=0.3313 target_expectation=0.0735 approach_pressure=0.5444 pressure_release=0.2548 experience_regulation=0.3769 reflection_maturity=0.5199 signature_key=e:1.00|c:0.60|a:1|cp:1.00|ri:0.00|fp:0.20|fc:0.00|tl:0.20|td:-0.20|ee:0.40|te:0.00|ap:0.60|pr:0.20|er:0.40|rm:0.60|lb:0.40|pw:1.00|pc:0.60|sr:0.20|nd:0.20|tm:0.50|th:0.50|mc:0.75|ms:12|at:1|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.1112 context_cluster_id=ctx_33 context_cluster_bias=-0.2400 context_cluster_quality=-0.2835 context_cluster_distance=0.1423 context_cluster_block=False inhibition_level=0.1683 habituation_level=0.0291 competition_bias=0.0960 observation_mode=False long_score=1.0253 short_score=-2.4749
MCM_ENTRY | side=LONG entry=147.038560 sl=146.639121 tp=148.597019 rr=3.9016 self_state=stressed attractor=neutral memory_center=1.2113 memory_strength=42 focus_direction=0.6601 focus_strength=0.5589 focus_confidence=0.2656 target_lock=0.3950 noise_damp=0.1756 signal_relevance=0.2835 entry_expectation=0.4106 target_expectation=0.1063 approach_pressure=0.6028 pressure_release=0.1798 experience_regulation=0.3050 reflection_maturity=0.4621 signature_key=e:1.00|c:0.80|a:1|cp:1.00|ri:0.00|fp:0.20|fc:0.20|tl:0.20|td:-0.20|ee:0.40|te:0.20|ap:0.60|pr:0.20|er:0.40|rm:0.40|lb:0.20|pw:1.00|pc:0.40|sr:0.20|nd:0.20|tm:0.75|th:0.25|mc:1.25|ms:12|at:0|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0973 context_cluster_id=ctx_15 context_cluster_bias=-0.2400 context_cluster_quality=-0.2537 context_cluster_distance=0.0908 context_cluster_block=False inhibition_level=0.2680 habituation_level=0.0324 competition_bias=0.0931 observation_mode=False long_score=0.8297 short_score=-2.8003
