MCM_STATE | mode=market impulse=1.4267 motivation=0.3282 risk=-0.1695 replay=-0.0238 self_state=stressed attractor=cooperate mean_energy=2.3337 mean_motivation=0.3284 mean_risk=-2.0945 mean_velocity=0.5195 clusters=1 memory_center=0.8118 memory_strength=22
MCM_STATE | mode=market impulse=-0.6008 motivation=-0.1312 risk=-0.2654 replay=-0.0027 self_state=stressed attractor=explore mean_energy=1.3112 mean_motivation=0.2674 mean_risk=-2.1615 mean_velocity=0.1099 clusters=1 memory_center=2.3187 memory_strength=38
MCM_STATE | mode=outcome impulse=-0.9300 motivation=-0.2261 risk=-0.2235 replay=0.0279 self_state=stressed attractor=explore mean_energy=0.6379 mean_motivation=0.0387 mean_risk=-2.1297 mean_velocity=0.1593 clusters=1 memory_center=2.3216 memory_strength=31
MCM_STATE | mode=market impulse=-0.6511 motivation=-0.0491 risk=-0.1299 replay=0.0157 self_state=stressed attractor=explore mean_energy=-2.1913 mean_motivation=-0.1008 mean_risk=-2.0625 mean_velocity=0.4050 clusters=1 memory_center=2.2837 memory_strength=21
MCM_STATE | mode=market impulse=0.0267 motivation=0.0335 risk=-0.0876 replay=0.0274 self_state=stressed attractor=defense mean_energy=1.0033 mean_motivation=0.2344 mean_risk=-1.8973 mean_velocity=0.3762 clusters=1 memory_center=-2.0643 memory_strength=31
MCM_STATE | mode=market impulse=-0.7395 motivation=-0.0769 risk=-0.1420 replay=0.0099 self_state=stressed attractor=cooperate mean_energy=-2.1435 mean_motivation=-0.0263 mean_risk=-1.8244 mean_velocity=0.5381 clusters=1 memory_center=0.3927 memory_strength=19
MCM_STATE | mode=market impulse=-0.1890 motivation=0.0322 risk=-0.1407 replay=0.0029 self_state=stressed attractor=cooperate mean_energy=-0.2877 mean_motivation=0.1232 mean_risk=-1.9014 mean_velocity=0.1544 clusters=1 memory_center=0.0789 memory_strength=27
MCM_STATE | mode=market impulse=0.5068 motivation=0.1539 risk=-0.1739 replay=0.0356 self_state=stressed attractor=explore mean_energy=2.1975 mean_motivation=0.3481 mean_risk=-1.8456 mean_velocity=0.3648 clusters=1 memory_center=2.2078 memory_strength=25
MCM_STATE | mode=market impulse=-0.6432 motivation=-0.0413 risk=-0.1744 replay=-0.0018 self_state=stressed attractor=explore mean_energy=-1.6132 mean_motivation=-0.1253 mean_risk=-1.9162 mean_velocity=0.3999 clusters=1 memory_center=2.0594 memory_strength=22
MCM_STATE | mode=market impulse=0.7237 motivation=0.2085 risk=-0.0911 replay=-0.0004 self_state=stressed attractor=defense mean_energy=0.4805 mean_motivation=0.1850 mean_risk=-1.7936 mean_velocity=0.4509 clusters=1 memory_center=-1.6101 memory_strength=26
MCM_STATE | mode=market impulse=-0.8365 motivation=-0.0843 risk=-0.1710 replay=-0.0033 self_state=stressed attractor=defense mean_energy=-0.9652 mean_motivation=0.1110 mean_risk=-1.9738 mean_velocity=0.3222 clusters=1 memory_center=-2.3059 memory_strength=20
MCM_STATE | mode=market impulse=-1.0102 motivation=-0.0768 risk=-0.2618 replay=0.0211 self_state=stressed attractor=defense mean_energy=-2.5079 mean_motivation=-0.2087 mean_risk=-2.1031 mean_velocity=0.7343 clusters=1 memory_center=-2.4277 memory_strength=27
MCM_STATE | mode=market impulse=-1.2158 motivation=-0.1396 risk=-0.2803 replay=-0.0293 self_state=stressed attractor=defense mean_energy=-2.3771 mean_motivation=-0.0558 mean_risk=-2.0852 mean_velocity=0.5434 clusters=1 memory_center=-1.0221 memory_strength=29
MCM_STATE | mode=market impulse=-1.0255 motivation=-0.0931 risk=-0.2660 replay=0.0011 self_state=stressed attractor=defense mean_energy=-2.5080 mean_motivation=-0.1198 mean_risk=-2.1188 mean_velocity=0.7544 clusters=1 memory_center=-1.5651 memory_strength=27
MCM_STATE | mode=market impulse=1.3464 motivation=0.3060 risk=-0.1534 replay=-0.0133 self_state=stressed attractor=cooperate mean_energy=1.5196 mean_motivation=0.2728 mean_risk=-1.9541 mean_velocity=0.4732 clusters=1 memory_center=-0.2549 memory_strength=25
MCM_STATE | mode=market impulse=-1.1480 motivation=-0.1314 risk=-0.3238 replay=0.0011 self_state=stressed attractor=cooperate mean_energy=0.9229 mean_motivation=0.1870 mean_risk=-2.0849 mean_velocity=0.1633 clusters=1 memory_center=0.6532 memory_strength=26
MCM_STATE | mode=market impulse=0.6748 motivation=0.1400 risk=-0.0696 replay=-0.0133 self_state=stressed attractor=cooperate mean_energy=1.3593 mean_motivation=0.1801 mean_risk=-1.8042 mean_velocity=0.3216 clusters=1 memory_center=0.6535 memory_strength=33
MCM_STATE | mode=market impulse=1.2385 motivation=0.3020 risk=-0.1262 replay=0.0356 self_state=stressed attractor=defense mean_energy=0.7144 mean_motivation=0.2206 mean_risk=-1.7098 mean_velocity=0.4991 clusters=1 memory_center=-0.9548 memory_strength=33
MCM_STATE | mode=market impulse=0.0531 motivation=0.0280 risk=-0.0358 replay=0.0011 self_state=stressed attractor=defense mean_energy=-1.3529 mean_motivation=-0.0529 mean_risk=-1.6083 mean_velocity=0.1577 clusters=1 memory_center=-1.5832 memory_strength=23
MCM_STATE | mode=market impulse=0.6442 motivation=0.1353 risk=-0.0505 replay=0.0356 self_state=stressed attractor=defense mean_energy=-0.5453 mean_motivation=0.0875 mean_risk=-1.7178 mean_velocity=0.2187 clusters=1 memory_center=-1.4984 memory_strength=30
MCM_STATE | mode=market impulse=0.8419 motivation=0.0891 risk=-0.1539 replay=-0.0078 self_state=stressed attractor=cooperate mean_energy=-1.4927 mean_motivation=0.0145 mean_risk=-2.0770 mean_velocity=0.2238 clusters=1 memory_center=-0.0652 memory_strength=24
MCM_STATE | mode=market impulse=-0.0195 motivation=-0.0285 risk=-0.1057 replay=0.0011 self_state=stressed attractor=neutral mean_energy=1.3728 mean_motivation=0.2092 mean_risk=-1.9797 mean_velocity=0.1962 clusters=1 memory_center=1.5535 memory_strength=25
MCM_STATE | mode=market impulse=0.4750 motivation=0.1529 risk=-0.1520 replay=0.0184 self_state=stressed attractor=defense mean_energy=0.2548 mean_motivation=0.1844 mean_risk=-1.9866 mean_velocity=0.3083 clusters=1 memory_center=-0.3492 memory_strength=21
MCM_STATE | mode=market impulse=-0.5396 motivation=-0.0517 risk=-0.1235 replay=-0.0042 self_state=stressed attractor=explore mean_energy=0.5583 mean_motivation=0.1572 mean_risk=-1.7049 mean_velocity=0.1818 clusters=1 memory_center=2.2713 memory_strength=31
MCM_STATE | mode=market impulse=1.2494 motivation=0.2758 risk=-0.1843 replay=-0.0042 self_state=stressed attractor=defense mean_energy=2.0534 mean_motivation=0.3639 mean_risk=-2.0951 mean_velocity=0.5956 clusters=1 memory_center=-2.4695 memory_strength=18
MCM_STATE | mode=market impulse=-0.1722 motivation=0.0468 risk=-0.1569 replay=0.0161 self_state=stressed attractor=defense mean_energy=-2.0506 mean_motivation=0.0351 mean_risk=-2.0309 mean_velocity=0.2357 clusters=1 memory_center=-2.3215 memory_strength=34
MCM_STATE | mode=market impulse=-0.4788 motivation=-0.0352 risk=-0.0785 replay=0.0356 self_state=stressed attractor=defense mean_energy=-2.1405 mean_motivation=-0.0179 mean_risk=-1.9707 mean_velocity=0.3316 clusters=1 memory_center=-2.4083 memory_strength=38
MCM_STATE | mode=market impulse=0.8444 motivation=0.1497 risk=-0.1061 replay=0.0068 self_state=stressed attractor=defense mean_energy=-0.8825 mean_motivation=0.0665 mean_risk=-1.9709 mean_velocity=0.1607 clusters=1 memory_center=-2.2112 memory_strength=34
MCM_STATE | mode=market impulse=0.1805 motivation=-0.0152 risk=-0.1323 replay=-0.0174 self_state=stressed attractor=cooperate mean_energy=0.3603 mean_motivation=0.0474 mean_risk=-2.0690 mean_velocity=0.1476 clusters=1 memory_center=0.3230 memory_strength=35
MCM_STATE | mode=market impulse=0.1924 motivation=0.0280 risk=-0.0631 replay=-0.0174 self_state=stressed attractor=explore mean_energy=1.6745 mean_motivation=0.1256 mean_risk=-1.9289 mean_velocity=0.2297 clusters=1 memory_center=1.6796 memory_strength=31
