MCM_STATE | mode=market impulse=-0.7342 motivation=-0.0816 risk=-0.1397 replay=-0.0149 self_state=stressed attractor=defense mean_energy=-2.3571 mean_motivation=-0.1674 mean_risk=-2.0208 mean_velocity=0.4496 clusters=1 memory_center=-2.4026 memory_strength=39
MCM_STATE | mode=market impulse=-0.6286 motivation=-0.0459 risk=-0.1690 replay=-0.0003 self_state=stressed attractor=defense mean_energy=-2.4843 mean_motivation=-0.1303 mean_risk=-1.9561 mean_velocity=0.5821 clusters=1 memory_center=-2.4664 memory_strength=31
MCM_STATE | mode=market impulse=1.1118 motivation=0.2249 risk=-0.1421 replay=-0.0000 self_state=stressed attractor=cooperate mean_energy=1.3146 mean_motivation=0.3054 mean_risk=-2.0669 mean_velocity=0.5037 clusters=1 memory_center=-0.0437 memory_strength=27
MCM_STATE | mode=market impulse=-1.0064 motivation=-0.0932 risk=-0.2623 replay=-0.0230 self_state=stressed attractor=explore mean_energy=1.1728 mean_motivation=0.2669 mean_risk=-2.1448 mean_velocity=0.1580 clusters=1 memory_center=2.3915 memory_strength=30
MCM_STATE | mode=market impulse=-0.3590 motivation=-0.0774 risk=-0.1370 replay=-0.0114 self_state=stressed attractor=explore mean_energy=1.4722 mean_motivation=0.1886 mean_risk=-2.0770 mean_velocity=0.1362 clusters=1 memory_center=2.2832 memory_strength=39
MCM_STATE | mode=market impulse=-0.7922 motivation=-0.0763 risk=-0.1624 replay=0.0053 self_state=stressed attractor=explore mean_energy=1.3448 mean_motivation=0.2723 mean_risk=-2.0543 mean_velocity=0.1564 clusters=1 memory_center=2.3032 memory_strength=44
MCM_STATE | mode=market impulse=0.6814 motivation=0.1910 risk=-0.1503 replay=-0.0114 self_state=stressed attractor=cooperate mean_energy=1.7804 mean_motivation=0.1813 mean_risk=-2.1178 mean_velocity=0.3448 clusters=1 memory_center=1.1177 memory_strength=29
MCM_STATE | mode=market impulse=-0.0958 motivation=0.0625 risk=-0.1396 replay=0.0212 self_state=stressed attractor=defense mean_energy=-1.9275 mean_motivation=0.0468 mean_risk=-2.0392 mean_velocity=0.2011 clusters=1 memory_center=-2.2366 memory_strength=30
MCM_STATE | mode=market impulse=-0.6180 motivation=-0.1112 risk=-0.2097 replay=-0.0215 self_state=stressed attractor=cooperate mean_energy=-0.9509 mean_motivation=0.0612 mean_risk=-1.9570 mean_velocity=0.3834 clusters=1 memory_center=0.4429 memory_strength=17
MCM_STATE | mode=market impulse=-0.7426 motivation=-0.1374 risk=-0.2306 replay=0.0212 self_state=stressed attractor=defense mean_energy=-1.6686 mean_motivation=-0.0386 mean_risk=-1.9577 mean_velocity=0.2982 clusters=1 memory_center=-2.2970 memory_strength=31
MCM_STATE | mode=market impulse=0.8147 motivation=0.1518 risk=-0.0885 replay=0.0042 self_state=stressed attractor=defense mean_energy=-0.0997 mean_motivation=0.1889 mean_risk=-1.8740 mean_velocity=0.2932 clusters=1 memory_center=-1.2376 memory_strength=28
MCM_STATE | mode=market impulse=-0.9148 motivation=-0.1272 risk=-0.2581 replay=0.0212 self_state=stressed attractor=explore mean_energy=0.6566 mean_motivation=0.0706 mean_risk=-1.9556 mean_velocity=0.2362 clusters=1 memory_center=2.0200 memory_strength=43
MCM_STATE | mode=market impulse=0.1077 motivation=0.0197 risk=-0.0666 replay=-0.0292 self_state=stressed attractor=defense mean_energy=-1.8934 mean_motivation=-0.1301 mean_risk=-1.7475 mean_velocity=0.1882 clusters=1 memory_center=-2.3615 memory_strength=25
MCM_STATE | mode=market impulse=-0.4310 motivation=-0.0182 risk=-0.0959 replay=0.0351 self_state=stressed attractor=defense mean_energy=-2.3938 mean_motivation=-0.0710 mean_risk=-1.7665 mean_velocity=0.4813 clusters=1 memory_center=-2.2760 memory_strength=24
MCM_STATE | mode=market impulse=0.1028 motivation=-0.0302 risk=-0.1578 replay=0.0129 self_state=stressed attractor=cooperate mean_energy=-0.1669 mean_motivation=0.0517 mean_risk=-1.9452 mean_velocity=0.1476 clusters=1 memory_center=-0.2472 memory_strength=30
MCM_STATE | mode=market impulse=0.3679 motivation=0.0801 risk=-0.0377 replay=0.0129 self_state=stressed attractor=defense mean_energy=-1.7338 mean_motivation=-0.0211 mean_risk=-2.0041 mean_velocity=0.1843 clusters=1 memory_center=-2.4501 memory_strength=43
MCM_STATE | mode=market impulse=1.0867 motivation=0.2464 risk=-0.1278 replay=-0.0268 self_state=stressed attractor=defense mean_energy=0.2529 mean_motivation=0.2140 mean_risk=-1.9996 mean_velocity=0.3998 clusters=1 memory_center=-1.4080 memory_strength=32
MCM_STATE | mode=market impulse=-0.8803 motivation=-0.1206 risk=-0.2050 replay=-0.0184 self_state=stressed attractor=defense mean_energy=-2.1182 mean_motivation=-0.0447 mean_risk=-1.9494 mean_velocity=0.4560 clusters=1 memory_center=-1.5316 memory_strength=25
MCM_STATE | mode=market impulse=-0.9278 motivation=-0.1209 risk=-0.2175 replay=-0.0208 self_state=stressed attractor=neutral mean_energy=-0.0010 mean_motivation=0.0248 mean_risk=-1.8890 mean_velocity=0.2597 clusters=1 memory_center=1.3535 memory_strength=30
MCM_STATE | mode=market impulse=-0.5938 motivation=-0.0395 risk=-0.1284 replay=-0.0131 self_state=stressed attractor=explore mean_energy=1.5045 mean_motivation=0.2947 mean_risk=-2.0127 mean_velocity=0.2024 clusters=1 memory_center=2.4025 memory_strength=28
MCM_STATE | mode=market impulse=-1.0416 motivation=-0.1035 risk=-0.2336 replay=-0.0179 self_state=stressed attractor=neutral mean_energy=-1.4524 mean_motivation=-0.0698 mean_risk=-1.7512 mean_velocity=0.6170 clusters=1 memory_center=1.3517 memory_strength=27
MCM_STATE | mode=market impulse=-1.0331 motivation=-0.0810 risk=-0.2526 replay=-0.0208 self_state=stressed attractor=cooperate mean_energy=-0.9757 mean_motivation=-0.0286 mean_risk=-1.6732 mean_velocity=0.5079 clusters=1 memory_center=0.6140 memory_strength=36
MCM_STATE | mode=market impulse=0.5317 motivation=0.1352 risk=-0.0373 replay=-0.0116 self_state=stressed attractor=defense mean_energy=-1.5372 mean_motivation=-0.0210 mean_risk=-1.6102 mean_velocity=0.1420 clusters=1 memory_center=-2.3895 memory_strength=38
MCM_STATE | mode=market impulse=0.9278 motivation=0.1802 risk=-0.0960 replay=0.0288 self_state=stressed attractor=defense mean_energy=2.0438 mean_motivation=0.3193 mean_risk=-1.9230 mean_velocity=0.5116 clusters=1 memory_center=-0.5437 memory_strength=17
MCM_STATE | mode=market impulse=-0.3151 motivation=0.0081 risk=-0.1647 replay=0.0188 self_state=stressed attractor=defense mean_energy=-1.0850 mean_motivation=0.0867 mean_risk=-2.0012 mean_velocity=0.2242 clusters=1 memory_center=-1.2250 memory_strength=20
MCM_STATE | mode=market impulse=-0.0319 motivation=-0.0387 risk=-0.1210 replay=-0.0228 self_state=stressed attractor=defense mean_energy=-1.3298 mean_motivation=-0.0242 mean_risk=-1.9959 mean_velocity=0.3386 clusters=1 memory_center=-1.2484 memory_strength=48
MCM_STATE | mode=market impulse=-0.3156 motivation=-0.0212 risk=-0.0477 replay=-0.0116 self_state=stressed attractor=explore mean_energy=-0.3425 mean_motivation=0.0458 mean_risk=-1.7486 mean_velocity=0.2890 clusters=1 memory_center=1.6555 memory_strength=22
MCM_STATE | mode=market impulse=0.1634 motivation=0.0032 risk=-0.1170 replay=0.0242 self_state=stressed attractor=explore mean_energy=2.0346 mean_motivation=0.2513 mean_risk=-1.7896 mean_velocity=0.2542 clusters=1 memory_center=2.2814 memory_strength=25
MCM_STATE | mode=market impulse=-0.8040 motivation=-0.0972 risk=-0.1682 replay=-0.0237 self_state=stressed attractor=explore mean_energy=-2.4630 mean_motivation=-0.1045 mean_risk=-1.9557 mean_velocity=0.5530 clusters=1 memory_center=2.2521 memory_strength=16
MCM_STATE | mode=market impulse=0.4385 motivation=0.0732 risk=-0.0721 replay=0.0165 self_state=stressed attractor=defense mean_energy=-0.3946 mean_motivation=0.0432 mean_risk=-1.8701 mean_velocity=0.1856 clusters=1 memory_center=-0.9711 memory_strength=19
MCM_STATE | mode=market impulse=-0.4412 motivation=-0.0714 risk=-0.1229 replay=0.0066 self_state=stressed attractor=defense mean_energy=-1.5189 mean_motivation=-0.0111 mean_risk=-1.8239 mean_velocity=0.3236 clusters=1 memory_center=-1.1456 memory_strength=34
MCM_STATE | mode=market impulse=-1.0067 motivation=-0.0858 risk=-0.2318 replay=0.0165 self_state=stressed attractor=defense mean_energy=-2.4780 mean_motivation=-0.0461 mean_risk=-1.7295 mean_velocity=0.5691 clusters=1 memory_center=-1.5470 memory_strength=45
MCM_STATE | mode=market impulse=0.1991 motivation=0.0902 risk=-0.1237 replay=0.0261 self_state=stressed attractor=defense mean_energy=-2.2092 mean_motivation=-0.0639 mean_risk=-1.9851 mean_velocity=0.3627 clusters=1 memory_center=-2.4830 memory_strength=55
MCM_STATE | mode=market impulse=-1.1098 motivation=-0.1054 risk=-0.2933 replay=-0.0116 self_state=stressed attractor=defense mean_energy=-2.4715 mean_motivation=-0.0335 mean_risk=-2.0690 mean_velocity=0.5614 clusters=1 memory_center=-2.2039 memory_strength=45
MCM_STATE | mode=market impulse=-1.1185 motivation=-0.1261 risk=-0.2567 replay=-0.0278 self_state=stressed attractor=defense mean_energy=-2.5065 mean_motivation=-0.1270 mean_risk=-2.0066 mean_velocity=0.6731 clusters=1 memory_center=-1.3999 memory_strength=38
MCM_STATE | mode=market impulse=0.4197 motivation=0.1332 risk=-0.1600 replay=0.0146 self_state=stressed attractor=cooperate mean_energy=0.5902 mean_motivation=0.1479 mean_risk=-2.0379 mean_velocity=0.1709 clusters=1 memory_center=0.1708 memory_strength=23
MCM_STATE | mode=market impulse=0.3515 motivation=0.1009 risk=-0.1435 replay=-0.0097 self_state=stressed attractor=cooperate mean_energy=0.6458 mean_motivation=0.1264 mean_risk=-2.0667 mean_velocity=0.1819 clusters=1 memory_center=0.1943 memory_strength=38
MCM_STATE | mode=market impulse=-0.9445 motivation=-0.0851 risk=-0.2275 replay=-0.0113 self_state=stressed attractor=cooperate mean_energy=-2.4963 mean_motivation=-0.1394 mean_risk=-2.1086 mean_velocity=0.6093 clusters=1 memory_center=0.2613 memory_strength=18
MCM_STATE | mode=market impulse=-0.8396 motivation=-0.1400 risk=-0.2324 replay=-0.0113 self_state=stressed attractor=cooperate mean_energy=-0.7547 mean_motivation=-0.0264 mean_risk=-1.9793 mean_velocity=0.4790 clusters=1 memory_center=0.3543 memory_strength=27
MCM_STATE | mode=market impulse=1.2097 motivation=0.2165 risk=-0.1981 replay=-0.0225 self_state=stressed attractor=defense mean_energy=1.0278 mean_motivation=0.2135 mean_risk=-1.8841 mean_velocity=0.5952 clusters=1 memory_center=-0.7210 memory_strength=34
MCM_STATE | mode=market impulse=-1.0373 motivation=-0.1178 risk=-0.2257 replay=0.0026 self_state=stressed attractor=defense mean_energy=-2.1260 mean_motivation=-0.0148 mean_risk=-1.8345 mean_velocity=0.5238 clusters=1 memory_center=-0.7060 memory_strength=39
MCM_STATE | mode=market impulse=-0.9823 motivation=-0.0772 risk=-0.2605 replay=0.0073 self_state=stressed attractor=defense mean_energy=0.4438 mean_motivation=0.1101 mean_risk=-1.7975 mean_velocity=0.2404 clusters=1 memory_center=-0.8421 memory_strength=16
MCM_STATE | mode=market impulse=-0.8954 motivation=-0.0931 risk=-0.1875 replay=0.0159 self_state=stressed attractor=neutral mean_energy=0.1993 mean_motivation=0.1290 mean_risk=-1.7734 mean_velocity=0.2471 clusters=1 memory_center=1.3640 memory_strength=26
MCM_STATE | mode=market impulse=1.3425 motivation=0.0998 risk=-0.1631 replay=-0.0289 self_state=stressed attractor=neutral mean_energy=2.4066 mean_motivation=0.1557 mean_risk=-1.9765 mean_velocity=0.5650 clusters=1 memory_center=1.2548 memory_strength=49
MCM_STATE | mode=market impulse=-0.5056 motivation=-0.0308 risk=-0.1088 replay=-0.0289 self_state=stressed attractor=cooperate mean_energy=0.4295 mean_motivation=-0.0109 mean_risk=-1.8615 mean_velocity=0.1530 clusters=1 memory_center=1.0871 memory_strength=36
MCM_STATE | mode=market impulse=-0.8011 motivation=-0.1101 risk=-0.1780 replay=-0.0101 self_state=stressed attractor=cooperate mean_energy=-1.7295 mean_motivation=-0.1555 mean_risk=-1.8826 mean_velocity=0.4377 clusters=1 memory_center=1.0032 memory_strength=20
MCM_STATE | mode=market impulse=-0.5632 motivation=-0.0164 risk=-0.1493 replay=-0.0300 self_state=stressed attractor=defense mean_energy=-2.5050 mean_motivation=-0.2440 mean_risk=-2.0900 mean_velocity=0.6512 clusters=1 memory_center=-2.5029 memory_strength=55
MCM_STATE | mode=market impulse=-0.9972 motivation=-0.1170 risk=-0.2366 replay=-0.0010 self_state=stressed attractor=defense mean_energy=-0.1338 mean_motivation=0.1005 mean_risk=-1.9437 mean_velocity=0.3484 clusters=1 memory_center=-2.4183 memory_strength=24
MCM_STATE | mode=market impulse=-1.0607 motivation=-0.0982 risk=-0.2931 replay=-0.0011 self_state=stressed attractor=cooperate mean_energy=-2.4138 mean_motivation=-0.0999 mean_risk=-2.0180 mean_velocity=0.6509 clusters=1 memory_center=1.0301 memory_strength=25
MCM_STATE | mode=market impulse=0.4748 motivation=0.1411 risk=-0.1778 replay=-0.0295 self_state=stressed attractor=defense mean_energy=-1.0676 mean_motivation=0.0794 mean_risk=-2.0465 mean_velocity=0.2244 clusters=1 memory_center=-0.3089 memory_strength=20
MCM_STATE | mode=market impulse=0.6642 motivation=0.0955 risk=-0.1184 replay=-0.0181 self_state=stressed attractor=explore mean_energy=-0.2493 mean_motivation=0.0729 mean_risk=-1.9015 mean_velocity=0.1726 clusters=1 memory_center=1.8070 memory_strength=17
MCM_STATE | mode=market impulse=0.5181 motivation=0.0660 risk=-0.1103 replay=0.0284 self_state=stressed attractor=cooperate mean_energy=1.2855 mean_motivation=0.1565 mean_risk=-1.8945 mean_velocity=0.2302 clusters=1 memory_center=-0.1783 memory_strength=23
MCM_STATE | mode=market impulse=-0.6965 motivation=-0.0654 risk=-0.1297 replay=0.0218 self_state=stressed attractor=neutral mean_energy=0.0339 mean_motivation=0.0568 mean_risk=-1.8922 mean_velocity=0.2637 clusters=1 memory_center=1.2365 memory_strength=38
