section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.8240;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4529;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.4654;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.2941;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.6427;decision_tendency=hold
mcm_field.step.total;77.3753;agents=230|dims=3
mcm_field.step.sync_neurons;1.4789;agents=230|dims=3
step_mcm_brain.total;77.5044;mode=market|clusters=1|agents=230
apply_runtime_result.total;2.6091;decision_tendency=hold|runtime_tick_seq=6
apply_runtime_result.refresh_experience_space;2.9346;decision_tendency=hold
apply_runtime_result.total;2.9281;decision_tendency=hold|runtime_tick_seq=11
mcm_field.step.build_neighbor_state_map;2.1225;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;2.4349;clusters=1|agents=230
step_mcm_brain.primary_field_step;56.1275;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.3698;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.4470;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4646;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1044;active=0.9319
step_mcm_brain.primary_field_step;72.6818;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0479;agents=230|neighbors=8
compute_runtime_result.total;86.4177;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3572;agents=230
apply_runtime_result.total;3.9646;decision_tendency=hold|runtime_tick_seq=19
step_mcm_brain.cluster_detect_snapshot;3.7996;clusters=1|agents=230
mcm_field.step.activity_diffusion;16.7038;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8944;decision_tendency=hold
step_mcm_brain.primary_field_step;54.0639;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0499;agents=230|neighbors=8
step_mcm_brain.self_regulation;0.0507;self_state=stressed|agents=230
mcm_field.step.neuron_loop;38.4607;agents=230|neighbors=8
compute_runtime_result.total;91.2943;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3837;agents=230
apply_runtime_result.refresh_active_context_trace;0.1533;active=0.8952
mcm_field.step.field_perception_state;0.3233;agents=230
apply_runtime_result.total;3.5725;decision_tendency=observe|runtime_tick_seq=26
step_mcm_brain.cluster_detect_snapshot;4.1714;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.8598;agents=230|neighbors=8
compute_runtime_result.total;98.2514;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3682;agents=230
apply_runtime_result.total;3.7086;decision_tendency=observe|runtime_tick_seq=29
step_mcm_brain.cluster_detect_snapshot;3.8056;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.9160;agents=230|neighbors=8
compute_runtime_result.total;108.3241;decision_tendency=observe|active_trade=False
mcm_field.step.total;57.1762;agents=230|dims=3
mcm_field.step.sync_neurons;2.0612;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.1258;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4593;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1034;active=0.9036
step_mcm_brain.primary_field_step;67.8675;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.2850;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;17.1263;neurons=230|areals=1
mcm_field.step.activity_diffusion;11.9121;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0340;decision_tendency=observe
step_mcm_brain.primary_field_step;54.6399;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0504;agents=230|neighbors=8
step_mcm_brain.total;94.8409;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.1915;agents=230
apply_runtime_result.refresh_experience_space;2.9038;decision_tendency=observe
mcm_field.step.total;69.4637;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1052;active=0.9079
step_mcm_brain.cluster_detect_pre_memory;0.0539;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;1.9741;agents=230|neighbors=8
step_mcm_brain.self_regulation;0.0539;self_state=stressed|agents=230
mcm_field.step.neuron_loop;35.5394;agents=230|neighbors=8
compute_runtime_result.total;99.8588;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3360;agents=230
apply_runtime_result.total;3.3059;decision_tendency=observe|runtime_tick_seq=45
step_mcm_brain.cluster_detect_snapshot;3.7652;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1467;agents=230|neighbors=8
compute_runtime_result.total;99.9226;decision_tendency=observe|active_trade=False
mcm_field.step.total;52.0366;agents=230|dims=3
mcm_field.step.sync_neurons;1.4376;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.5045;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5928;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1052;active=0.9054
mcm_field.step.refresh_areal_state;17.0439;agents=230|every_n=2
apply_runtime_result.total;3.2694;decision_tendency=observe|runtime_tick_seq=51
step_mcm_brain.memory_store;0.0729;clusters=1
memory_state.write_payload;133.3779;path=bot_memory/memory_state.json|keys=55
step_mcm_brain.cluster_detect_pre_memory;0.0701;clusters=1|agents=230
mcm_field.step.sync_neurons;1.5555;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.1355;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4532;agents=230|dims=3
