EXIT SL | time=N/A side=LONG entry=134.9595 tp=136.3919 sl=134.5313 risk=0.4282 mfe=0.0405 mae=0.5695 energy=1.0604 coherence=0.7272 asymmetry=1 coh_zone=2.0000 focus_point=0.3202 focus_confidence=0.2581 target_lock=0.3339 target_drift=-0.2489 signature_key=e:1.00|c:0.80|a:1|cp:0.50|ri:0.00|fp:0.40|fc:0.20|tl:0.40|td:-0.20|ee:0.40|te:0.20|ap:0.80|pr:0.20|er:0.20|rm:0.20|lb:0.20|pw:1.00|pc:0.40|sr:0.20|nd:0.20|tm:0.50|th:0.25|mc:0.50|ms:12|at:1|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0892 context_cluster_id=ctx_5 context_cluster_bias=-0.0714 context_cluster_quality=-0.0714 context_cluster_distance=0.1190 context_cluster_block=False inhibition_level=0.1430 habituation_level=0.0608 competition_bias=0.1437 observation_mode=False long_score=0.8255 short_score=-2.0936 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.4282
EXIT SL | time=N/A side=LONG entry=138.4810 tp=139.9065 sl=138.1450 risk=0.3360 mfe=1.3190 mae=0.6610 energy=0.8298 coherence=0.5916 asymmetry=1 coh_zone=1.0000 focus_point=0.1629 focus_confidence=0.1593 target_lock=0.2093 target_drift=-0.1513 signature_key=e:0.75|c:0.60|a:1|cp:1.00|ri:0.00|fp:0.20|fc:0.20|tl:0.20|td:-0.20|ee:0.40|te:0.00|ap:0.60|pr:0.00|er:0.40|rm:0.40|lb:0.40|pw:1.00|pc:0.60|sr:0.20|nd:0.20|tm:0.50|th:0.25|mc:-0.75|ms:12|at:-2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.1481 context_cluster_id=ctx_2 context_cluster_bias=-0.0675 context_cluster_quality=-0.0675 context_cluster_distance=0.1290 context_cluster_block=False inhibition_level=0.1825 habituation_level=0.0303 competition_bias=0.0804 observation_mode=False long_score=0.6205 short_score=-1.8968 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.3360
EXIT SL | time=N/A side=LONG entry=136.6200 tp=138.0273 sl=136.2749 risk=0.3451 mfe=0.0900 mae=0.4100 energy=0.8497 coherence=0.6000 asymmetry=1 coh_zone=1.0000 focus_point=0.4525 focus_confidence=0.1466 target_lock=0.2719 target_drift=-0.4452 signature_key=e:0.75|c:0.60|a:1|cp:1.00|ri:0.00|fp:0.40|fc:0.20|tl:0.20|td:-0.40|ee:0.40|te:0.20|ap:0.60|pr:0.00|er:0.20|rm:0.40|lb:0.40|pw:1.00|pc:0.60|sr:0.20|nd:0.40|tm:0.50|th:0.50|mc:1.50|ms:12|at:0|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0100 context_cluster_id=ctx_31 context_cluster_bias=-0.1604 context_cluster_quality=-0.1604 context_cluster_distance=0.1649 context_cluster_block=False inhibition_level=0.2190 habituation_level=0.0553 competition_bias=0.1615 observation_mode=False long_score=1.2470 short_score=-2.8336 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=-0.3451
EXIT TP | time=N/A side=LONG entry=141.2800 tp=142.7888 sl=140.8814 risk=0.3986 mfe=1.8400 mae=0.0000 energy=0.9022 coherence=0.6552 asymmetry=1 coh_zone=2.0000 focus_point=0.6404 focus_confidence=0.3617 target_lock=0.5819 target_drift=-0.6135 signature_key=e:1.00|c:0.60|a:1|cp:0.75|ri:0.00|fp:0.60|fc:0.40|tl:0.60|td:-0.60|ee:0.40|te:0.20|ap:0.60|pr:0.60|er:0.40|rm:0.40|lb:0.20|pw:1.00|pc:0.20|sr:0.40|nd:0.00|tm:0.75|th:0.00|mc:2.50|ms:12|at:2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0092 context_cluster_id=ctx_20 context_cluster_bias=0.0020 context_cluster_quality=0.0020 context_cluster_distance=0.1682 context_cluster_block=False inhibition_level=0.1730 habituation_level=0.1300 competition_bias=0.2425 observation_mode=False long_score=1.2461 short_score=-2.6151 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=1.5088
EXIT TP | time=N/A side=LONG entry=141.3653 tp=142.8879 sl=141.0228 risk=0.3424 mfe=1.9947 mae=0.0653 energy=1.1048 coherence=0.8502 asymmetry=1 coh_zone=2.0000 focus_point=0.0594 focus_confidence=0.3077 target_lock=0.2801 target_drift=-0.0069 signature_key=e:1.00|c:0.80|a:1|cp:1.00|ri:0.00|fp:0.00|fc:0.20|tl:0.20|td:0.00|ee:0.40|te:0.20|ap:0.60|pr:0.20|er:0.40|rm:0.40|lb:0.40|pw:1.00|pc:0.60|sr:0.40|nd:0.20|tm:0.75|th:0.25|mc:-2.50|ms:12|at:-2|ss:-1 signature_bias=0.0000 signature_block=False signature_quality=0.0000 signature_distance=0.0008 context_cluster_id=ctx_22 context_cluster_bias=0.2339 context_cluster_quality=0.2339 context_cluster_distance=0.0521 context_cluster_block=False inhibition_level=0.2087 habituation_level=0.0341 competition_bias=0.0654 observation_mode=False long_score=0.5925 short_score=-2.3476 felt_bearing_score=0.0000 felt_profile_label=mixed_unclear pnl=1.5226
