trade,current_equity,pnl_netto,pnl_tp,pnl_sl
1,99.55177045548695,-0.44822954451305996,0.0,-0.44822954451305996
2,99.07591159944661,-0.9240884005533928,0.0,-0.9240884005533928
3,100.22036038475066,0.22036038475066622,1.144448785304059,-0.9240884005533928
4,101.34465824239996,1.344658242399961,2.268746642953354,-0.9240884005533928
5,100.85753295660683,0.8575329566068324,2.268746642953354,-1.4112136863465214
6,102.10428115502431,2.104281155024312,3.515494841370834,-1.4112136863465214
7,103.43164795185126,3.4316479518512564,4.842861638197778,-1.4112136863465214
8,102.84174417166753,2.841744171667527,4.842861638197778,-2.0011174665302507
9,104.0201662482386,4.020166248238594,6.021283714768845,-2.0011174665302507
10,103.29242303024918,3.2924230302491857,6.021283714768845,-2.728860684519659
11,102.79294681028644,2.792946810286442,6.021283714768845,-3.2283369044824024
12,102.21955636068836,2.2195563606883555,6.021283714768845,-3.801727354080489
13,103.53160501520323,3.531605015203224,7.333332369283713,-3.801727354080489
14,104.70491240550754,4.704912405507537,8.506639759588026,-3.801727354080489
15,103.96020773018614,3.960207730186143,8.506639759588026,-4.546432029401883
16,103.45825233210824,3.4582523321082466,8.506639759588026,-5.0483874274797795
17,102.94834996016883,2.9483499601688337,8.506639759588026,-5.558289799419192
18,102.46207693087308,2.462076930873088,8.506639759588026,-6.044562828714938
19,103.57857213404318,3.5785721340431804,9.623134962758119,-6.044562828714938
20,103.03574510163087,3.0357451016308663,9.623134962758119,-6.587389861127253
21,102.5367530169308,2.5367530169308,9.623134962758119,-7.086381945827319
22,103.81110921180024,3.8111092118002414,10.89749115762756,-7.086381945827319
23,105.07601964703507,5.0760196470350625,12.16240159286238,-7.086381945827319
24,104.56721486591155,4.567214865911554,12.16240159286238,-7.595186726950828
25,105.79676095319621,5.796760953196206,13.391947680147032,-7.595186726950828
26,107.08327560078494,7.083275600784943,14.678462327735769,-7.595186726950828
27,108.39641438120475,8.396414381204753,15.991601108155578,-7.595186726950828
28,109.62533584447252,9.625335844472511,17.220522571423334,-7.595186726950828
29,109.11818598449064,9.118185984490633,17.220522571423334,-8.102336586932706
30,110.39486929357552,10.394869293575526,18.497205880508226,-8.102336586932706
31,111.78521007278907,11.78521007278907,19.887546659721767,-8.102336586932706
32,113.12359095355995,13.123590953559958,21.225927540492656,-8.102336586932706
33,112.56421539390445,12.56421539390445,21.225927540492656,-8.661712146588215
34,112.0473387793081,12.0473387793081,21.225927540492656,-9.178588761184564
35,111.51981493350792,11.519814933507913,21.225927540492656,-9.706112606984751
36,112.81631305816606,12.81631305816606,22.522425665150802,-9.706112606984751
37,112.16388119261279,12.163881192612784,22.522425665150802,-10.358544472538027
38,113.45590846872406,13.455908468724058,23.814452941262076,-10.358544472538027
39,112.8318755896917,12.831875589691709,23.814452941262076,-10.982577351570376
40,114.1839608527946,14.183960852794606,25.166538204364972,-10.982577351570376
41,113.66571775086872,13.665717750868724,25.166538204364972,-11.500820453496257
