timestamp;path;operation;elapsed_ms;bytes_written;extra
1778344739.590599;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3079;65;
1778344739.745050;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2478;579;symbol=fs_c0a6cc6e8e|phase=hold|zoom=2
1778344739.880865;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2809;256;phase=hold|reason=context_cluster_negative|field=fragmented_perception_field
1778344739.962220;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3151;65;
1778344740.250453;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2131;680;phase=act|reason=plan_allowed|effect=inhibit
1778344740.464670;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2688;76;
1778344740.765609;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2598;567;symbol=fs_d278415036|phase=hold|zoom=2
1778344740.834672;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2816;47;
1778344740.865703;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2017;226;phase=hold|reason=pause_mode|field=quiet_field
1778344741.177011;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3048;47;
1778344741.319377;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.3532;587;symbol=fs_1be6879be8|phase=observe|zoom=2
1778344741.543137;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2798;70;
1778344741.691905;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.1939;700;phase=observe|reason=development_reframe_observe|effect=inhibit
1778344741.692714;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.1918;261;phase=observe|reason=development_reframe_observe|field=active_perception_field
1778344741.879117;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2663;60;
1778344741.904511;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2773;580;symbol=fs_f6ee270ee8|phase=hold|zoom=2
1778344742.247949;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3134;55;
1778344742.275105;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2426;683;phase=hold|reason=maturity_block|effect=neutral_match
1778344742.275951;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2193;230;phase=hold|reason=maturity_block|field=quiet_field
1778344742.530746;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2359;569;symbol=fs_c0a6cc6e8e|phase=hold|zoom=2
1778344742.610115;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3384;65;
1778344742.979971;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3371;65;
1778344743.016812;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2446;700;phase=observe|reason=development_reframe_observe|effect=inhibit
1778344743.017626;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2506;249;phase=observe|reason=development_reframe_observe|field=quiet_field
1778344743.147211;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2852;574;symbol=fs_2d6e46df34|phase=hold|zoom=2
1778344743.167672;debug/debug_lauf_23/attempt_records.jsonl;trade_stats_jsonl_append;0.3355;5910;event=attempt|status=observed_only
1778344743.354836;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2622;64;
1778344743.605691;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.1943;729;phase=observe|reason=zero_point_regulation|effect=hard_inhibit
1778344743.606450;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2137;242;phase=observe|reason=zero_point_regulation|field=quiet_field
1778344743.684915;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2979;55;
1778344743.712576;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2401;578;symbol=fs_0033aca897|phase=observe|zoom=2
1778344744.046561;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2684;60;
1778344744.196957;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2356;726;phase=observe|reason=zero_point_regulation|effect=hard_inhibit
1778344744.324929;debug/debug_lauf_23/mcm_state_debug.csv;dbr_write:a;0.2474;260;
1778344744.329576;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2277;580;symbol=fs_9d7717264b|phase=hold|zoom=2
1778344744.330750;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.1932;239;phase=hold|reason=fused_score_too_low|field=quiet_field
1778344744.413450;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2843;55;
1778344744.436439;debug/debug_lauf_23/mcm_decision_debug.csv;dbr_write:a;0.2942;239;
1778344744.743538;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2716;55;
1778344745.049566;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2252;566;symbol=fs_057fadb563|phase=hold|zoom=2
1778344745.050422;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2328;699;phase=hold|reason=maturity_block|effect=inhibit
1778344745.118002;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2813;55;
1778344745.150615;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.1887;249;phase=observe|reason=development_reframe_observe|field=quiet_field
1778344745.484759;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2727;65;
1778344745.805826;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2356;575;symbol=fs_f2b6c08bb3|phase=observe|zoom=3
1778344745.928511;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2034;693;phase=observe|reason=zero_point_regulation|effect=inhibit
1778344746.015213;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2957;65;
1778344746.183864;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2004;264;phase=observe|reason=structure_bearing_observe|field=fragmented_perception_field
1778344746.403473;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3841;55;
1778344746.455982;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2456;549;symbol=fs_f6ee270ee8|phase=hold|zoom=2
1778344746.793778;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2975;55;
1778344746.822462;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2075;726;phase=observe|reason=zero_point_regulation|effect=hard_inhibit
1778344746.949348;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2573;234;phase=hold|reason=maturity_block|field=quiet_field
1778344747.071826;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.4606;569;symbol=fs_f6ee270ee8|phase=hold|zoom=2
1778344747.249287;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.3035;64;
1778344747.648566;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2475;55;
1778344747.675235;debug/debug_lauf_23/mcm_field_decision_protocol.csv;field_decision_protocol_append;0.2207;242;phase=hold|reason=context_cluster_negative|field=quiet_field
1778344747.798995;debug/debug_lauf_23/mcm_form_symbol_protocol.csv;form_symbol_protocol_append;0.2379;580;symbol=fs_c0a6cc6e8e|phase=hold|zoom=2
1778344747.800107;debug/debug_lauf_23/mcm_memory_thinking_protocol.csv;memory_thinking_protocol_append;0.2667;725;phase=hold|reason=context_cluster_negative|effect=hard_inhibit
1778344748.025083;debug/debug_lauf_23/mcm_profile.csv;profile_append;0.2891;56;
