section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.7721;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3064;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.2734;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.9129;agents=230|neighbors=8
step_mcm_brain.total;78.9201;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.3894;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1127;active=0.8440
step_mcm_brain.cluster_detect_snapshot;3.7619;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1581;agents=230|neighbors=8
compute_runtime_result.total;107.4726;decision_tendency=hold|active_trade=False
mcm_field.step.total;52.8398;agents=230|dims=3
apply_runtime_result.total;3.0502;decision_tendency=hold|runtime_tick_seq=7
step_mcm_brain.cluster_detect_snapshot;3.4993;clusters=1|agents=230
apply_runtime_result.refresh_experience_space;2.3807;decision_tendency=hold
apply_runtime_result.total;2.7953;decision_tendency=hold|runtime_tick_seq=11
mcm_field.step.field_perception_state;0.3060;agents=230
mcm_field.step.neuron_loop;37.4203;agents=230|neighbors=8
compute_runtime_result.total;99.5042;decision_tendency=act|active_trade=False
mcm_field.step.total;53.9981;agents=230|dims=3
mcm_field.step.sync_neurons;1.4198;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.3444;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4833;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.7971;decision_tendency=hold
mcm_field.step.total;74.0188;agents=230|dims=3
mcm_field.step.sync_neurons;1.3617;agents=230|dims=3
step_mcm_brain.snapshot_field_read;18.9015;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4709;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1038;active=0.8891
step_mcm_brain.cluster_detect_pre_memory;0.0604;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3406;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.7995;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4607;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1057;active=0.9172
step_mcm_brain.primary_field_step;67.6072;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.1092;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;3.7719;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1165;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7196;decision_tendency=observe
mcm_field.step.refresh_arrays;0.4522;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1048;active=0.9267
step_mcm_brain.primary_field_step;70.7970;agents=230|dims=3
apply_runtime_result.total;3.3718;decision_tendency=observe|runtime_tick_seq=27
step_mcm_brain.cluster_detect_snapshot;3.6238;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8779;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1840;decision_tendency=observe
step_mcm_brain.primary_field_step;53.6618;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0886;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;3.9833;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1632;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1087;active=0.9198
step_mcm_brain.primary_field_step;73.4921;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9675;agents=230|neighbors=8
step_mcm_brain.total;75.5358;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.9985;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1051;active=0.9084
step_mcm_brain.cluster_detect_pre_memory;0.0510;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3351;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.7496;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4996;agents=230|dims=3
apply_runtime_result.total;3.1062;decision_tendency=observe|runtime_tick_seq=38
step_mcm_brain.cluster_detect_snapshot;3.5032;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9915;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1050;active=0.9258
step_mcm_brain.primary_field_step;69.3488;agents=230|dims=3
apply_runtime_result.total;3.2880;decision_tendency=observe|runtime_tick_seq=41
step_mcm_brain.cluster_detect_snapshot;3.5657;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0651;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;17.4992;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4799;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1039;active=0.9185
step_mcm_brain.primary_field_step;70.6051;agents=230|dims=3
mcm_field.step.sync_neurons;1.3381;agents=230|dims=3
step_mcm_brain.snapshot_field_read;26.3908;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4788;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1094;active=0.9067
step_mcm_brain.cluster_detect_pre_memory;0.1645;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3443;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.4559;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4791;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1060;active=0.9060
mcm_field.step.refresh_areal_state;18.0689;agents=230|every_n=2
apply_runtime_result.total;3.1639;decision_tendency=hold|runtime_tick_seq=51
step_mcm_brain.cluster_detect_snapshot;3.9681;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8958;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8910;decision_tendency=observe
mcm_field.step.field_perception_state;1.3145;agents=230
apply_runtime_result.total;3.3673;decision_tendency=observe|runtime_tick_seq=54
step_mcm_brain.cluster_detect_snapshot;3.7204;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9649;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9567;decision_tendency=observe
mcm_field.step.total;81.1287;agents=230|dims=3
mcm_field.step.sync_neurons;1.4109;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.9136;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5965;agents=230|dims=3
apply_runtime_result.refresh_experience_space;3.0161;decision_tendency=observe
step_mcm_brain.primary_field_step;53.9534;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0321;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.6601;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5425;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1090;active=0.9129
step_mcm_brain.primary_field_step;70.9498;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0541;agents=230|neighbors=8
step_mcm_brain.total;84.2609;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;23.3934;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.2569;active=0.9212
step_mcm_brain.cluster_detect_pre_memory;0.0840;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3887;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.4039;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4448;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1066;active=0.9311
step_mcm_brain.primary_field_step;70.1731;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0293;agents=230|neighbors=8
compute_runtime_result.total;86.1854;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3611;agents=230
apply_runtime_result.total;3.2139;decision_tendency=observe|runtime_tick_seq=71
step_mcm_brain.memory_store;0.0556;clusters=1
mcm_field.step.build_neighbor_state_map;2.0906;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;19.0709;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4810;agents=230|dims=3
apply_runtime_result.total;3.5726;decision_tendency=act|runtime_tick_seq=74
step_mcm_brain.cluster_detect_snapshot;3.5437;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3320;agents=230|dims=3
step_mcm_brain.total;81.9528;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.6394;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1105;active=0.9265
step_mcm_brain.cluster_detect_pre_memory;0.0527;clusters=1|agents=230
mcm_field.step.sync_neurons;1.5386;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.9725;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.0774;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;4.0072;decision_tendency=hold
mcm_field.step.total;74.6912;agents=230|dims=3
mcm_field.step.sync_neurons;1.3243;agents=230|dims=3
step_mcm_brain.total;75.7280;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.8052;agents=230|every_n=2
apply_runtime_result.refresh_experience_space;2.6368;decision_tendency=observe
