section;elapsed_ms;extra
mcm_field.step.build_neighbor_state_map;1.9391;agents=230|neighbors=8
step_mcm_brain.total;94.6801;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3066;agents=230
apply_runtime_result.total;3.4052;decision_tendency=observe|runtime_tick_seq=60
step_mcm_brain.cluster_detect_pre_memory;0.0504;clusters=1|agents=230
mcm_field.step.sync_neurons;1.9637;agents=230|dims=3
step_mcm_brain.cluster_detect_pre_memory;0.0570;clusters=1|agents=230
mcm_field.step.sync_neurons;1.5952;agents=230|dims=3
step_mcm_brain.cluster_detect_pre_memory;0.0511;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3884;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.9875;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4907;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1304;active=0.9177
step_mcm_brain.cluster_detect_pre_memory;0.0675;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4157;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.5730;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4441;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1082;active=0.9302
step_mcm_brain.primary_field_step;72.5550;agents=230|dims=3
mcm_field.step.sync_neurons;1.5265;agents=230|dims=3
step_mcm_brain.total;76.8962;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.2730;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1083;active=0.9285
step_mcm_brain.cluster_detect_snapshot;3.7027;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.9116;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0737;decision_tendency=observe
step_mcm_brain.primary_field_step;51.3572;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0096;agents=230|neighbors=8
step_mcm_brain.total;90.4517;mode=market|clusters=1|agents=230
mcm_field.step.neuron_loop;34.7113;agents=230|neighbors=8
compute_runtime_result.total;78.3281;decision_tendency=observe|active_trade=False
mcm_field.step.field_perception_state;0.3124;agents=230
apply_runtime_result.total;3.2106;decision_tendency=hold|runtime_tick_seq=77
step_mcm_brain.cluster_detect_snapshot;3.6437;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6297;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0090;decision_tendency=hold
mcm_field.step.field_perception_state;1.3026;agents=230
apply_runtime_result.total;4.3339;decision_tendency=observe|runtime_tick_seq=80
step_mcm_brain.cluster_detect_pre_memory;0.0520;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3563;agents=230|dims=3
step_mcm_brain.total;90.0843;mode=market|clusters=1|agents=230
apply_runtime_result.refresh_experience_space;2.7710;decision_tendency=hold
apply_runtime_result.total;3.0190;decision_tendency=hold|runtime_tick_seq=86
apply_runtime_result.refresh_experience_space;2.6407;decision_tendency=hold
mcm_field.step.activity_diffusion;19.8643;agents=230|neighbors=8
mcm_field.step.sync_neurons;1.4194;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.7617;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5379;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1155;active=0.9188
step_mcm_brain.cluster_detect_pre_memory;0.0516;clusters=1|agents=230
mcm_field.step.sync_neurons;1.5113;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.5747;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5254;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1077;active=0.9124
step_mcm_brain.primary_field_step;68.5773;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9385;agents=230|neighbors=8
compute_runtime_result.total;81.2741;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3411;agents=230
apply_runtime_result.total;5.8932;decision_tendency=hold|runtime_tick_seq=98
step_mcm_brain.primary_field_step;53.7968;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9573;agents=230|neighbors=8
step_mcm_brain.total;92.5443;mode=market|clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;1.9319;agents=230|neighbors=8
step_mcm_brain.total;76.7147;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.5481;agents=230|every_n=2
apply_runtime_result.total;3.4372;decision_tendency=observe|runtime_tick_seq=102
step_mcm_brain.cluster_detect_snapshot;3.8166;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.3889;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.0781;decision_tendency=observe
step_mcm_brain.primary_field_step;56.9064;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9283;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.4869;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4752;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1059;active=0.9161
step_mcm_brain.primary_field_step;70.8670;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0090;agents=230|neighbors=8
compute_runtime_result.total;83.3703;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3311;agents=230
apply_runtime_result.total;3.4280;decision_tendency=observe|runtime_tick_seq=110
step_mcm_brain.cluster_detect_snapshot;3.8245;clusters=1|agents=230
mcm_field.step.activity_diffusion;28.3714;agents=230|neighbors=8
compute_runtime_result.total;134.8784;decision_tendency=observe|active_trade=False
mcm_field.step.total;51.4189;agents=230|dims=3
mcm_field.step.sync_neurons;1.3523;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.8669;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4431;agents=230|dims=3
apply_runtime_result.total;3.3912;decision_tendency=observe|runtime_tick_seq=115
step_mcm_brain.cluster_detect_snapshot;3.6777;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.8360;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8914;decision_tendency=hold
mcm_field.step.total;68.8736;agents=230|dims=3
mcm_field.step.sync_neurons;1.3820;agents=230|dims=3
step_mcm_brain.total;72.6241;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.4226;agents=230|every_n=2
apply_runtime_result.total;4.1542;decision_tendency=hold|runtime_tick_seq=120
step_mcm_brain.cluster_detect_snapshot;3.9477;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6011;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1666;decision_tendency=hold
step_mcm_brain.primary_field_step;51.4994;agents=230|dims=3
mcm_field.step.sync_neurons;1.3676;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.9550;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.6305;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.1938;decision_tendency=hold
mcm_field.step.refresh_arrays;0.4705;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1088;active=0.9172
step_mcm_brain.cluster_detect_snapshot;3.7085;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6222;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9865;decision_tendency=hold
step_mcm_brain.primary_field_step;51.3139;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9476;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;16.3981;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4501;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1055;active=0.9124
step_mcm_brain.primary_field_step;68.2723;agents=230|dims=3
mcm_field.step.sync_neurons;1.3619;agents=230|dims=3
step_mcm_brain.total;72.8317;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.8559;agents=230|every_n=2
apply_runtime_result.total;3.5382;decision_tendency=observe|runtime_tick_seq=134
step_mcm_brain.cluster_detect_snapshot;3.8075;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0052;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;3.7781;decision_tendency=hold
step_mcm_brain.primary_field_step;63.3755;agents=230|dims=3
apply_runtime_result.total;3.5679;decision_tendency=hold|runtime_tick_seq=137
step_mcm_brain.cluster_detect_pre_memory;0.0903;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3167;agents=230|dims=3
