MCM_DECISION | long_score=-1.2452 short_score=0.2733 memory_center=0.4969 memory_strength=42 self_state=active attractor=cooperate best_score=0.2733 reject_reason=-
MCM_DECISION | long_score=-0.0245 short_score=-1.0230 memory_center=0.4112 memory_strength=48 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.0109 short_score=1.0277 memory_center=0.4112 memory_strength=41 self_state=active attractor=cooperate best_score=1.0277 reject_reason=-
MCM_DECISION | long_score=-1.4402 short_score=0.3625 memory_center=0.4112 memory_strength=35 self_state=active attractor=cooperate best_score=0.3625 reject_reason=-
MCM_DECISION | long_score=1.0998 short_score=-2.1068 memory_center=0.5697 memory_strength=42 self_state=active attractor=cooperate best_score=1.0998 reject_reason=-
MCM_DECISION | long_score=0.4946 short_score=-1.4641 memory_center=0.5697 memory_strength=36 self_state=active attractor=cooperate best_score=0.4946 reject_reason=-
MCM_DECISION | long_score=1.6280 short_score=-2.4602 memory_center=0.5697 memory_strength=31 self_state=active attractor=cooperate best_score=1.6280 reject_reason=-
MCM_DECISION | long_score=-2.3094 short_score=1.2668 memory_center=0.4018 memory_strength=32 self_state=active attractor=cooperate best_score=1.2668 reject_reason=-
MCM_DECISION | long_score=-2.6086 short_score=1.5502 memory_center=0.4018 memory_strength=27 self_state=active attractor=cooperate best_score=1.5502 reject_reason=-
MCM_DECISION | long_score=-1.3018 short_score=0.1360 memory_center=-2.1432 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=1.3308 short_score=-2.1550 memory_center=-2.1432 memory_strength=21 self_state=active attractor=defense best_score=1.3308 reject_reason=-
MCM_DECISION | long_score=0.5074 short_score=-1.3895 memory_center=-2.1432 memory_strength=18 self_state=active attractor=defense best_score=0.5074 reject_reason=-
MCM_DECISION | long_score=0.4055 short_score=-1.3504 memory_center=1.9270 memory_strength=27 self_state=active attractor=explore best_score=0.4055 reject_reason=-
MCM_DECISION | long_score=0.5685 short_score=-1.7241 memory_center=2.0635 memory_strength=35 self_state=active attractor=explore best_score=0.5685 reject_reason=-
MCM_DECISION | long_score=1.5579 short_score=-2.8572 memory_center=2.1318 memory_strength=42 self_state=active attractor=explore best_score=1.5579 reject_reason=-
MCM_DECISION | long_score=-0.1863 short_score=-1.2591 memory_center=2.1394 memory_strength=48 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5820 short_score=0.5102 memory_center=2.1394 memory_strength=41 self_state=active attractor=explore best_score=0.5102 reject_reason=-
MCM_DECISION | long_score=-1.3365 short_score=0.4417 memory_center=2.1394 memory_strength=35 self_state=active attractor=explore best_score=0.4417 reject_reason=-
MCM_DECISION | long_score=-1.9878 short_score=0.9540 memory_center=2.1394 memory_strength=30 self_state=active attractor=explore best_score=0.9540 reject_reason=-
MCM_DECISION | long_score=0.9466 short_score=-1.6084 memory_center=2.1394 memory_strength=26 self_state=active attractor=explore best_score=0.9466 reject_reason=-
MCM_DECISION | long_score=-2.2771 short_score=1.3785 memory_center=-1.5274 memory_strength=23 self_state=active attractor=defense best_score=1.3785 reject_reason=-
MCM_DECISION | long_score=-2.3888 short_score=1.4267 memory_center=-1.5274 memory_strength=20 self_state=active attractor=defense best_score=1.4267 reject_reason=-
MCM_DECISION | long_score=-2.5173 short_score=1.4186 memory_center=-2.1858 memory_strength=25 self_state=active attractor=defense best_score=1.4186 reject_reason=-
MCM_DECISION | long_score=-1.7761 short_score=0.5357 memory_center=-2.0753 memory_strength=33 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=-1.0538 short_score=0.0385 memory_center=-2.0753 memory_strength=28 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=0.2873 short_score=-0.8660 memory_center=-2.0753 memory_strength=24 self_state=stable attractor=defense best_score=0.2873 reject_reason=-
MCM_DECISION | long_score=0.2445 short_score=-0.6906 memory_center=0.0257 memory_strength=25 self_state=stable attractor=cooperate best_score=0.2445 reject_reason=-
MCM_DECISION | long_score=-1.9178 short_score=1.4531 memory_center=0.0257 memory_strength=21 self_state=active attractor=cooperate best_score=1.4531 reject_reason=-
MCM_DECISION | long_score=-2.2396 short_score=1.2068 memory_center=-1.9324 memory_strength=26 self_state=active attractor=defense best_score=1.2068 reject_reason=-
MCM_DECISION | long_score=-1.7554 short_score=0.4627 memory_center=-2.0362 memory_strength=34 self_state=active attractor=defense best_score=0.4627 reject_reason=-
MCM_DECISION | long_score=-2.4002 short_score=0.9176 memory_center=-2.1181 memory_strength=41 self_state=active attractor=defense best_score=0.9176 reject_reason=-
MCM_DECISION | long_score=-0.8230 short_score=-0.8004 memory_center=-1.9505 memory_strength=47 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=0.3282 short_score=-1.3807 memory_center=-1.9505 memory_strength=40 self_state=stable attractor=defense best_score=0.3282 reject_reason=-
MCM_DECISION | long_score=0.8613 short_score=-1.9645 memory_center=-1.9505 memory_strength=29 self_state=active attractor=defense best_score=0.8613 reject_reason=-
MCM_DECISION | long_score=-0.8278 short_score=-0.1781 memory_center=-1.9505 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=1.6201 short_score=-2.5057 memory_center=2.1848 memory_strength=23 self_state=active attractor=explore best_score=1.6201 reject_reason=-
MCM_DECISION | long_score=-1.7149 short_score=1.1434 memory_center=0.2212 memory_strength=21 self_state=active attractor=cooperate best_score=1.1434 reject_reason=-
MCM_DECISION | long_score=-0.6381 short_score=0.2078 memory_center=0.2212 memory_strength=18 self_state=active attractor=cooperate best_score=0.2078 reject_reason=-
MCM_DECISION | long_score=-1.7219 short_score=1.1615 memory_center=0.2212 memory_strength=15 self_state=active attractor=cooperate best_score=1.1615 reject_reason=-
MCM_DECISION | long_score=1.4790 short_score=-1.9410 memory_center=0.6234 memory_strength=15 self_state=active attractor=cooperate best_score=1.4790 reject_reason=-
MCM_DECISION | long_score=-0.0380 short_score=-0.9646 memory_center=-0.5120 memory_strength=30 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.5773 short_score=-0.2380 memory_center=-0.5120 memory_strength=26 self_state=stable attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.2766 short_score=-2.3714 memory_center=-0.5120 memory_strength=22 self_state=active attractor=analysis best_score=1.2766 reject_reason=-
MCM_DECISION | long_score=-0.3474 short_score=-0.7672 memory_center=2.1633 memory_strength=27 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6870 short_score=-1.9422 memory_center=2.1816 memory_strength=35 self_state=active attractor=explore best_score=0.6870 reject_reason=-
MCM_DECISION | long_score=-1.4885 short_score=0.5705 memory_center=2.1816 memory_strength=30 self_state=active attractor=explore best_score=0.5705 reject_reason=-
MCM_DECISION | long_score=-0.1089 short_score=-0.7023 memory_center=2.1816 memory_strength=26 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5452 short_score=-1.2768 memory_center=2.1816 memory_strength=22 self_state=active attractor=explore best_score=0.5452 reject_reason=-
MCM_DECISION | long_score=-0.3443 short_score=-0.1666 memory_center=2.1816 memory_strength=19 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.6687 short_score=-2.6865 memory_center=2.1879 memory_strength=28 self_state=active attractor=explore best_score=1.6687 reject_reason=-
MCM_DECISION | long_score=-1.0111 short_score=0.2402 memory_center=0.8169 memory_strength=26 self_state=active attractor=cooperate best_score=0.2402 reject_reason=-
MCM_DECISION | long_score=1.0578 short_score=-2.1983 memory_center=2.1940 memory_strength=32 self_state=active attractor=explore best_score=1.0578 reject_reason=-
MCM_DECISION | long_score=0.3611 short_score=-1.1227 memory_center=2.1940 memory_strength=23 self_state=active attractor=explore best_score=0.3611 reject_reason=-
MCM_DECISION | long_score=-0.5808 short_score=-0.2968 memory_center=1.2641 memory_strength=27 self_state=active attractor=neutral best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.7736 short_score=-2.8353 memory_center=2.1970 memory_strength=29 self_state=active attractor=explore best_score=1.7736 reject_reason=-
MCM_DECISION | long_score=-0.0488 short_score=-0.7776 memory_center=2.1970 memory_strength=25 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.6470 short_score=-2.7606 memory_center=2.1985 memory_strength=33 self_state=active attractor=explore best_score=1.6470 reject_reason=-
MCM_DECISION | long_score=0.7502 short_score=-2.0375 memory_center=2.1992 memory_strength=40 self_state=active attractor=explore best_score=0.7502 reject_reason=-
MCM_DECISION | long_score=1.3417 short_score=-2.7883 memory_center=2.1996 memory_strength=46 self_state=active attractor=explore best_score=1.3417 reject_reason=-
MCM_DECISION | long_score=-1.1613 short_score=-0.0195 memory_center=2.1998 memory_strength=43 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.6060 short_score=0.6055 memory_center=2.1998 memory_strength=37 self_state=active attractor=explore best_score=0.6055 reject_reason=-
MCM_DECISION | long_score=0.4282 short_score=-1.3226 memory_center=2.1998 memory_strength=31 self_state=active attractor=explore best_score=0.4282 reject_reason=-
