timestamp;path;operation;elapsed_ms;bytes_written;extra
1779143766.890817;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.8037;75346;force=False|trades=1|attempts=75
1779143769.804086;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.0353;4454799;symbols=647|total_seen=241977
1779143772.792104;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.2832;131984;kind=visual|keys=7
1779143772.825978;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;33.2816;605380;kind=inner|keys=41
1779143778.260741;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.4108;84271;force=False|trades=3|attempts=150
1779143780.607362;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.8581;4454687;symbols=647|total_seen=242048
1779143780.766973;bot_memory/memory_state.json;memory_state_json_dump_atomic;133.7479;2451213;keys=55
1779143785.962562;debug/debug_lauf_24/mcm_profile.csv;buffer_flush:127;0.3098;8231;
1779143786.390615;debug/debug_lauf_24/mcm_form_symbol_protocol.csv;buffer_flush:72;0.3777;65208;
1779143786.391892;debug/debug_lauf_24/mcm_memory_thinking_protocol.csv;buffer_flush:68;0.3572;115739;
1779143786.393030;debug/debug_lauf_24/mcm_field_decision_protocol.csv;buffer_flush:68;0.3139;88062;
1779143786.394243;debug/debug_lauf_24/mcm_strategic_window_protocol.csv;buffer_flush:75;0.4685;237570;
1779143786.395124;debug/debug_lauf_24/mcm_active_contact_protocol.csv;buffer_flush:75;0.3032;28273;
1779143787.154245;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.7309;132042;kind=visual|keys=7
1779143787.190427;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;35.4747;614131;kind=inner|keys=41
1779143789.854894;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.2580;4454693;symbols=647|total_seen=242096
1779143789.922354;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.4379;87648;force=True|trades=4|attempts=219
1779143791.881254;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;17.3437;132117;kind=visual|keys=7
1779143791.919417;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;37.2812;613105;kind=inner|keys=41
1779143796.020305;debug/debug_lauf_24/mcm_visual_cortex_protocol.csv;buffer_flush:162;0.3764;48360;
1779143797.087321;bot_memory/form_symbol_memory.json;form_symbol_memory_write;9.9816;4454717;symbols=647|total_seen=242138
1779143797.148875;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.0308;90263;force=True|trades=6|attempts=264
1779143799.548672;debug/debug_lauf_24/mcm_state_debug.csv;buffer_flush:8;0.3359;2036;
1779143799.565205;debug/debug_lauf_24/attempt_records.jsonl;buffer_flush:15;0.7290;212238;
1779143800.646224;debug/debug_lauf_24/mcm_decision_debug.csv;buffer_flush:8;0.3136;1832;
1779143800.781639;debug/debug_lauf_24/mcm_neuro_transition_protocol.csv;buffer_flush:11;0.3329;6302;
1779143805.169657;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.3254;131769;kind=visual|keys=7
1779143805.203443;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;33.1980;605272;kind=inner|keys=41
1779143809.010972;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.1471;4454787;symbols=647|total_seen=242213
1779143809.169108;bot_memory/memory_state.json;memory_state_json_dump_atomic;132.6068;2446405;keys=55
1779143809.543602;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.1904;90856;force=True|trades=8|attempts=341
1779143813.644878;debug/debug_lauf_24/outcome_records.jsonl;buffer_flush:2;0.3790;63606;
1779143813.665786;debug/debug_lauf_24/trade_equity.csv;buffer_flush:2;0.3914;154;
1779143816.728740;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.4421;4454742;symbols=647|total_seen=242254
1779143817.598657;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.4171;131964;kind=visual|keys=7
1779143817.635469;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;35.8715;614349;kind=inner|keys=41
1779143819.017126;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.1149;90781;force=False|trades=10|attempts=400
1779143826.539624;bot_memory/form_symbol_memory.json;form_symbol_memory_write;12.4898;4454554;symbols=647|total_seen=242316
1779143830.467010;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;4.9890;88625;force=False|trades=11|attempts=475
1779143832.698400;debug/debug_lauf_24/mcm_exit_candidate_observe.csv;buffer_flush:4;0.3297;2689;
1779143832.713862;debug/debug_lauf_24/mcm_target_expectation_protocol.csv;buffer_flush:4;0.3524;3263;
1779143834.925015;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;14.4962;131980;kind=visual|keys=7
1779143834.960873;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;34.8613;614100;kind=inner|keys=41
1779143836.501570;debug/debug_lauf_24/mcm_profile.csv;buffer_flush:114;0.3555;7273;
1779143836.876549;debug/debug_lauf_24/mcm_form_symbol_protocol.csv;buffer_flush:65;0.4915;59343;
1779143836.878593;debug/debug_lauf_24/mcm_strategic_window_protocol.csv;buffer_flush:65;0.6338;205655;
1779143836.879504;debug/debug_lauf_24/mcm_active_contact_protocol.csv;buffer_flush:65;0.3330;24552;
1779143837.262150;debug/debug_lauf_24/mcm_memory_thinking_protocol.csv;buffer_flush:58;0.9765;98717;
1779143837.263367;debug/debug_lauf_24/mcm_field_decision_protocol.csv;buffer_flush:63;0.3188;81558;
1779143837.946518;bot_memory/memory_state.json;memory_state_json_dump_atomic;149.9314;2445426;keys=55
1779143840.177617;debug/debug_lauf_24/mcm_position_intervention_protocol.csv;buffer_flush:2;0.3131;773;
1779143840.412248;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.3123;4454496;symbols=647|total_seen=242404
1779143842.139928;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.0836;91542;force=False|trades=13|attempts=550
1779143846.738592;debug/debug_lauf_24/mcm_visual_cortex_protocol.csv;buffer_flush:80;0.3377;23982;
1779143848.444424;bot_memory/form_symbol_memory.json;form_symbol_memory_write;11.4970;4454521;symbols=647|total_seen=242451
1779143851.507681;debug/debug_lauf_24/mcm_state_debug.csv;buffer_flush:8;0.3507;2042;
1779143851.681049;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.0191;87985;force=True|trades=16|attempts=608
1779143851.831376;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.3909;132009;kind=visual|keys=7
1779143851.866580;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;34.4847;605449;kind=inner|keys=41
1779143853.994802;debug/debug_lauf_24/mcm_decision_debug.csv;buffer_flush:8;0.3352;1866;
1779143854.192664;debug/debug_lauf_24/attempt_records.jsonl;buffer_flush:14;0.5108;197128;
1779143857.259121;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.1051;4454572;symbols=647|total_seen=242501
1779143859.382444;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.3445;90368;force=False|trades=18|attempts=650
1779143866.934495;bot_memory/memory_state.json;memory_state_json_dump_atomic;138.3867;2437066;keys=55
1779143867.216904;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.8962;132117;kind=visual|keys=7
1779143867.253850;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;36.2917;605205;kind=inner|keys=41
1779143868.279376;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.9889;4454681;symbols=647|total_seen=242563
1779143872.408863;debug/debug_lauf_24/mcm_neuro_transition_protocol.csv;buffer_flush:5;0.3734;2872;
1779143872.822802;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.4413;88039;force=False|trades=20|attempts=725
1779143878.413913;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.2578;4454745;symbols=647|total_seen=242609
1779143878.492189;debug/debug_lauf_24/outcome_records.jsonl;buffer_flush:3;0.4574;68572;
1779143879.758332;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.9948;132132;kind=visual|keys=7
1779143879.797596;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;38.3969;607002;kind=inner|keys=41
1779143882.566350;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.2196;87605;force=True|trades=21|attempts=776
1779143882.568092;debug/debug_lauf_24/trade_equity.csv;buffer_flush:1;0.9924;77;
1779143885.310153;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.8162;4454729;symbols=647|total_seen=242640
1779143887.114054;debug/debug_lauf_24/mcm_profile.csv;buffer_flush:95;0.6042;6225;
1779143887.980032;debug/debug_lauf_24/mcm_form_symbol_protocol.csv;buffer_flush:46;0.3477;41732;
1779143887.981155;debug/debug_lauf_24/mcm_memory_thinking_protocol.csv;buffer_flush:39;0.3831;66549;
1779143887.982095;debug/debug_lauf_24/mcm_field_decision_protocol.csv;buffer_flush:40;0.2904;51826;
1779143887.983049;debug/debug_lauf_24/mcm_strategic_window_protocol.csv;buffer_flush:48;0.3986;151669;
1779143887.983719;debug/debug_lauf_24/mcm_active_contact_protocol.csv;buffer_flush:48;0.2558;18075;
1779143892.093995;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;4.9784;87973;force=False|trades=23|attempts=825
1779143893.938023;bot_memory/memory_state.json;memory_state_json_dump_atomic;138.4142;2436002;keys=55
1779143897.251902;debug/debug_lauf_24/mcm_visual_cortex_protocol.csv;buffer_flush:65;0.3472;19461;
1779143897.943230;debug/debug_lauf_24/mcm_target_expectation_protocol.csv;buffer_flush:2;0.4325;1652;
1779143897.985994;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;13.3463;132048;kind=visual|keys=7
1779143898.028909;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;42.0309;614973;kind=inner|keys=41
1779143899.154587;bot_memory/form_symbol_memory.json;form_symbol_memory_write;10.7573;4454709;symbols=647|total_seen=242710
1779143905.145889;debug/debug_lauf_24/mcm_state_debug.csv;buffer_flush:7;0.3237;1784;
1779143906.865507;debug/debug_lauf_24/attempt_records.jsonl;buffer_flush:9;0.4426;110696;
1779143906.935568;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.7234;89354;force=True|trades=24|attempts=903
1779143907.180472;debug/debug_lauf_24/mcm_decision_debug.csv;buffer_flush:7;0.3863;1594;
1779143907.856416;bot_memory/form_symbol_memory.json;form_symbol_memory_write;16.2641;4454695;symbols=647|total_seen=242755
1779143909.731842;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;10.9561;131917;kind=visual|keys=7
1779143909.766372;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;33.8845;606018;kind=inner|keys=41
1779143920.203665;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.1522;87950;force=False|trades=26|attempts=975
1779143921.895258;debug/debug_lauf_24/mcm_exit_candidate_observe.csv;buffer_flush:7;0.3305;4742;
1779143922.406770;bot_memory/form_symbol_memory.json;form_symbol_memory_write;12.0124;4455648;symbols=647|total_seen=242832
1779143923.592198;bot_memory/memory_state.json;memory_state_json_dump_atomic;141.5522;2440211;keys=55
1779143926.596788;debug/debug_lauf_24/bot_visual_snapshot.json;runtime_snapshot_json_dump;12.3388;131921;kind=visual|keys=7
1779143926.635139;debug/debug_lauf_24/bot_inner_snapshot.json;runtime_snapshot_json_dump;37.3425;614890;kind=inner|keys=41
1779143932.167864;bot_memory/form_symbol_memory.json;form_symbol_memory_write;11.1030;4455661;symbols=647|total_seen=242877
1779143932.227778;debug/debug_lauf_24/trade_stats.json;trade_stats_json_dump;5.3827;90129;force=True|trades=29|attempts=1032
1779143937.314167;debug/debug_lauf_24/mcm_profile.csv;buffer_flush:99;0.4870;6523;
1779143940.305543;debug/debug_lauf_24/mcm_form_symbol_protocol.csv;buffer_flush:50;0.4093;45344;
1779143940.306808;debug/debug_lauf_24/mcm_memory_thinking_protocol.csv;buffer_flush:49;0.3775;83366;
1779143940.307943;debug/debug_lauf_24/mcm_field_decision_protocol.csv;buffer_flush:48;0.3417;62452;
