section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
mcm_field.step.field_perception_state;0.3243;agents=230
apply_runtime_result.refresh_active_context_trace;0.2776;active=0.7736
step_mcm_brain.primary_field_step;68.4782;agents=230|dims=3
apply_runtime_result.total;3.2480;decision_tendency=act|runtime_tick_seq=2
step_mcm_brain.cluster_detect_snapshot;3.3770;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6081;agents=230|neighbors=8
compute_runtime_result.total;97.0341;decision_tendency=act|active_trade=False
mcm_field.step.total;53.0068;agents=230|dims=3
memory_state.build_memory_state;20.8866;keys=55|include_runtime_state=False
compute_runtime_result.total;0.2211;decision_tendency=hold|active_trade=True
apply_runtime_result.refresh_active_context_trace;0.1614;active=0.8345
compute_runtime_result.total;0.1911;decision_tendency=hold|active_trade=True
mcm_field.step.field_perception_state;0.3727;agents=230
mcm_field.step.neuron_loop;34.0854;agents=230|neighbors=8
compute_runtime_result.total;77.7466;decision_tendency=act|active_trade=False
mcm_field.step.field_perception_state;1.2933;agents=230
apply_runtime_result.total;3.9777;decision_tendency=act|runtime_tick_seq=15
step_mcm_brain.self_regulation;0.0715;self_state=active|agents=230
mcm_field.step.neuron_loop;36.2692;agents=230|neighbors=8
step_mcm_brain.total;97.6165;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;1.2066;agents=230
apply_runtime_result.refresh_active_context_trace;0.2036;active=0.8894
step_mcm_brain.primary_field_step;69.9364;agents=230|dims=3
mcm_field.step.sync_neurons;1.3847;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.6250;clusters=1|agents=230
mcm_field.step.activity_diffusion;15.5007;agents=230|neighbors=8
compute_runtime_result.total;123.2591;decision_tendency=act|active_trade=False
mcm_field.step.total;56.5231;agents=230|dims=3
apply_runtime_result.total;4.1591;decision_tendency=hold|runtime_tick_seq=22
step_mcm_brain.cluster_detect_pre_memory;0.0502;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;1.9464;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;5.3778;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.9815;agents=230|neighbors=8
compute_runtime_result.total;109.3995;decision_tendency=observe|active_trade=False
