section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;3.5495;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4224;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.3858;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.5425;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1153;active=0.8914
step_mcm_brain.primary_field_step;69.2902;agents=230|dims=3
mcm_field.step.sync_neurons;1.3271;agents=230|dims=3
step_mcm_brain.total;75.1924;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.1450;agents=230|every_n=2
apply_runtime_result.total;3.0178;decision_tendency=hold|runtime_tick_seq=6
step_mcm_brain.snapshot_field_read;16.5755;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4605;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1031;active=0.9257
step_mcm_brain.cluster_detect_snapshot;3.5039;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.4835;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.4553;decision_tendency=hold
step_mcm_brain.primary_field_step;52.2740;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9774;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;4.3792;clusters=1|agents=230
apply_runtime_result.refresh_experience_space;2.6051;decision_tendency=hold
apply_runtime_result.total;2.7851;decision_tendency=hold|runtime_tick_seq=15
apply_runtime_result.refresh_experience_space;2.5142;decision_tendency=hold
apply_runtime_result.total;2.8665;decision_tendency=hold|runtime_tick_seq=20
apply_runtime_result.refresh_experience_space;2.5244;decision_tendency=hold
apply_runtime_result.total;2.8750;decision_tendency=hold|runtime_tick_seq=25
mcm_field.step.neuron_loop;41.3313;agents=230|neighbors=8
mcm_field.step.sync_neurons;1.4556;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.6584;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.6292;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8258;decision_tendency=hold
mcm_field.step.total;67.6900;agents=230|dims=3
mcm_field.step.sync_neurons;1.4525;agents=230|dims=3
step_mcm_brain.snapshot_field_read;15.5307;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4647;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1078;active=0.9259
step_mcm_brain.cluster_detect_snapshot;3.5413;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.4990;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8761;decision_tendency=hold
step_mcm_brain.primary_field_step;50.3904;agents=230|dims=3
mcm_field.step.sync_neurons;1.3360;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.2466;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4408;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1413;active=0.9234
step_mcm_brain.primary_field_step;68.0731;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9070;agents=230|neighbors=8
step_mcm_brain.total;72.4373;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;16.7479;agents=230|every_n=2
apply_runtime_result.total;3.2783;decision_tendency=hold|runtime_tick_seq=39
step_mcm_brain.snapshot_field_read;15.8482;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5074;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1057;active=0.9312
step_mcm_brain.cluster_detect_pre_memory;0.0646;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4445;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;4.3066;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0114;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9130;decision_tendency=observe
mcm_field.step.total;68.5305;agents=230|dims=3
mcm_field.step.sync_neurons;1.4130;agents=230|dims=3
step_mcm_brain.snapshot_field_read;17.5299;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4704;agents=230|dims=3
apply_runtime_result.refresh_experience_space;2.9475;decision_tendency=observe
step_mcm_brain.primary_field_step;50.2613;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.8682;agents=230|neighbors=8
step_mcm_brain.total;88.0746;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3087;agents=230
apply_runtime_result.total;3.2057;decision_tendency=observe|runtime_tick_seq=50
mcm_field.step.field_perception_state;0.7055;agents=230
apply_runtime_result.total;4.2315;decision_tendency=observe|runtime_tick_seq=51
step_mcm_brain.cluster_detect_snapshot;4.4484;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.2165;agents=230|neighbors=8
