section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;4.2010;clusters=1|agents=230
mcm_field.step.sync_neurons;2.4452;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.2970;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.1819;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.7325;decision_tendency=act
mcm_field.step.total;69.9227;agents=230|dims=3
mcm_field.step.sync_neurons;1.3377;agents=230|dims=3
step_mcm_brain.total;77.0292;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;17.6070;agents=230|every_n=2
apply_runtime_result.total;3.1488;decision_tendency=hold|runtime_tick_seq=6
step_mcm_brain.cluster_detect_snapshot;3.5984;clusters=1|agents=230
mcm_field.step.activity_diffusion;13.7164;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8373;decision_tendency=hold
step_mcm_brain.primary_field_step;56.6193;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0557;agents=230|neighbors=8
step_mcm_brain.self_regulation;0.0908;self_state=active|agents=230
mcm_field.step.neuron_loop;35.1237;agents=230|neighbors=8
compute_runtime_result.total;79.0338;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;0.3126;agents=230
apply_runtime_result.total;2.8042;decision_tendency=act|runtime_tick_seq=12
step_mcm_brain.snapshot_field_read;16.0260;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4637;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1069;active=0.9249
step_mcm_brain.cluster_detect_snapshot;3.5279;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.8185;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9247;decision_tendency=observe
step_mcm_brain.primary_field_step;54.3614;agents=230|dims=3
apply_runtime_result.total;3.1734;decision_tendency=observe|runtime_tick_seq=17
